Science and Engineering,Research and Development Investment by Country,million USD,normal,vertical
Elmhurst,Creston,Brookfield,Ashford,Fairmont,Ironwood,Oakridge
831,843,650,538,652,808,725
407,592,666,249,169,393,717
483,404,523,539,563,733,254
589,736,610,297,568,961,314
555,573,612,614,470,941,429
446,670,745,594,381,850,368
742,484,739,352,571,464,416
880,678,593,467,459,616,307
614,537,626,597,686,641,383
699,682,919,628,283,605,286
423,632,866,377,505,692,578
607,604,718,326,832,581,482
625,626,662,373,735,676,483
741,851,863,377,341,648,100
885,752,419,475,230,601,214
193,793,837,417,785,975,293
348,669,530,550,977,455,330
600,601,637,397,97,763,397
674,420,589,260,494,272,721
895,619,576,582,573,796,532
693,681,705,161,693,684,456
654,634,576,577,434,638,700
577,751,546,266,430,711,328
677,468,803,654,729,667,523
686,876,542,493,467,789,725
456,469,510,297,641,505,276
686,469,884,513,784,290,328
673,604,958,280,573,734,600
327,887,592,570,662,491,472
589,596,604,700,330,318,367
881,809,720,537,718,986,422
567,677,784,274,831,74,622
570,577,549,518,1018,320,394
684,642,631,504,143,282,427
437,504,579,242,292,610,594
299,718,635,301,218,762,490
182,604,689,575,420,550,338
535,444,646,478,541,592,360
541,960,687,457,358,548,401
683,808,575,375,389,927,562
304,658,762,733,482,750,431
643,778,577,22,969,800,510
425,680,634,414,977,982,733
506,799,408,474,522,257,432
754,542,942,348,556,753,304
695,635,600,315,145,319,571
840,618,952,736,377,568,405
577,679,704,484,685,545,391
548,699,577,424,407,353,622
534,682,861,537,515,685,99
740,820,875,526,700,808,252
774,857,473,617,649,350,364
880,728,660,137,63,510,342
917,367,824,440,185,478,292
837,688,398,209,446,882,637
443,758,708,242,571,598,691
256,710,641,512,654,595,512
480,532,509,382,254,794,346
757,548,773,238,691,638,350
678,553,375,674,695,607,499
624,628,447,243,588,487,379
544,608,636,242,536,587,411
917,725,761,676,564,340,452
613,834,899,369,841,725,444
241,600,329,599,726,646,38
669,626,779,488,913,493,471
529,745,775,512,316,771,526
668,758,550,347,415,749,512
86,614,847,651,780,730,435
672,515,497,261,797,691,316
570,656,727,371,83,647,680
814,611,802,650,32,305,563
517,437,790,286,263,582,350
603,519,583,201,705,543,565
487,719,541,386,348,726,427
438,686,874,493,225,235,547
742,757,565,749,289,444,467
771,578,656,590,389,660,684
598,726,571,625,417,882,269
613,512,645,752,555,824,479
630,732,887,298,166,826,397
815,837,773,155,555,490,817
453,880,585,138,879,423,276
445,593,785,417,595,596,404
638,752,894,189,570,645,556
805,665,463,453,631,566,360
591,744,583,526,679,812,415
607,602,885,427,681,785,194
669,884,772,433,495,554,252
942,827,830,759,649,907,504
790,576,759,264,583,400,139
819,803,603,185,574,625,277
826,628,557,113,210,983,331
835,578,569,481,519,743,473
796,794,805,95,633,722,472
636,735,817,351,517,789,96
716,863,942,607,604,520,470
511,846,569,178,400,768,449
534,844,773,577,534,729,404
467,695,419,700,518,726,524
413,578,663,786,495,476,403
473,484,728,585,406,596,309
336,712,732,32,132,531,411
542,751,372,498,393,631,224
291,617,732,275,546,679,449
684,592,693,378,702,668,756
702,522,446,204,535,674,304
650,818,826,240,322,644,111
810,848,688,183,316,537,271
651,474,516,431,633,837,663
250,636,530,298,661,576,285
712,783,546,173,323,492,578
477,844,585,299,464,506,132
738,738,723,294,411,724,340
