Human Resources and Employee Management,Salary of Employees in Different Cities,USD,normal,vertical
Quarryville,Creston,Lakeview
38914,67126,27470
48312,71171,46329
53448,52000,44033
41530,66019,56304
66293,59803,35054
47123,42511,20306
59613,49250,47229
69224,43483,32412
54271,40647,37557
60607,61572,49676
42973,50571,34346
50332,57075,46301
57384,47610,59888
61755,65907,48904
55420,63336,39733
60649,70147,42738
48091,52670,42828
62510,61982,17169
54880,58958,39737
63914,68737,45528
45585,56020,55546
54436,51455,26017
73965,66885,48607
55404,54461,38667
48633,58345,51245
39544,49204,45520
54905,59079,36437
67339,52067,33191
54710,49668,41680
55191,51998,31027
71720,59090,46115
69297,66751,41092
59559,58461,53226
58039,55876,60107
67658,71657,32936
44932,48454,31324
50832,61674,46581
46483,61828,59555
64704,67311,51190
48483,58946,51594
49510,65313,57735
47739,60749,32088
66479,64727,42278
43134,67386,55377
27719,56427,18015
61155,58016,25634
73039,44665,27242
48228,63802,43927
51866,46339,26934
51367,59769,54809
73589,62500,43131
54671,59603,37398
44568,48745,55240
22364,53766,37888
71229,59751,42680
71427,62840,45675
32851,49949,24026
53239,50804,49269
53435,50830,42386
48387,50903,28927
29990,54160,44451
41761,52033,39644
49155,56340,29202
70302,53066,50054
35962,57606,38008
62299,47630,38438
52554,61735,42271
70675,40647,52023
73597,51726,43912
45120,33535,37050
71121,68930,50243
73457,52770,47054
48908,46299,49258
52765,48444,27797
47070,50282,49350
36662,60353,31345
45432,56012,29916
74965,52657,50585
53241,57455,40873
41756,61676,55380
55993,68852,34448
60388,63827,43983
50475,60154,46135
57531,44403,36121
59568,65338,41947
66888,67347,56080
40512,51874,41271
49796,48452,34868
64840,64301,48608
65177,57400,53182
48748,53565,55780
32761,52546,21308
50599,52783,38276
45637,62662,40671
65081,49602,46527
53897,61671,56187
34982,66977,50099
50040,43979,37400
55167,58780,51044
54074,69488,40759
67055,57665,41369
59038,70021,43216
65553,55737,34573
44152,54659,33579
46082,60751,64165
48060,56721,27676
54110,48285,33211
55226,55249,48130
51177,55600,48452
43603,69053,38253
63850,59849,41828
41604,67598,54173
55951,55743,43008
47569,48941,60254
68004,44789,46879
60963,71555,27105
60808,55620,21284
39246,62595,35664
