Cultural Trends and Influences,Number of people participating in cultural activities across regions,number,normal,vertical
Brookfield,Westport,Oakridge,Lakeview
114,1267,2221,484
374,1375,2186,503
602,1250,2346,662
1447,1249,1859,710
517,1385,1974,279
889,978,1800,578
794,1190,3084,649
280,1393,1880,863
794,1097,1330,371
730,1278,2000,526
956,1045,2593,689
789,1315,1818,452
247,801,2319,468
537,1201,870,455
585,567,2252,511
1006,1235,1557,433
806,1420,1885,731
454,828,1818,457
503,837,2295,649
604,1420,1637,839
53,1053,1826,321
96,1287,1821,636
791,1162,2786,612
452,1288,1002,210
677,1249,2061,629
163,1212,1218,514
715,1316,2107,632
678,1500,1682,341
857,1220,1744,578
372,908,2393,664
848,1189,1574,500
740,1087,1596,472
1183,1811,2415,341
612,1044,2884,476
401,718,2166,499
203,1036,1859,719
816,1459,2931,436
594,877,2331,457
210,950,2954,294
543,1462,2101,747
648,932,1815,505
1292,1502,2337,556
85,1284,2966,580
1147,1369,1954,518
730,1104,1870,720
242,1169,1995,541
879,449,2118,741
193,1371,2255,649
761,1390,2458,655
484,1086,2476,714
969,1281,1709,373
1536,1232,2457,210
1606,872,2704,458
830,1371,1901,591
466,1419,2380,816
774,1525,1752,525
1648,1181,907,273
721,1727,1927,526
1677,1441,2317,494
339,1252,2081,576
654,1485,2371,516
173,1481,2168,323
953,1878,1560,622
154,1431,2828,352
226,1401,2413,641
946,951,2323,613
1064,1537,2451,764
230,1410,2380,779
1203,1066,2010,616
219,1625,2411,275
748,1665,1891,741
702,945,2325,528
368,720,2790,641
228,860,2285,684
698,1093,1657,573
569,1870,1591,368
39,1040,1627,671
462,737,1661,545
986,1337,3163,429
325,1110,2301,682
718,1384,2388,627
597,1261,1877,538
545,1138,1694,381
1024,1121,1895,789
482,1137,2939,437
139,1407,2337,698
1075,1069,2534,494
1058,1290,2082,511
815,1177,2051,395
1019,1168,2112,623
1387,1238,2199,439
959,956,2113,478
