Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,t,horizontal
Hidden Valley,Coral Lookout,Willow Grove,Rainbow Gorge,Silver Grove
12517,9369,5324,11420,9829
6896,9735,8052,8946,5544
5095,7865,6735,6448,10898
14822,6692,3413,5581,8158
29474,12269,5999,7485,8629
5762,7547,11564,10441,8673
8281,4852,8327,8163,10028
10152,6127,9521,11427,4972
2590,15608,7527,11003,3271
5372,7307,1387,7680,8870
9597,4376,4984,7685,3329
14940,5691,7177,10719,7800
24985,7123,4135,4719,4243
8483,7142,10650,561,1171
13860,3988,1037,7455,3104
17291,10363,7868,7055,6849
8538,10506,5483,6785,12426
5944,4298,5250,7380,7086
13877,4935,9508,3411,5936
6170,5384,7631,9084,6527
10906,12796,6076,9371,8719
8520,10462,9371,12116,3344
5704,5512,14059,18239,9536
10300,14361,7477,5940,2010
8460,9552,11713,8397,7331
9221,10766,8582,5987,4671
8216,9244,4564,4894,3985
10338,9004,150,7171,5073
7307,6348,529,8608,9064
10752,6013,4327,8712,8114
9058,9130,7047,28291,11290
13399,16356,8456,12570,6018
5771,11152,6679,5842,9046
3486,10485,8832,7039,7644
8641,8792,3989,11470,4378
11416,8254,11201,10789,9798
5972,6799,3910,8630,3884
1063,11487,5036,10637,5652
11668,4530,5313,6640,8590
3690,11189,6763,5284,3576
5852,14658,8400,10607,8216
8802,14948,7663,9779,7208
2311,9983,10578,6449,6142
8313,8988,150,14816,6085
4280,9947,6619,2299,11002
15047,10656,11922,2528,10318
9201,4834,3599,9081,7620
8006,9225,5253,1174,7781
8805,4425,8049,16153,6282
5189,4164,8982,6707,8163
15693,15251,5584,11460,7580
10268,7557,2731,6105,8678
8839,11637,6808,10751,395
7145,13117,6411,9793,12263
5145,8974,5937,5360,3364
16500,4209,6085,9921,10493
7305,8674,4431,12130,8391
9995,3054,6332,5556,3413
7438,12239,4512,8898,8246
869,9840,4678,6688,3242
10969,11851,8132,12242,7517
3989,6281,6594,8815,7326
8708,16202,5037,6873,6652
40720,7268,6085,7588,9340
12602,6112,10099,8505,7359
7314,7660,9506,8344,8685
5432,4561,2265,5994,4192
12975,9927,10180,4397,7859
5018,8958,7384,7485,7490
6649,6465,3853,11490,9894
8974,8336,1355,9092,3147
9531,4144,8808,4606,8652
9486,10188,2425,4025,4806
7600,10391,7403,6965,6817
10885,12162,6627,5344,3872
8090,10352,5035,2909,7169
6906,10151,6902,14835,6952
12831,8381,3843,6620,37166
15071,5281,8059,5359,7931
7132,11748,8428,8211,7137
2861,7373,9404,7775,7675
7835,10338,9336,7851,8754
10608,3146,1430,6218,8954
17763,13303,4878,10443,6141
16700,5527,3152,8042,6020
35137,9004,10867,9656,10260
5926,8090,9013,9767,8190
3745,3664,2056,6115,4680
3630,9663,6154,12579,12563
6064,10811,7161,7352,6781
10120,7467,7165,5063,5446
6468,4424,5694,9738,4343
9575,11423,5473,9256,6628
8165,5017,1439,1076,14349
6521,5507,7326,8478,4202
15350,10490,1310,8244,4244
7955,6082,11787,9403,13235
7856,12229,12359,5503,4398
4478,11824,2911,6849,3494
6577,9726,8061,7163,14364
4502,6282,2392,13594,5756
7664,8648,4521,5487,4953
9643,5738,4821,4915,9385
7121,7348,5888,6249,8317
6002,11912,8579,8046,3002
17274,5802,10620,7881,7851
