Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,vertical
Vido,Tubeo,Vizzle,Streamo,Reelix,Viewly,FlowVid
11399,25982,14453,14217,17846,7327,27515
443,28234,19800,14951,18661,9015,28684
5531,29069,19904,10418,19123,5827,24719
6143,27277,12191,16487,18087,2327,31894
10192,33130,21507,13016,23710,12343,32896
14523,32793,24669,15381,23477,2159,29282
7548,28420,10326,12952,26390,6682,24325
9708,29381,15540,13480,21352,1671,29192
13995,26905,19083,13962,26747,2736,28448
17994,18036,15022,16241,17433,9849,29515
11510,30604,16136,17218,31977,2079,25807
11756,29382,14449,15087,12250,7091,31994
7610,21728,20707,14231,17099,7833,24542
18430,26617,20889,15310,18387,7202,21007
20187,32539,12478,15145,18756,12617,26235
7600,27020,2401,16968,26432,9522,27374
8906,20044,7098,11943,27910,4389,28561
12248,26078,22498,14571,21203,9207,24748
9113,26909,15987,14891,21141,2959,26589
9977,31788,14590,15706,19810,9190,34721
10301,30116,15447,14652,21533,7379,18157
4170,25525,22343,13088,30141,1061,27571
8780,31071,15952,13267,21402,10124,26278
11868,29983,9586,15335,19805,9600,27071
3000,26596,16316,14805,18815,3985,29690
2586,31421,13184,13704,19715,3291,29254
10280,29620,19417,12276,24941,14419,17724
5236,25371,16477,13328,28156,2226,23318
9676,29104,15165,16494,21158,3204,29853
12993,28980,19719,12663,17034,1132,25857
7776,26854,14208,12146,20563,6740,29986
21326,31764,16623,13245,17352,5422,39094
7904,27535,18145,12792,23957,6425,26641
13321,29341,21504,14742,23668,812,26422
13238,24636,18099,13568,27535,7935,29324
14437,30990,12048,15792,27457,6645,25366
6819,15085,25020,16568,32126,4077,30619
12709,24365,15550,16968,19239,7641,29575
16065,26939,10434,12275,18297,2639,29382
10429,23935,17963,14209,30190,10736,27069
12301,28973,17267,15586,19728,5025,23476
8305,27724,22513,13534,11648,8393,30952
10735,32986,16085,14992,21371,6645,26953
7706,28333,8448,11921,25451,4376,25154
2654,30671,22436,18083,18641,16565,23883
12211,27792,16439,14123,22649,3877,24292
11670,30124,17662,11080,22768,5788,24191
8274,24526,13272,14320,18051,4731,26597
8176,31121,26026,13804,16613,7417,29737
6484,26307,17626,11455,23794,3968,23998
8010,25579,16963,14979,27101,4620,27852
13191,26695,17766,14877,34424,4602,29522
9294,28796,15404,15122,22565,3902,25813
21993,29008,19016,14271,24254,11662,25601
14565,28737,19619,12920,16480,88,23828
7546,23160,20020,15135,28815,4219,28719
5897,27597,7029,13416,30020,6459,26210
22800,23392,12480,14851,26855,197,24921
9803,29712,11365,14620,20145,8930,26942
2991,27021,16031,9126,32867,4863,25860
9025,28625,11807,15644,25652,3151,27951
13168,23718,14450,10577,21755,9228,25129
11743,23130,16405,12742,16941,5836,27908
10516,32849,17008,12490,23991,5585,20387
13370,29178,23728,16820,22202,12930,26379
11909,26302,12505,14707,29995,9469,25114
14830,28575,19103,11817,18832,6017,34098
10200,27911,12608,13459,23258,8673,31072
10546,32018,19850,12991,17169,4606,25441
14727,28084,10915,14062,7204,7764,28837
7203,22899,17629,14008,22465,9197,36955
6991,25327,11452,12283,12853,18982,26537
994,26025,18676,12973,13220,20406,27667
6296,25938,18402,15518,18826,6261,25700
12801,28538,17896,15198,23173,6395,32185
8279,32198,10266,12518,10802,11320,23478
8050,26778,9093,11661,24846,8826,26110
2170,31263,16113,11789,21002,3463,21333
12367,28960,24228,14210,15819,13430,29890
11724,33439,17244,14917,19770,4108,30860
5910,30209,12061,7948,23515,4708,21344
12925,27758,15494,12794,22052,743,31056
6763,31921,3444,14296,17604,10041,24573
7406,29785,11732,13897,25633,3455,21195
11191,22665,16701,16484,28930,3461,29067
8575,31926,9178,13460,29549,5645,33804
8085,26383,24065,13738,22842,11545,25663
3764,32130,15895,13723,23999,55,16989
1586,31280,26845,13434,25892,10308,27537
7708,31038,15709,15760,22093,6205,23477
10810,24688,17938,14309,13275,6633,31696
12392,28515,12995,13217,25452,7938,29273
9793,30288,22522,13648,18742,5445,31605
18709,24457,15869,14654,13216,654,31360
7250,25787,17402,14444,22431,74,26485
7872,21979,13100,10972,24441,4057,32023
12101,27106,18600,13394,11416,9694,25862
6449,31382,13037,12359,17753,8321,20346
7981,27462,13027,14554,14913,12020,26349
7707,31228,18269,15344,34146,4046,22024
6891,26460,18869,13817,19106,8057,33700
15050,26733,18883,12093,20305,5091,26046
8171,25559,13285,13255,12800,3564,25294
7086,27142,19490,14593,11926,6448,36438
12638,27006,19247,13208,28381,6123,31502
5512,27958,13550,14917,23255,5618,28757
9901,25653,18701,16436,25179,4851,23583
11568,29503,4147,15028,22103,7214,25354
11227,27951,18668,14689,18243,3440,32204
7281,30309,18377,13423,26338,4231,26591
8432,30680,16577,12698,26324,4834,19337
5219,22728,15136,13093,21957,4540,31148
14350,31449,16299,15583,18814,4462,28535
