Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,normal,vertical
Zoomo,Clipio,Streamo,Videx,SnapPlay,Viewly,Vizzle
31551,19633,19234,19198,22739,24973,32190
28676,21811,19152,28314,20675,18138,28611
28049,23798,18496,23767,22113,25644,26159
27992,18642,17327,31053,20318,13729,26358
28233,16783,18490,28740,22558,21542,31807
29163,16104,17955,34734,23076,19394,28276
26694,19834,17458,15793,21400,19358,27025
27159,17666,17657,21700,22684,21066,33559
26946,15386,18427,26792,22105,20676,26545
24632,20209,17421,31172,21659,20351,25649
30344,24551,20057,20065,19780,15575,24796
30385,16531,16813,24453,23531,20497,30066
31492,17494,17975,17279,20664,15404,21214
31454,12756,17349,26595,23267,20647,25103
28531,13952,19375,23784,20727,18022,28513
28451,21170,19138,22085,18434,15762,34909
29853,20306,18350,32463,22446,19214,28596
26452,15033,17365,31469,18554,21487,30080
26934,23368,18502,27355,20969,20619,27261
30589,18374,16578,26882,20754,25149,26651
28139,25644,18214,24701,20562,21218,27434
26176,18361,17237,27828,21836,24323,24344
32337,13112,16654,20673,21681,22014,27447
27881,12884,17965,25189,21743,25578,33235
26452,13678,18210,22711,20503,25320,31998
28668,22243,18789,19697,21465,20182,31744
24050,18796,16043,30371,22352,21170,29271
29371,20079,18541,26436,19986,15504,26431
25293,17229,18583,27686,20366,21680,27863
26801,15244,18968,21345,22635,24361,31154
31766,17816,18331,28102,20944,17205,27799
26305,13037,16120,23071,21626,18332,28000
32921,17805,19013,24656,18804,16080,31279
25248,11140,18766,24216,18856,21464,25945
24960,21343,19057,25944,20529,21206,26277
29277,18826,17203,21522,23030,20039,27857
30559,15485,16990,21333,20805,17977,30749
29794,19618,18281,17540,22626,18851,27499
27094,17721,16484,21304,20681,20741,28782
26829,17796,18585,25161,19277,15941,29449
27900,21760,17948,29441,22096,15986,27781
31511,23956,17726,23216,21141,11940,35079
27697,14529,20069,22710,21587,21142,33514
32287,14679,17791,28367,19925,14116,24637
29514,12504,18642,28977,20670,16235,25387
23842,22726,19215,25351,21196,22625,25579
26842,20401,17336,22546,21212,19489,23551
27918,14344,17497,31973,22147,22919,29383
30760,10666,17230,26450,21101,22299,28475
27582,20183,18590,18284,23223,19210,30095
25012,13229,17763,28109,21785,20146,21597
26139,18234,17060,30682,21365,15504,30861
30317,23286,17435,21397,20891,14983,32325
30053,20050,17139,26345,21451,22292,24691
29451,17464,18284,26610,22782,19562,25316
29159,9380,16957,32712,22736,20469,36465
27656,21253,19966,30976,20565,23323,27329
29106,16547,19365,30415,20089,18958,30353
30791,21804,18137,23507,18607,16203,26402
28256,15041,19111,24803,21210,16530,29617
29258,21358,18305,20971,22670,14601,29958
31490,23864,16493,31560,21208,20127,24525
27842,12884,18923,30886,20224,16812,25885
24679,19612,18535,27684,22560,21892,25906
28918,23159,17786,25893,22175,23636,26094
27406,18425,18504,25317,20353,24039,28823
26497,11532,19069,20686,20638,14202,26767
27617,23817,16555,21088,21538,19288,30219
29090,19044,19773,24900,20590,18190,29924
25619,14443,16289,26793,23251,24211,32849
30077,22612,16109,22960,20063,14225,31058
30333,17577,18804,20995,21436,20116,26002
28792,8576,17444,26071,21269,15070,27366
26699,17373,17625,24888,22751,12210,32922
30248,20473,16609,25452,22285,19119,31344
29348,21281,18341,20909,21110,17301,30665
32461,20683,17890,21543,22664,25029,25367
30704,25916,18069,19005,19364,14264,30662
28622,18944,17002,26476,22643,15418,32709
28808,16340,19677,27513,21693,14517,25617
30565,14486,17540,28705,19926,19738,27961
26607,13536,19382,22404,21578,25883,28183
27869,17700,18552,26425,21746,20724,30187
32408,20827,19430,20473,21946,23547,26699
22507,11384,17809,21468,20343,22236,25162
29024,12293,18435,28600,20911,21962,27576
27707,15576,18336,23338,23266,20024,32832
29997,15700,17020,21875,22056,19014,26855
28333,20578,17351,24489,20560,21977,25980
30102,21208,17144,30344,21958,16121,34125
31292,18286,18088,25635,23051,21038,26338
26569,21561,17414,30905,22995,20316,24422
27272,12187,19737,30405,21442,17483,27545
31566,22744,17350,18758,23455,22542,26583
26649,17863,18008,28609,21481,18180,35076
24830,17447,19037,20407,20458,20449,34655
29827,14852,19109,22988,21795,19782,25835
31483,18145,19403,23814,19762,21993,31980
26654,17958,16818,27422,21031,19108,31027
27307,18864,18998,25228,23256,22381,31312
27113,14585,17798,30542,22494,21818,31007
32748,15939,18084,25917,20591,14029,33258
28735,15539,18660,21498,21223,20629,30155
31143,22187,18836,23717,22441,17384,26530
28978,13950,18464,20515,21197,21614,30238
29073,15361,19479,26843,20729,14282,33148
32504,22367,17024,31900,21060,18600,25038
30088,16569,17492,22444,21246,13954,28949
28657,24941,18216,23664,21807,21566,32188
26855,12756,18632,27327,21206,23186,23360
26005,22145,16424,30885,21765,12653,25911
31278,15195,19502,27579,18686,11772,30639
31136,13104,15708,24816,23354,23264,25599
27233,20438,16984,23165,20937,18489,31096
30045,14211,17272,22760,22077,24770,26344
27319,22453,17429,24161,21620,19039,29347
28389,21890,17948,25552,21180,13919,23998
29714,20604,18189,25072,22571,20881,28241
