Education and Academics,Data on employment rates in different schools,%,skewed,vertical
Glenhaven Academy,Crestview High,Eastwood Prep,Pinecrest Institute,Sunnyvale Prep
85.31,87.99,82.35,85.4,85.42
86.25,75.36,80.16,78.56,93.48
77.16,80.38,92.15,89.25,86.85
77.63,79.47,80.08,83.03,89.05
84.42,79.75,74.1,87.1,74.91
81.75,76.83,97.73,85.37,80.91
83.69,93.03,82.95,94.51,94.33
89.54,89.51,80.5,90.95,79.81
97.14,81.86,86.86,77.88,84.77
83.29,80.22,85.41,85.3,113.81
80.26,80.78,77.63,95.94,81.66
85.65,91.9,89.54,77.59,95.46
89.06,92.89,91.69,73.42,83.08
96.2,80.06,75.92,118.07,98.23
77.08,81.99,94.54,86.95,88.42
83.69,78.71,84.25,79.77,93.36
79.82,86.55,106.3,76.81,78.48
77.47,88.56,84.11,86.57,97.31
76.65,94.06,86.46,81.03,81.02
78.1,79.39,89.59,85.14,95.48
78.26,88.97,88.8,106.59,88.73
91.02,103.38,98.99,93.73,83.63
82.64,89.45,76.6,93.18,81.51
83.28,77.82,77.68,75.36,77.48
80.7,78.27,95.46,82.59,86.83
84.47,83.21,76.38,78.15,90.07
98.44,91.65,86.64,96.02,77.97
84.34,81.69,85.73,96.48,81.51
78.64,82.94,104.7,83.89,80.75
80.1,96.18,96.07,76.71,80.64
82.71,86.76,81.74,86.26,80.0
80.16,76.56,96.0,97.78,84.47
85.95,78.04,105.85,88.63,92.4
93.58,89.16,84.41,88.63,84.54
75.87,77.71,97.34,89.54,84.16
91.16,102.07,101.06,76.66,101.27
79.37,86.23,87.92,78.03,85.55
80.77,90.12,89.29,85.57,102.14
75.54,84.32,91.67,82.09,114.26
95.69,88.54,82.05,88.35,83.5
96.75,97.52,97.76,77.32,102.36
75.34,76.35,82.37,81.24,78.48
93.44,76.92,85.84,95.32,89.67
85.8,78.55,86.96,90.03,93.76
78.98,84.72,83.05,85.2,85.66
77.7,80.99,75.88,106.4,91.86
80.94,74.03,86.77,77.72,82.63
77.17,88.09,83.2,98.49,81.02
85.49,73.75,83.92,81.7,80.08
81.44,84.53,86.48,96.54,78.16
76.34,100.19,84.34,83.44,99.76
81.53,80.74,82.53,87.77,89.39
114.39,73.38,100.81,78.57,94.54
81.46,82.26,87.29,96.42,93.71
87.49,90.64,81.0,92.54,78.58
89.43,82.95,77.19,83.19,90.69
86.29,75.29,84.03,115.27,86.78
89.93,93.95,74.92,83.51,85.17
85.62,81.34,89.62,97.28,81.48
83.79,87.38,81.81,75.32,98.73
75.01,95.09,95.96,75.26,83.05
79.42,81.06,105.34,81.2,78.65
93.54,84.07,87.77,94.7,89.35
86.02,81.6,90.77,84.65,94.7
78.9,83.54,79.89,77.18,77.21
101.98,81.92,82.6,80.87,77.98
80.72,89.31,84.08,87.33,111.35
80.55,89.71,80.25,89.96,91.26
83.88,78.97,102.16,84.98,88.74
83.27,78.89,91.08,84.6,89.06
79.58,89.81,106.1,96.51,89.64
78.18,84.29,82.0,87.61,80.95
78.73,103.26,80.12,120.68,95.36
79.43,82.46,85.49,86.57,90.22
80.97,81.13,92.1,98.14,90.98
75.62,82.87,82.55,87.58,117.36
87.32,91.71,78.06,93.41,83.94
82.27,92.03,88.88,95.37,90.3
81.98,80.98,97.56,81.9,87.0
81.61,91.53,97.8,91.06,86.68
84.44,87.56,83.83,80.02,78.61
75.89,74.67,80.59,84.64,77.22
95.14,78.55,90.01,99.89,90.08
81.81,79.03,80.67,113.42,89.59
76.52,81.21,93.45,103.78,82.05
90.3,82.32,82.91,97.0,84.27
87.72,74.0,83.51,76.12,82.4
80.98,96.68,77.32,83.72,82.74
77.57,91.58,106.37,73.84,79.53
78.33,77.83,109.24,91.1,86.93
84.13,77.2,104.64,92.98,76.25
87.79,75.63,81.99,99.93,96.92
88.32,86.77,102.85,78.4,101.33
76.91,76.54,88.98,98.66,111.26
84.56,101.4,82.41,76.11,100.29
76.43,78.87,83.98,76.45,86.16
79.21,82.65,86.86,79.03,89.75
76.37,81.09,84.95,99.37,87.27
87.52,78.93,88.51,85.4,86.62
79.5,87.54,81.53,93.81,87.38
78.18,81.1,90.73,77.86,81.39
89.25,78.29,85.5,83.69,79.32
85.73,83.34,106.62,91.36,81.34
84.13,75.87,77.32,80.28,87.72
75.23,79.15,93.69,76.24,93.98
104.11,74.61,88.23,97.62,81.07
77.01,80.29,99.62,89.76,81.5
89.03,83.06,90.81,87.46,88.38
82.64,82.27,83.18,77.16,81.65
79.68,78.35,90.76,92.51,86.27
76.51,96.51,87.52,84.67,91.66
80.47,78.24,78.09,77.94,76.52
82.84,85.64,77.23,89.36,84.36
84.8,89.15,109.08,84.41,78.51
80.73,90.08,76.9,87.61,86.9
81.54,79.27,99.13,83.37,76.33
92.75,88.29,87.14,85.53,86.72
85.83,85.84,90.58,91.7,89.81
89.88,86.23,77.7,75.51,92.9
83.14,81.36,87.63,80.53,79.52
