Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Fairmont,Elmhurst
2948,3116
3383,3185
3298,3741
2912,3029
3363,3237
3136,3029
2760,3247
3569,3241
3287,3342
3014,3305
3678,3057
3327,2991
3127,3105
2996,2991
3481,3072
3390,3044
3340,3219
3257,3129
3421,2958
3250,3248
2809,3428
3208,2659
3190,3098
3381,3083
3101,3370
2972,3318
2962,3189
3226,3004
3129,3038
3125,3393
3030,3174
2946,2964
3085,3150
3044,3153
3319,2786
2689,3108
3176,3046
3046,2960
3533,3147
3213,2716
3546,3255
2760,3130
2928,3049
3102,3435
3350,3034
3493,3308
2839,3194
2858,3158
3685,3259
2878,3026
3244,2914
3049,3291
3506,3245
3094,2994
3031,2828
3457,3087
3159,3118
3125,3182
2956,3059
3337,3187
2728,3187
2734,2999
2971,3155
3077,2833
3395,2904
2741,3133
3474,3411
3004,3220
3378,3211
3304,3197
3359,2800
3146,3155
3078,3101
3043,2912
3062,3329
3656,3170
1861,3265
3285,2927
2854,3686
3439,2619
2469,3250
3327,3050
2972,3134
3185,3320
3661,3053
3472,3332
2805,3108
2901,3020
2684,3596
3205,3104
3162,3027
3071,3346
3383,3196
2812,3024
2801,3077
3481,3207
3132,3244
3234,3333
3422,2889
3022,3113
3433,3156
2849,3145
3398,3130
3443,3142
3569,3085
3353,3325
3416,2875
2983,3102
3088,3144
3486,2777
3235,3175
3315,3320
3215,3663
3271,3048
2710,2989
3093,3321
2766,3168
3420,3282
