Transportation and Logistics,Data on the volume of fruit transportation in cities,tons,skewed,vertical
Fairmont,Creston,Pinehaven,Yorkton,Brookfield,Lakeview,Glenhaven
71946,37057,46594,65640,95935,53672,68322
159092,40366,65647,35866,51860,52455,39154
43956,38603,126158,31415,69195,115410,52629
53305,43023,91633,62417,40450,70894,30513
41989,62532,52484,67157,62766,59770,45917
43181,75200,45116,66744,45902,63439,59184
62462,51643,76682,87353,89096,30304,39106
35216,65564,57684,52763,42352,47004,51348
57964,35032,138638,64041,53223,42205,32224
49457,67071,49933,44407,38886,39501,40040
55707,36457,40013,53741,64879,66547,37054
87674,76269,35954,46048,58657,82538,132391
31470,51458,45228,50479,47604,49046,34463
63845,48994,33191,48436,49096,33338,94868
38761,78012,39584,80325,41261,44910,60784
41235,61018,61016,55670,64869,84939,74075
32292,56847,53428,48483,47404,43778,50169
40643,45071,58319,76237,94754,37643,40457
33947,72489,43107,79457,44476,44644,38882
48248,99161,55650,63068,135650,52148,60997
64519,87323,65769,42277,149088,59347,57016
32454,60925,32066,54506,80285,52953,81230
55533,53190,37459,34316,77742,44474,40906
51799,38320,119342,50141,44924,37203,51696
65791,49135,60347,44023,37190,66144,72863
73485,56873,38908,65291,67963,30176,45388
50349,36608,44316,45178,64394,47586,30488
45778,58657,86679,42521,91241,43712,60814
43869,48521,83993,47451,35427,34374,47959
43742,34750,65416,49399,44775,35092,49806
58670,30634,68256,54824,37881,38536,57571
38369,59652,34979,44792,34442,35827,33695
47056,61865,71374,117135,48409,34405,85446
76596,57208,71971,69034,72196,90308,54523
49349,102568,38104,62435,46602,49665,68093
52390,89652,64773,73695,105130,30056,39723
46936,63934,35444,71933,55069,32426,40096
77118,78948,40626,75687,69931,63157,52694
40630,67852,48180,85605,61487,53070,54328
57489,40460,72601,45594,57263,64808,43686
65922,65603,62623,60691,101379,61673,76397
81052,52263,76253,52016,48040,38014,33683
41737,52683,44149,42805,56575,66316,47502
65148,50975,52853,41427,39037,62626,136990
56826,71012,62997,75987,50742,57096,57770
78055,44079,38865,64101,78032,36773,47079
73963,49772,55511,48209,60510,36236,52554
55859,56478,61629,56096,37839,71766,65583
55500,33527,50864,94049,33166,37930,86101
48585,63272,59857,77390,51594,39389,49393
46607,47049,52037,55834,64805,44190,87190
51531,78142,86673,53147,56887,38086,39219
43037,47285,48593,63603,41501,83363,55965
49820,51069,48795,40451,47701,61566,65220
61305,55592,63816,60339,43910,28473,82003
49157,58444,43510,40081,43532,51161,45813
65795,39370,81420,33994,86085,58896,51065
67079,87925,46945,60931,63535,40923,36661
43669,84326,37296,67162,41707,60548,65826
74786,52121,77814,48726,40515,58493,52947
64694,49018,37454,32669,45863,60020,88598
36929,82469,42177,55819,79727,56951,62313
36581,99565,41129,51785,59621,65029,50636
48551,69969,82053,52300,46611,44553,38931
32773,44055,79011,91190,82407,92489,42332
40919,52892,46750,73995,43339,76422,39834
64859,66150,46221,79450,145415,102235,89478
95838,53977,38729,48772,109432,66009,65652
38013,66822,99704,114103,43326,66914,49928
88728,42198,45595,69723,96540,30669,30708
31283,118745,72614,45545,53459,48411,46430
30760,72108,96915,56193,45289,40714,61295
37627,42639,40276,57766,44534,50344,81017
51003,47449,46988,47782,34934,69074,44696
31428,67939,125884,42988,97363,36856,41100
48924,33764,66494,59241,69196,45740,74131
44631,45772,47690,121533,41118,32457,60231
33558,39537,72370,82556,33511,56724,52741
30210,38635,81349,53559,59514,60981,71226
62314,45322,69510,43389,74022,45109,43771
60707,46598,58565,57814,133045,74238,58080
47410,70180,35647,41635,94437,114224,68253
34486,43252,99118,160501,41674,54994,45682
43160,40727,46647,96400,60696,60432,77544
35647,76017,76430,71537,68431,104590,37701
47198,54611,39077,45585,46127,58994,36771
83644,64416,83836,83902,45139,83063,40938
36628,53354,69212,31160,78711,52925,34597
56625,38167,50128,135133,121588,75272,42434
72759,54979,63535,54099,46247,32886,85122
37133,53202,62794,54407,54196,58555,69671
62234,53020,45826,45405,82607,56133,32598
54797,59744,86368,51091,48233,52141,89132
58954,64130,59401,59528,53935,52657,43194
41596,53568,45021,64001,43997,50138,76204
56069,56871,72191,51294,51407,50824,39130
57269,49021,55269,64233,57557,69253,58820
49679,38161,59774,84288,51984,45160,52935
70041,43226,53314,36935,72167,56213,51415
43038,49546,53036,68233,49791,76177,49307
89185,35395,90021,47724,61273,36551,61995
48843,48001,64114,68334,56252,99877,33662
58895,89980,90497,120795,68670,86205,52412
64512,52144,61595,48121,61806,99786,32636
54429,86027,37238,49707,67097,41032,48099
50113,80827,50693,54363,65770,32616,48675
67921,43216,36731,60234,99666,53262,53113
39442,62259,46702,54315,46366,38683,29311
55233,78613,64380,55424,54278,41500,41676
121536,38345,51358,41140,52552,71387,45948
32155,45126,128904,68041,72087,65521,74949
54722,81003,61540,69718,42982,65751,65920
95570,33598,62154,74487,39783,37205,44157
44732,34177,58864,60075,58273,49588,57790
42990,60292,86231,38490,79753,42433,57492
45871,63181,39441,60177,46594,61491,49961
50982,45555,59707,125611,53663,57840,41898
48333,76844,56292,38548,33765,36250,73385
73018,55770,62924,49107,72956,31456,65396
37057,43329,72681,59268,64036,80985,38215
