Agriculture and Food Production,Crop production data for a particular region,kilograms per hectare,normal,horizontal
Sugarcane,Flax,Sorghum,Tobacco,Tea,Cotton,Corn
6771,8639,6272,6410,3614,4576,4402
8433,7116,9061,4484,1878,6478,6904
8133,7222,9738,5225,5455,6737,2855
7375,6694,7418,3223,4577,5931,4581
8992,9588,8573,4231,3030,4752,4293
8108,4790,7725,6373,3113,4341,4458
7212,7501,7923,4438,2694,3631,6431
6053,6090,6517,5506,5962,5108,6947
7327,7424,8828,4848,3787,4724,5274
9065,5699,8663,3650,4190,3761,5254
7302,7020,7861,5137,4994,6408,3970
7504,9510,7711,4877,5245,3859,7631
4986,9562,11016,6091,1035,6231,3277
7409,2950,5369,5280,4094,8176,5029
7704,9060,8410,7020,4381,6730,7962
6705,6104,9055,5738,4407,7572,5548
9081,8557,6547,4323,2263,5895,5886
7093,7713,10744,6880,5057,6774,4163
8391,6839,6074,4594,5388,5317,7672
7787,6289,9483,7099,4412,5359,4194
8269,5151,8735,5794,4927,4742,3162
6730,8643,7464,5047,4643,6047,6474
6000,7248,5885,4593,4492,5861,3062
6837,7777,9908,4526,5953,5880,4169
6448,9862,7242,3461,3962,8070,4963
5610,6440,8181,5483,3460,7480,5023
7760,7470,5375,5545,3284,5797,6871
6060,8116,6201,5293,2888,6599,3828
6042,8546,4069,4872,1406,4035,5196
9023,8083,6321,6681,6469,6337,6265
6949,8951,3482,5387,5378,5243,5502
6159,8454,6373,5133,4467,3684,4838
6783,9062,6766,6319,5644,4268,8306
8991,7466,9420,5102,2690,7351,6461
7351,5678,10840,3435,3058,4667,6701
6609,8990,6783,7334,5086,5194,5710
6883,9395,5980,5890,3397,6058,4849
8087,8643,11083,4365,3618,6366,6676
7169,6082,3984,5032,5225,3897,6077
9170,8407,7293,5966,4069,4602,5628
5054,6299,9851,5444,3815,6394,4665
8687,8484,5666,5605,3428,6181,4624
7421,9920,2117,3547,4192,3665,8146
7551,8165,6936,6837,5253,6669,4119
7134,8475,11649,6143,3044,4326,3611
6165,8481,8057,4469,4394,2887,6137
8836,5976,7801,6419,4690,6548,7360
7719,7744,7279,4859,2907,3618,3673
7199,7351,7713,2982,2513,5031,5697
7730,8663,7567,3897,3689,6274,5560
7977,9062,11568,4600,3687,5638,5938
6271,7758,8092,7289,2293,4658,6679
8541,8176,5667,7394,6127,7007,4576
7885,9002,5385,6835,4001,7710,6025
8710,5992,7144,3655,6251,7141,7517
5219,10037,7310,3020,2410,5290,6789
7539,7201,9554,5159,3297,7467,3203
6220,7765,5939,5545,1141,7315,5256
7897,6209,7585,4528,6087,5502,7257
7141,6144,8424,6707,3832,5524,3565
6717,5340,8660,5805,5298,2970,4604
6122,7674,5923,3582,2880,3849,8200
5666,5388,6081,6305,3234,7248,4279
6991,8219,9518,5331,4957,6696,7004
8124,5283,6083,5093,4874,4573,7332
7504,8606,6312,4444,4589,4591,4966
7301,7276,8546,5925,4526,4780,7483
4450,6420,9377,6682,5148,5735,7681
7204,8322,8298,4002,4047,4561,7781
7128,7933,7931,5641,3766,5315,6419
7562,7452,7037,4653,4698,7230,3848
7802,5407,5605,7200,1254,4648,4118
8769,4302,3712,5386,3649,7386,5363
7561,6619,6586,5383,3241,7313,3862
6436,7078,6960,3162,3089,2584,4963
6182,3716,5961,5241,5722,7240,4956
7803,5691,10376,5156,4673,5582,4420
6298,6665,9385,3041,2877,4077,6777
7267,9925,9186,5969,3413,3922,5104
7549,7073,4759,4462,4264,4886,7003
5783,7580,9109,4822,5625,5940,6457
6247,9197,4111,5336,1926,7459,4443
6818,5456,8639,3899,4350,4225,5474
8861,5604,6801,6804,4647,7722,4549
7434,6769,10733,3927,4751,4461,4455
6992,7700,7709,6256,1707,5699,6042
5517,6614,3829,3679,4410,5404,5721
8071,9218,7126,6597,5200,5329,5828
6167,5057,5739,5211,5530,1950,4616
8120,6053,6728,2820,3763,4223,7745
7444,9419,8846,4346,3241,4582,5055
6065,5125,5615,5255,3451,5258,3500
5293,8382,8104,5468,2337,5661,5450
5743,8275,7675,6541,3698,6219,4706
7363,8842,5367,4934,3549,5104,3631
7183,7710,9554,5304,4215,6781,5705
4974,7812,5619,3631,4029,8111,3513
7685,7557,7159,3628,2441,8526,4990
7439,5151,6572,5187,2127,7033,4955
5981,7814,11767,3913,4482,6361,2406
7411,8459,6310,5960,5943,5087,6541
7903,7257,4649,6225,3287,7177,5259
5479,7856,7710,4307,4512,5053,5959
6988,8699,8905,4876,3604,5017,6152
7547,3971,9072,6318,3529,3651,4395
7530,7201,11000,6593,1521,5806,6559
8813,8389,4726,7443,3561,2973,6225
6971,6294,8348,6982,3187,3502,3497
8633,8027,8940,4283,3443,4821,3636
8036,6357,7486,4099,6002,4887,3958
8867,7309,9590,5215,5681,4394,6037
8140,9959,6400,5183,4949,5845,6535
7592,7851,5034,5907,4020,3947,5050
7429,9825,7617,5130,4436,5695,5551
4312,6595,8996,7306,3280,1914,3916
7789,8052,5678,4820,3667,4561,4499
4561,6914,5465,5614,5760,5886,4665
5570,9266,5622,6311,2525,4952,5823
