Energy and Utilities,Data on daily energy consumption accross cities,MWh,t,vertical
Springfield,Brookfield
5074,5632
5053,5209
5049,5588
4911,4957
5333,4904
5158,4679
4589,5313
5070,4906
5266,5901
4877,5145
5483,5071
5027,5138
4958,5268
5210,5758
4566,5184
4900,5516
4912,5363
5572,4993
4381,5655
5390,5571
5266,5740
4979,5062
5146,5421
4841,5599
5022,5205
5489,4803
5179,5432
5110,5349
5199,5495
5003,5145
4948,5121
5195,5172
5023,5202
5275,5460
5036,5387
5116,4741
5387,5274
5102,5120
5672,5528
5155,5242
5164,5588
4677,5123
5337,5153
5232,5426
5070,5114
5508,5148
4967,4846
5321,4942
5194,5563
5030,4487
4957,5657
4964,4984
4912,5059
5203,5244
4668,5169
5318,5150
4685,5717
5093,5460
4587,5159
4875,4709
4879,5430
5255,5247
4864,5635
4913,4998
5026,4900
5185,4929
5352,4878
5742,4568
5542,5519
4680,4557
5208,5164
4968,5336
5367,5801
5184,5068
5115,5399
5748,5277
5137,5517
5039,5713
5512,5445
5225,5406
5271,5282
5409,5009
5141,5430
4786,5525
5582,4910
4606,4789
5102,5249
5579,5430
5495,5074
5022,5625
5248,5337
5465,5173
4803,4925
5067,4992
5307,5152
4961,5046
5259,5461
5369,5333
5310,5718
5199,5394
5051,5214
4937,5125
4832,4791
5423,5113
4837,4968
5153,5060
5434,5162
5505,5211
5423,5547
4924,5422
5142,4896
5176,5174
5449,5024
4770,5221
5667,4772
5044,5261
5329,5239
4685,5389
