Tourism and Hospitality,Statistics on the number of one-day visitors to different attractions,Visitors,normal,vertical
Dragon Ruins,Lotus Temple,Rainbow Gorge
7147,13351,10806
7256,10969,9127
3765,8770,5886
7245,6158,9367
1620,5159,8054
6301,13485,5308
5992,6889,9198
7610,8299,12294
5017,7368,8674
8892,6775,11027
8585,9917,2617
7907,5513,5722
6983,8005,3964
2212,5979,12772
9715,13723,7451
17244,7526,9186
12372,14571,6311
12614,5217,12788
4776,10926,4118
5337,1649,8324
2774,6998,6447
2853,8334,7665
9693,4263,5645
6996,4468,12622
5690,13052,4912
4736,7007,6826
7045,6800,5616
9520,7636,7120
6083,10785,2886
11078,11072,10365
1981,7589,902
5159,2912,9363
8363,7439,5109
2702,1389,4067
8312,11441,10005
10394,11975,9389
6930,3542,18806
8364,6894,7935
2506,7928,7502
8736,12265,11930
2381,6877,7714
6056,5394,4892
7681,6674,4002
4720,6015,6057
10437,11876,7853
5181,3866,4839
9760,4499,4211
8562,7836,6784
8824,10317,4818
6221,7952,7999
7212,11782,5940
919,12592,10803
7243,9221,9467
6199,7681,10022
5294,7437,8022
7228,8962,7142
7637,6022,4619
6509,1108,5887
7524,7433,7790
7012,3406,5521
5102,10614,6225
7957,9460,7480
12479,10356,10171
12263,5599,2561
9388,9114,12278
11134,9482,12236
6052,11439,8972
3471,4225,6807
13102,8800,6523
5977,6201,4563
3948,13282,9130
3524,6473,8004
2545,8974,14556
10713,7850,8793
3532,7085,3190
6739,13321,8452
3762,12380,10053
5205,2709,6978
7588,8828,8244
10285,10298,6781
6605,4749,10731
7985,11305,9109
7364,7302,5660
9716,6443,5751
6834,5010,9609
10057,8194,8562
7658,800,6086
14541,3147,7081
9065,7250,6121
8563,8977,5788
5144,11403,7985
7312,7541,12412
7311,5409,11338
6195,8109,5272
3080,3710,11534
13404,10440,4630
6682,6431,11410
11005,8416,7600
5089,8950,4032
4354,4594,13842
9689,9379,3661
10183,1609,7662
4543,11638,10276
9709,4583,6069
11662,5850,11241
5632,5410,10709
9125,8394,9282
11750,8825,7114
5662,5699,4898
1403,1386,11092
5314,7838,2034
5730,3833,7817
6978,5733,6414
6416,8757,6943
8194,6687,6301
3992,12318,9877
9423,9881,10943
4205,8945,8662
6806,11971,6703
