Food and Beverage Industry,Data on the sales by food and beverage sectors,million USD,normal,vertical
Dessert Cafes,Bars & Pubs,Fine Dining,Steak Houses,Cafeterias,Casual Dining
149,363,389,280,547,863
383,124,210,530,638,257
605,207,740,539,485,358
568,522,661,421,617,768
553,485,364,529,342,860
948,657,131,392,122,469
573,259,464,626,633,563
599,134,340,374,874,794
533,793,545,722,555,587
562,340,448,542,828,551
831,251,453,757,794,828
247,510,448,715,345,238
462,380,259,88,959,468
774,456,498,308,1048,614
542,113,406,223,554,513
775,346,502,546,284,644
589,458,540,1035,1037,528
758,313,671,61,692,484
477,770,77,961,443,624
769,516,530,544,718,681
792,656,464,947,947,696
777,526,488,19,915,234
570,417,557,380,858,392
431,219,726,1110,428,452
839,164,388,169,644,141
485,387,574,719,750,562
494,486,458,617,692,679
553,631,413,601,654,168
332,236,669,1024,632,554
709,739,497,650,592,540
689,701,234,851,367,613
361,596,449,766,254,635
451,97,508,540,701,424
556,334,284,464,836,902
841,572,384,1164,513,501
816,486,324,465,797,547
645,679,346,884,694,679
457,151,791,548,928,795
174,723,221,482,475,570
609,640,772,847,769,615
843,181,614,807,528,165
574,562,432,424,741,377
201,227,727,656,452,202
408,158,253,567,626,688
249,841,663,1221,486,716
281,254,809,680,626,716
555,412,740,660,312,510
515,431,579,350,619,299
348,550,769,127,566,629
680,463,291,342,553,753
819,639,247,657,486,457
620,407,692,550,544,641
360,438,638,545,587,182
548,471,432,803,586,440
307,641,114,801,1024,403
407,501,581,1083,440,500
841,603,400,816,468,578
700,328,404,490,387,240
600,846,484,534,791,627
863,390,675,1196,529,569
591,871,110,691,798,466
559,458,392,827,537,234
440,439,545,1086,406,417
433,794,384,723,307,428
415,480,564,439,869,428
648,326,149,1112,458,343
233,197,519,238,821,557
694,868,657,418,824,879
219,431,308,1001,513,730
560,532,499,512,602,586
280,339,481,397,789,556
369,926,557,834,666,620
651,104,729,953,637,645
444,449,221,361,442,486
541,488,287,1173,568,467
738,323,252,1128,478,693
638,435,734,723,475,524
625,394,311,499,525,465
540,516,327,597,378,658
423,611,358,625,543,487
591,375,660,660,700,438
492,434,287,434,749,445
614,326,354,872,585,330
775,735,376,841,300,392
663,371,571,991,740,757
914,346,441,986,479,605
245,282,371,471,772,690
696,507,600,836,845,644
680,850,352,612,521,498
445,990,603,611,796,544
603,662,416,774,726,609
496,446,634,695,868,685
551,433,813,767,724,632
599,610,735,229,354,434
359,306,380,536,442,682
423,729,670,799,752,603
379,191,71,511,693,778
388,225,756,650,470,449
680,383,473,492,526,503
619,476,433,944,593,536
629,441,429,574,414,498
646,639,698,288,824,747
420,749,654,837,689,650
490,544,734,654,285,715
479,436,662,817,697,637
432,598,387,435,506,436
210,614,291,486,354,466
647,456,474,790,254,582
775,587,344,711,501,749
634,603,692,616,828,549
86,732,377,1079,448,475
769,628,396,975,241,469
790,649,639,1010,875,672
711,346,519,522,712,519
538,288,352,324,345,614
632,639,518,631,571,469
