Social Media and Digital Media and Streaming,Number of daily viewers on different video platforms,viewers,t,vertical
Zoomo,FlowVid,SceneX,Tubeo,MoviQ,Videx
1849,19092,7138,19895,13059,21291
4860,16501,10061,18207,15163,26197
14843,19765,4777,15326,8731,17503
22129,20643,10738,25290,8615,18565
19945,14577,5522,24684,9269,21448
15991,19280,5973,17061,8786,19228
12336,16914,8094,16503,7966,18972
18717,24820,5313,27599,10136,22119
10122,20237,7063,19354,9664,13524
12767,18344,9475,19836,9152,19269
13064,21328,8014,24676,11285,13022
10884,21223,5812,24284,12361,23224
15233,20478,12432,18381,16037,17824
12918,18058,7500,25802,7865,17783
13193,19458,6716,21769,7168,15561
12827,21539,1265,29133,13064,20338
10641,20631,8469,18319,10207,18718
11645,22494,8014,15081,11751,21580
14535,23397,4474,16507,10930,16656
13250,22197,9003,14244,9847,21666
17337,16996,5369,22743,9779,7246
9231,17708,5307,19388,13559,16516
13048,16521,4822,20547,8530,24981
529,22588,2009,22309,6708,16520
12829,19450,7684,21958,12568,21009
9220,20618,9005,26454,5034,15543
22356,24269,3151,11848,8671,18971
18428,20082,4754,22718,10476,14333
16405,18410,7062,22583,6482,22107
13682,20897,1114,14541,13970,20462
14175,18193,6616,18493,7678,20851
16652,15486,2832,26664,12861,22241
16976,19606,2965,19014,10276,21787
12847,20011,3859,19518,12212,15402
15763,21010,3120,12054,13783,20359
11528,23208,8991,22543,15911,19344
12906,20092,7136,15203,12519,20083
15064,22634,9729,20231,13725,19117
13350,20275,8721,25982,9888,21213
19926,20882,6874,19973,12310,16801
6407,21221,10368,17334,9486,20868
6077,18622,8200,15142,10573,17708
14337,22514,5936,20969,13540,18439
18786,21986,13196,14877,9967,18252
3327,20095,5786,18792,7317,20739
14248,23004,6022,21431,11081,22891
12238,22866,4666,15007,7103,13985
19341,19836,8910,20004,5514,20945
16749,21093,7574,15400,11488,27344
7202,20133,7041,14470,9036,14969
6466,19977,11096,15544,9653,22601
24800,20886,3946,20906,13382,19516
13343,17280,5150,17952,6655,16220
12109,17224,6396,18511,10933,19855
19284,19934,6395,16250,10506,17788
13438,19817,10132,15914,12207,12021
7444,25064,7121,10960,6917,21431
9522,21116,11035,18880,10453,21506
18533,22574,12353,22082,11392,21971
5173,23190,7363,18203,8883,22027
12391,17890,5014,21526,9230,18090
12046,19421,3018,23079,6123,19507
15676,20054,8344,14464,8860,13044
14689,19502,9408,27106,10354,15398
23734,14721,7618,17473,11108,23943
12319,17032,6216,18568,12599,26234
13755,22278,8509,15118,11102,19824
12709,19903,5285,24295,9064,19507
13352,18515,9513,16334,9118,22589
13014,19282,8335,24546,10662,23203
15887,21507,10260,21305,13130,19364
14295,19302,1340,19715,7981,18530
32375,20566,7530,19739,8296,15636
13926,21543,6765,20002,10889,14674
13379,19728,9667,17018,11047,19920
13895,15789,8916,13865,6248,21135
21686,19229,14222,16706,13003,21336
15255,18952,7874,12197,9947,19457
16614,18942,8262,14979,10598,21884
15733,22053,10688,19149,10981,20212
8003,19136,4475,15484,11778,20313
11748,18886,4314,22319,9917,19679
6987,19592,9042,22996,12833,20165
16949,20012,6868,13449,10530,18844
7511,20629,10229,21726,9521,20878
17003,19265,5073,20820,10574,18665
713,21026,3081,18442,15117,14811
16597,20254,3270,18024,11989,20045
7521,24254,3576,10073,11998,15969
12589,21676,1873,22258,12508,17603
13116,16482,9441,16168,10533,17565
16182,22791,8854,21880,10473,19693
13209,20446,6889,20661,12756,15518
10107,21596,6335,18951,13141,17894
7921,17754,4271,18764,7835,23735
13926,20771,7207,10344,7757,16411
13545,22151,8905,28700,11473,20105
14023,22392,15297,18893,10520,16863
11395,21773,567,18106,8117,18839
11429,19207,9324,19471,10863,16266
16833,20410,4379,8541,13251,17422
15702,19328,14284,15007,13756,19542
10739,22344,6892,26011,8160,17284
21477,20016,2116,19885,13072,22538
22727,17930,4672,22584,9466,22336
15649,18465,4824,17654,9352,17065
17953,18074,8506,16993,10957,19622
17774,21000,5889,17641,7611,21700
13860,20761,5119,19737,4060,19648
13751,21934,10989,15400,12779,20539
12881,12628,5413,18017,9297,24202
