Science and Engineering,Research and Development Investment by Country,million USD,t,vertical
Northgate,Pinehaven
610,591
531,590
660,476
607,591
537,538
705,465
666,528
543,474
667,185
716,517
522,486
611,698
714,525
656,719
719,679
574,641
529,490
688,590
582,511
457,523
584,774
570,562
557,478
642,547
631,650
610,616
822,693
629,676
525,536
669,524
588,478
604,438
773,539
573,539
676,551
520,594
571,438
587,453
681,418
715,519
604,354
642,419
639,559
687,439
725,527
756,378
640,546
588,629
701,512
557,595
589,683
499,377
594,553
514,676
636,668
652,690
667,649
366,439
596,485
577,433
545,540
689,456
576,493
581,512
591,529
529,459
690,546
459,598
642,367
611,721
713,500
648,604
598,773
668,559
624,539
804,647
472,587
388,405
682,766
613,466
637,528
582,507
765,624
614,497
535,516
718,623
713,490
620,555
623,495
692,376
801,640
717,596
579,424
577,473
582,447
701,557
651,565
632,576
503,566
350,504
630,548
468,461
612,525
732,606
518,529
572,548
605,423
686,491
576,518
570,622
553,427
496,559
820,447
568,490
744,420
636,493
616,348
599,543
