Cultural Trends and Influences,the Comparison of Cultural Trends and Influences,10x9,uniform
Art,Accessibility,0.51
Cuisine,Accessibility,0.52
Fashion,Accessibility,0.52
Gaming,Accessibility,0.51
Literature,Accessibility,0.51
Movies,Accessibility,0.53
Music,Accessibility,0.51
Social Media,Accessibility,0.51
TV Shows,Accessibility,0.49
Travel,Accessibility,0.51
Art,Adoption,0.53
Cuisine,Adoption,0.51
Fashion,Adoption,0.52
Gaming,Adoption,0.5
Literature,Adoption,0.52
Movies,Adoption,0.5
Music,Adoption,0.52
Social Media,Adoption,0.51
TV Shows,Adoption,0.51
Travel,Adoption,0.52
Art,Critique,0.52
Cuisine,Critique,0.51
Fashion,Critique,0.53
Gaming,Critique,0.52
Literature,Critique,0.5
Movies,Critique,0.5
Music,Critique,0.52
Social Media,Critique,0.51
TV Shows,Critique,0.51
Travel,Critique,0.52
Art,Diversity,0.53
Cuisine,Diversity,0.5
Fashion,Diversity,0.52
Gaming,Diversity,0.53
Literature,Diversity,0.5
Movies,Diversity,0.51
Music,Diversity,0.51
Social Media,Diversity,0.51
TV Shows,Diversity,0.51
Travel,Diversity,0.52
Art,Globalization,0.52
Cuisine,Globalization,0.52
Fashion,Globalization,0.53
Gaming,Globalization,0.49
Literature,Globalization,0.5
Movies,Globalization,0.51
Music,Globalization,0.52
Social Media,Globalization,0.52
TV Shows,Globalization,0.5
Travel,Globalization,0.51
Art,Influence,0.53
Cuisine,Influence,0.52
Fashion,Influence,0.51
Gaming,Influence,0.5
Literature,Influence,0.53
Movies,Influence,0.52
Music,Influence,0.52
Social Media,Influence,0.51
TV Shows,Influence,0.5
Travel,Influence,0.51
Art,Innovation,0.51
Cuisine,Innovation,0.51
Fashion,Innovation,0.5
Gaming,Innovation,0.51
Literature,Innovation,0.51
Movies,Innovation,0.5
Music,Innovation,0.51
Social Media,Innovation,0.52
TV Shows,Innovation,0.53
Travel,Innovation,0.52
Art,Localization,0.51
Cuisine,Localization,0.5
Fashion,Localization,0.5
Gaming,Localization,0.52
Literature,Localization,0.52
Movies,Localization,0.52
Music,Localization,0.51
Social Media,Localization,0.52
TV Shows,Localization,0.52
Travel,Localization,0.51
Art,Popularity,0.52
Cuisine,Popularity,0.52
Fashion,Popularity,0.51
Gaming,Popularity,0.52
Literature,Popularity,0.51
Movies,Popularity,0.51
Music,Popularity,0.52
Social Media,Popularity,0.51
TV Shows,Popularity,0.51
Travel,Popularity,0.53
