Retail and E-commerce,the Index of Retail and E-commerce,9x9,uniform
Apparel,Brick&Mortar,0.51
Books,Brick&Mortar,0.51
Electronics,Brick&Mortar,0.53
Furniture,Brick&Mortar,0.54
Groceries,Brick&Mortar,0.53
Jewelry,Brick&Mortar,0.54
Pet Supplies,Brick&Mortar,0.51
Sports,Brick&Mortar,0.52
Toys,Brick&Mortar,0.53
Apparel,Customer Service,0.55
Books,Customer Service,0.55
Electronics,Customer Service,0.52
Furniture,Customer Service,0.55
Groceries,Customer Service,0.53
Jewelry,Customer Service,0.53
Pet Supplies,Customer Service,0.53
Sports,Customer Service,0.53
Toys,Customer Service,0.54
Apparel,DTC,0.54
Books,DTC,0.52
Electronics,DTC,0.52
Furniture,DTC,0.52
Groceries,DTC,0.52
Jewelry,DTC,0.54
Pet Supplies,DTC,0.53
Sports,DTC,0.53
Toys,DTC,0.53
Apparel,Inventory,0.55
Books,Inventory,0.52
Electronics,Inventory,0.53
Furniture,Inventory,0.52
Groceries,Inventory,0.53
Jewelry,Inventory,0.52
Pet Supplies,Inventory,0.55
Sports,Inventory,0.54
Toys,Inventory,0.56
Apparel,Marketing,0.52
Books,Marketing,0.52
Electronics,Marketing,0.54
Furniture,Marketing,0.55
Groceries,Marketing,0.54
Jewelry,Marketing,0.53
Pet Supplies,Marketing,0.52
Sports,Marketing,0.53
Toys,Marketing,0.53
Apparel,Marketplace,0.54
Books,Marketplace,0.54
Electronics,Marketplace,0.54
Furniture,Marketplace,0.53
Groceries,Marketplace,0.51
Jewelry,Marketplace,0.52
Pet Supplies,Marketplace,0.53
Sports,Marketplace,0.52
Toys,Marketplace,0.54
Apparel,Omnichannel,0.54
Books,Omnichannel,0.54
Electronics,Omnichannel,0.52
Furniture,Omnichannel,0.55
Groceries,Omnichannel,0.54
Jewelry,Omnichannel,0.54
Pet Supplies,Omnichannel,0.54
Sports,Omnichannel,0.52
Toys,Omnichannel,0.54
Apparel,Online,0.54
Books,Online,0.52
Electronics,Online,0.51
Furniture,Online,0.51
Groceries,Online,0.54
Jewelry,Online,0.51
Pet Supplies,Online,0.55
Sports,Online,0.53
Toys,Online,0.54
Apparel,Subscription,0.52
Books,Subscription,0.53
Electronics,Subscription,0.54
Furniture,Subscription,0.53
Groceries,Subscription,0.53
Jewelry,Subscription,0.52
Pet Supplies,Subscription,0.52
Sports,Subscription,0.55
Toys,Subscription,0.54
