Business and Finance,Return on Investment (ROI),%
Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
Real Estate,Bonds,Angel Investments,Venture Capital
6.195749737062172,17.939828485117047,12.900160916876949,29.76824309296564
9.656447372177418,22.913493291244684,15.739793943144331,28.379207188116638
10.890435746626235,30.0,19.454414060670175,22.154975365547806
9.91124633612386,27.782779288802352,25.113465151014992,20.732162307797815
9.294709802471537,19.564203533090385,28.95734350058637,24.512197904740177
9.971562200611025,20.324622477872758,29.129564581741306,14.741784331399526
3.838443803677089,16.705981215753315,28.413566068689477,7.077343187940738
-0.0426039782514156,13.261236729580325,26.484054831352857,13.37187140039287
4.420506752123348,2.215749389804804,25.45163391017452,18.222898078046054
4.770199965647979,13.38918894139962,19.39611264937912,4.824318701697926
5.7958457630543485,11.55339952966299,16.127930888097005,7.036053083848319
1.7819481798784267,24.847635949267612,9.07940703664842,15.119733379155317
2.6552950067738266,18.53772707787931,2.9887241988974935,14.38897828411275
1.9412285006822962,19.60754082063186,0.6372268834192933,20.539335180794343
-2.929595264632077,17.31941929744424,-7.269700333204904,30.0
3.769148682359953,15.818951651229977,-5.577762493758541,21.992536652222018
-1.2176461319076317,16.45148128743234,-7.507172235016461,13.52181608168209
-0.4396070152120757,17.372179816277367,-5.883481991788456,6.503213313309548
5.209700127530475,2.7996228227560707,-6.4177730953451295,8.182879184123419
5.774532869962679,11.455143055733341,-0.8886231151854567,8.278551964503006
9.623720095904979,11.30393778923693,4.3916275991425575,-2.6599561934961553
16.620927183562443,8.001292517379689,5.140273422660789,3.1678945496425808
12.906366936232963,16.579393845064946,10.635767086223197,16.96428627045496
10.449326032915032,21.838569493701154,18.473965615600214,19.616619603114906
14.536007012213016,19.546540583563274,21.84219878198741,14.175491544403656
17.066892598751096,13.825445221542559,26.96732883199539,9.894615603905425
20.465509932114866,12.124261657622593,28.658387104889187,7.692028455780516
27.130181994457956,7.816102192568174,26.162947181411866,12.31375907348292
30.0,6.308708617896496,27.531995409795,13.50895412053675
27.698753543959256,8.80720757927967,22.688519293028016,17.43975516225059
27.725645513995254,0.3111221527888617,22.100533205463712,12.813408851498295
27.549055182364917,-3.2741482750362083,14.663952289827023,10.995992502221004
26.930128345924174,0.6430662122176756,9.79635224719344,14.98959468721371
20.043185973073818,-2.5168034599614852,6.794513345327786,9.563785304443243
17.7023595211352,-0.5965406222845608,1.8730116571526896,14.386775180536617
12.586281051826074,1.2590346120749611,-4.101355283086433,10.175734531178936
7.815489473883467,-1.864747894920459,-3.142944828417134,19.00145881567159
3.29652894815003,-0.02908125958134633,-4.386480549298949,5.7974257750590965
7.772141958592108,-1.647137895315817,-10.0,-4.585622470749536
6.730031971041232,-10.0,-8.050937367649555,-10.0
2.2580901048761675,-6.796712414171823,-2.102610778894255,3.8909840085704506
8.069248413211167,-2.7935358390304117,-1.176045543838045,7.5064461795265025
9.644621042519518,-1.6961296398987695,6.680740438267197,12.320051865591072
8.424263048541693,3.9140824254305446,5.822032382832125,3.175088701468985
6.866049507541604,13.222431679928803,13.74612000139215,8.411258159603161
6.011913795207612,5.262115283263267,19.410894206138842,5.426274853371604
-0.7200278495627828,12.202522593810627,22.849366460234044,1.154559071372688
-4.594582047805251,6.196123000350958,30.0,16.731938221777103
-6.94460783792647,8.231361673233685,28.24795240563423,24.184370081097455
-10.0,13.18330524344396,26.242495695214437,16.636700515639046
