Tourism and Hospitality,Tourism Spending,USD
Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Transportation,Adventure Activities,Shopping
821.2760237346948,887.8290738355735,5815.300979838779
1011.6905397629738,1073.8013231484022,7780.472973830365
794.3454736003583,143.87558889690428,9587.166485067024
480.293538700674,1493.7262340497946,9633.101636597725
998.6686243322956,1417.6143393917284,6184.040454027721
766.4427815146635,0.0,3710.0331779969915
1149.0291710656961,641.7668138541123,940.0907696872915
400.37321507184373,124.62257300092273,427.5523465919258
387.45703807908683,1041.893863536747,2432.5177220942705
1051.77008106244,474.29230878235217,5649.600113062497
938.2780992972105,588.6422100810449,8709.537353472435
1065.3469228902982,1563.1487757366428,9967.871059434585
702.7029336453401,352.7650702276332,9467.130423378816
88.87687239013118,717.206909263641,6529.225158233509
1298.6706412370102,868.566994086765,3264.5777036419345
1113.6631982373794,1134.0248985623673,914.5061883114053
1263.3334214785068,2746.149213012889,875.9912385452877
2364.0914001283077,2127.1598684240544,3032.795998346613
3262.4177474444664,3908.4544130363497,4758.155782588125
4114.2685350206075,3932.828396071011,8873.750859684149
5298.468004164548,6096.913767090088,9715.179627344607
7141.885827989722,7328.595133778468,9093.544273252926
7317.832185805763,8445.850005528926,6091.497302873979
8444.773610874048,9549.316665070917,2438.9319233343663
10000.0,10000.0,0.0
8812.858671143755,9729.677356068023,288.4345272008283
7159.8210495024105,9626.267895278956,2712.1317302119564
7380.664457408075,8961.993743773175,6030.987124825253
5854.315703907375,7002.020436391048,8342.480702395173
5575.165592961607,5767.032920802899,9314.35573291207
4517.191456738137,4092.6591098189224,8139.86890314375
3629.5833377407594,3404.233980646923,5306.238678349936
2183.466672903093,2886.8316725319746,2197.8356699428377
1266.2705008385446,2046.5232707319258,849.0420429522226
434.0883786772933,1617.995725268217,1011.3364024003353
1120.0760300625116,1846.1014363694458,3232.15507385753
963.9395632876572,1730.1087314539295,6733.818256090912
1051.6131372622629,1215.6087385783176,9488.748406215545
1140.6143365968626,1064.3684178982637,10000.0
653.0807438175552,200.08884078403125,7906.269234309233
1113.9764698765032,1026.8208521384151,4341.516528876847
737.2784833670896,328.67023510755024,2109.6697787464027
703.7469584032398,688.3355364125925,515.7952058099182
1011.1861429448783,451.8456149797647,1160.7434955190938
0.0,675.0582210015195,3977.622882779016
567.2011893660394,1301.3797909170748,7500.91177268964
968.7534213661137,1283.7552168612858,8544.429717379446
1016.6632884572201,620.5933726946365,9752.909752635573
1171.4080075811662,1402.009724528437,7462.915594860292
608.6659755725684,913.8597190937897,5130.7459418810295
