Business and Finance,Return on Investment (ROI),%
Random fluctuation,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Real Estate,Venture Capital,Peer-to-Peer Lending,Angel Investments
-9.963820114262868,10.607686909707983,12.197985320781605,-6.181678410278873
-10.0,15.250524871281357,12.633148601200514,-5.675752905819721
-4.585410891163231,18.661580715794823,15.599742839376955,-4.035945483666453
-0.25287018179700205,23.938951042920927,20.842222136459707,-5.805954462673247
1.6296705999895362,26.97029612238856,25.300082988234585,-5.617791787691703
-1.4485970411939526,30.0,28.62178042369419,-2.416189524726243
0.22029350498243438,26.01296300660576,26.282838006835867,-6.3400713243732545
0.7296160225321824,22.56448047596556,26.35656052710668,-7.753465368420082
-2.5301035025214347,18.500545767205843,30.0,-10.0
1.9953752442740136,12.324278851591227,24.042816337376955,-5.910337743000272
3.1868650772750513,10.534802518494182,21.061726131110674,-6.31656159477626
7.600042260681043,4.218857606191444,16.742566153042105,-5.628360411829801
5.99730331798769,-1.7405910341100856,11.751940810139093,-5.824371436331608
6.100722708630272,-2.8798443338772053,9.236063570099514,-4.675407434697018
6.734563792866048,-9.786371926426776,5.163813514873414,-1.4966688010758276
-0.4065186364263784,-10.0,-1.85370790640372,-3.564411440214582
-1.606223317637518,-6.978855322049272,-1.439867087163785,-3.9975634182540274
-1.1907412877342658,-8.229636098474572,-4.616302436323388,-4.5058775810538325
-3.139855943215588,-5.624028654020802,-10.0,-2.3427798880055386
-5.475529675145917,-1.7150258155158298,-7.652025069326411,1.2889220720437589
-2.7206608481728214,4.132679802985951,-6.328657716243287,1.3768168304569421
6.185122452923665,12.321551862566473,-1.836334953672953,5.502415088609267
5.215085284032417,15.968280516690825,2.4961217281068144,9.006367239177234
9.96181105909804,24.93882585496022,3.6510659016434808,10.382367418497424
9.654862577616608,25.062868155435176,11.284606882801071,11.701455140449703
9.741472010832759,26.67178677697912,16.29798890440599,15.156221798095984
12.924321110311471,26.895863025301914,18.235931067335265,16.913660884796613
20.635819705726032,26.391508929774062,21.529317650985355,16.369335665945282
24.66213561616763,20.993193806381175,25.298725678021306,18.48579451628636
24.048252118802026,18.14396082782736,29.076991814548883,20.841302234914842
21.125695630365126,12.950456946818388,29.784359877115037,23.74030878595145
22.270979468772076,3.90308002900902,25.154799167321897,22.88447174700947
23.048785230685517,2.245521955317539,28.129160439270322,24.793645560145805
24.05952004759702,-1.48698197608325,24.934328075542858,24.75036481941534
24.494721130150523,-9.45355344112672,21.214930946672514,26.01995437929937
26.38560533225703,-6.849179895088023,18.176585773295542,28.31258931143463
25.86404750031734,-6.043910578547331,15.49314563318962,28.842247840719423
26.469802306166407,-9.900852399775669,11.886470523572136,27.00459508103328
30.0,-4.178495854618146,3.695023482070688,30.0
28.72638769380417,-1.3810808640136258,-0.1437698082994583,28.733964010812215
29.847749551958664,1.8970704170256418,-4.392234209644644,26.332352273119646
26.80914172955604,9.557837824457408,-5.069391668823996,25.519548083416403
23.80803800091209,10.07118208686224,-6.231621332447499,23.728225024321617
25.06878846832158,18.11999963336603,-6.939116616847425,22.174891341632048
28.11800042315614,20.984231727251505,-9.001265115705637,23.04194034245799
26.140818368309354,28.37144849605295,-3.853332443111812,25.421502710876837
28.164237039034163,26.125750021780945,-2.324516651066375,26.895788284277785
21.947652310969357,22.642576368327852,2.8444964507001558,28.53646958272747
23.69255413108479,21.724319176817836,6.846250248385328,29.317162381250014
21.24213581949258,19.966015440034965,12.316489666474219,28.372607572012612
