Sports and Entertainment,Event Attendance,people
Periodic fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation
Professional Sports,Gaming Conventions,Film Festivals,Theater Performances,Food and Wine Events,Comedy Shows,Music Concerts
439022.7278044148,504352.6261914393,811784.9712744174,492020.46289406996,106979.19243654935,314805.1061990535,320604.2273735348
771166.8618924137,651816.5790231208,673817.4532882771,483978.6008186394,90189.30353578767,291286.09070024797,284633.616711217
874973.8934227547,768512.2929463085,965707.2376175488,396598.28090408747,48376.437182681046,224190.60146730024,343969.7314614872
975589.8106337205,879979.9137907902,945709.3886363563,524931.4226218766,84474.58914121866,218325.48761589997,477053.0082895259
970879.4794005434,882277.0548513872,912147.2960642548,341137.5136670586,119459.0473289348,225891.96307602598,583047.6401102094
852615.4477175258,1000000.0,1000000.0,242381.79791533732,89867.69800010444,369220.6944804593,668131.7960098073
628940.5955465909,953920.7148135958,906442.1832643076,28068.432778201026,54733.87473844238,426441.4508799541,609524.8691386725
420326.37682377826,859948.1210086024,865404.5880575613,0.0,107850.75516606207,311780.6757322854,529374.6554027644
279016.07105956046,821974.1172420639,488765.0107465142,198833.66673748687,149458.95073938448,247831.50488217984,555829.3221027879
0.0,723691.7333494187,789164.4382815905,209197.1961616629,40689.62514501486,211099.29188229074,662552.1255467187
333.0251629187792,674645.3193796176,731232.0306242044,190058.46113039373,168075.25124095005,0.0,748561.583359782
37299.410052471525,489985.35277919524,755736.068944134,314024.1615666466,74506.24478573387,122017.11500946152,745673.7307234136
179878.42703649835,384016.4026054429,650830.5361471253,298018.69198181486,117448.29706154144,225734.5202406149,813871.1262853937
380365.7751037584,226281.31992911577,763870.181139398,314761.14240086614,135425.45481429828,273350.04573732265,787705.220340385
602348.8905656186,217371.5791659638,761655.2629311503,347275.0764810598,133025.43633829907,386914.32052254374,858560.089438373
735680.8488608781,149901.32659293784,436062.2736020821,334642.8861230968,120085.35005470186,623537.2461655816,961298.1135393762
927280.8526170073,40544.668919042,17457.748024176002,399553.8913577509,240014.01410598066,495139.8584467606,960971.8919118985
937763.6529921844,39842.53971529699,220607.71484058796,515096.0097772451,225597.31778555777,596205.402641791,1000000.0
898692.8977520193,174528.24837462715,377541.0166828398,531760.2882371031,306148.640359523,523044.72692337603,824540.8074291516
675505.196655859,324868.1249562863,329485.3510199554,575942.472769436,381577.41754286207,750175.650005736,805730.4711372048
606514.3575517164,281020.9010579858,344096.9080828793,517446.7668586673,624582.7151246408,771803.6193695536,857803.735810256
239763.07145479808,435350.7113128784,197828.1486811595,645021.5576997123,678579.8132802055,778459.2723969457,871059.1845784677
128182.58379161873,632577.2459271086,230581.95485835176,795741.2100167763,765103.4546329187,1000000.0,775097.2880674796
38736.78331625494,618409.9675791807,88331.72748372139,810026.3920079037,1000000.0,873410.8529289509,612740.4156738889
70445.01072724123,677885.2112255417,338099.43749581545,895577.4338134108,991737.2942536141,725437.1187864165,457365.73329274
70000.50284473033,839147.4849166963,163937.7446166028,1000000.0,932906.8838581239,564004.2117943016,387555.1829714661
313034.49162520596,977539.3430874615,28355.574686032043,816405.5925585816,947792.2505782265,816106.429808874,322610.6733871197
473335.1836261719,944921.6914551593,0.0,677011.1548266953,936662.4993355393,879134.6205202644,255019.28411328106
732217.0095824371,948482.9232219127,198923.39131469416,671742.9986959514,699173.7790000846,842962.2229935437,122987.52797465459
912829.4383692894,825862.964263619,75258.36112475801,766919.9888464354,621052.3069829795,650777.1514369595,86377.90782190954
1000000.0,766436.4907189581,370721.5522931734,749896.7865880225,413558.09493275377,753562.5879424061,249085.3604661686
