Education and Academics,Academic Performance,score
Random fluctuation,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation
Vocational Training,Language Courses,Humanities,STEM Subjects
28.90218295778017,50.441745662331236,49.80737691233904,57.2862143174795
29.144709001204248,66.72374647421773,61.90392453008591,73.18941809485167
20.15912574910011,76.42151980361024,95.00113984249369,98.40780434040572
10.28604869998946,91.97793472312001,100.0,95.69702503179995
22.661838078829096,94.80004238895121,95.00653054705262,98.08206986492665
28.559824034244752,89.23726436964057,84.90577062172349,98.46382662746397
32.61089587890525,93.01004722264283,61.10991285561537,78.1010556332847
17.34155611404758,70.80169579739972,53.25407812792413,65.95557464812624
4.514646390810782,46.59612398450154,22.69934754280572,53.29006594426422
14.351199056383667,42.03481681529375,15.548316901191441,32.86619701166499
17.25124982730504,26.582289098802203,4.868049148114966,16.60285008239823
18.332783271949854,10.767652683699465,11.844914836049696,13.050005937926315
34.20645527939436,1.4232657215039282,15.14103632304489,0.0
38.07745500378551,6.9179788728163425,38.95774919595703,19.39007286239041
42.66706131500652,10.542441036972756,57.83723595393131,26.65646136378098
38.398434623879815,24.666530056120646,70.53430650685382,43.96157932148531
43.572215296070226,37.68099360591375,79.26529158470605,61.39353878182236
33.73882186162822,57.05570423886459,95.43910876265119,80.55727847728653
28.791607641293165,71.89066138688295,83.83764278251606,93.56504920560405
24.913370258424006,84.2037228062878,80.29008237906604,97.82393669640902
17.32063687240936,92.9014529064126,58.545344559902524,99.26203194590654
13.795831711464915,96.60453221578373,40.64086719290702,91.86267882871823
12.941848765992617,86.9091950000944,18.709483055381114,80.52051411717973
0.0,83.46741285149261,16.08766583223626,59.72107873214374
2.137922249423372,58.736651945400666,9.459235469486176,46.09808779232172
7.437188191205898,47.31778635592682,8.574818705968221,31.418303007481235
7.846354999234386,28.513100955416128,20.209264714896698,14.93979229583784
16.94828375431139,22.414548216800757,44.80346983671333,6.439080751056818
21.132992899597568,6.356154297942586,58.15463226603493,13.529894104558911
25.99002633442991,6.144107813158991,69.77479867826992,29.492842242382995
30.78322381441418,13.480199226594966,86.92261284765442,31.2861760545904
47.070029535423316,13.878221038662037,94.23906513503216,57.10425600360994
51.8708693446412,40.62705668239055,86.90251479283968,72.01248554733564
43.16554824439947,49.43118475590549,79.61778284194524,82.65401518213505
28.00764808419388,72.52686395600347,59.27440777334617,87.25867573018358
31.426952368437693,77.70097040045107,36.75980314112677,100.0
28.11238146784066,94.70258473026155,25.42158062384176,98.28806255249312
32.54329597081301,100.0,7.112403821597951,85.61096185071865
41.10333110411987,86.52966849699271,0.0,70.02821820409494
50.254509344087104,85.02698073338743,8.23242172211069,50.38711371986104
57.612224394012536,62.02887222622181,25.153244958601885,38.01228189569083
61.050463256776254,51.34169063338989,43.940738218455124,23.116291742392722
56.586349674180795,33.50180244190146,60.258024194896166,16.469281391817862
62.94070058650054,12.661231718844206,81.84768988273345,12.83589145844157
75.55744603168095,5.808606734740856,87.7073046517314,11.682807638730267
81.15085240838773,9.824885562710328,92.70869893722485,24.18220412594218
100.0,0.0,80.82023682005101,42.44571289091988
89.61880655177747,17.188377804118456,67.14094076901684,60.95426223094636
89.22503708550683,19.084878589149174,54.581117335167384,76.83014916227555
74.64875695486491,41.576075864895344,34.17103128655776,87.62996083274588
