Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation
Coffee,Kombucha,Alcoholic Beverages,Soft Drinks,Bottled Water
14553.0996925288,100000.0,3171.1015432355453,100000.0,58462.05930149815
13749.845747535013,81495.56635588917,6470.72785250604,97674.70210527032,72203.11304495172
15508.05772945765,76034.40233783655,4015.2493689223293,92224.87390074591,87221.9240800703
11452.834328208099,79165.54296007987,7030.524850293381,83812.9397112931,96354.70223351722
4173.468618383903,66217.25443351529,10791.636318882556,87863.7597929931,89118.8184197183
3634.76300158006,80555.27683833467,0.0,79218.00921733014,86875.55157002082
13139.432466416149,77666.96938150917,10505.08745436292,87855.70912837671,71952.77316500276
15339.63397265705,88505.8094681205,6374.869694385972,76953.94254635753,58498.8199525486
11011.753941948167,79135.61264815004,8580.697358116695,73464.77103657056,32877.00444261931
7503.12797165576,60556.87669805553,2166.2657813061596,68796.67550378776,17203.709297878704
6690.604450676721,43006.11596539213,10422.678374926565,71596.28733345462,4370.618325091071
0.0,39428.38699424861,9062.688961265556,65340.40682292037,6783.93267454985
12072.433908292687,31310.442274978755,10858.855955588035,53829.84632040718,5658.3423365581075
15324.615648770357,32058.842211521664,10284.106203709973,49019.8340926135,18489.350048506385
17746.87730002526,26314.11377741166,11938.779038396664,39764.005602312165,49828.4483815186
17988.933295323885,26467.006028685886,19193.139018253376,42374.499352890416,70215.92009975642
20951.827417943612,13613.379874436685,20990.852705925183,29491.157007297465,82558.79237847058
21105.06380854695,19338.021502718646,20539.305816780805,22882.34024362564,92494.26771950461
36928.6012336305,24442.856404826034,32560.49501118121,37944.77358107001,95687.86560464239
48556.54767719749,13612.635279960763,47410.74191600943,39360.144194962784,100000.0
60124.24507175876,9222.256305864581,55828.36402029281,36398.36625897419,86486.47003871482
70619.23599374684,16368.89383147726,72315.4124193633,36151.40230406532,52093.546723000196
83588.94654381678,17817.872006339236,91581.40968778278,40471.86075274976,38844.76641647787
95058.37905843502,14931.306777966158,83424.77916227907,32134.13859176777,22506.403995921155
98745.13085612505,24327.387375048045,96058.7598852434,25583.892277371022,13243.726784768036
100000.0,24473.43522745666,95364.36189770639,22285.83081992367,0.0
91829.21141625238,15805.01223643527,100000.0,28082.622206637923,17670.6730380221
86876.16733844118,0.0,83923.76483489796,23767.132030446435,22709.53035090296
66147.85013390442,21453.827077709313,70523.71599877099,19957.542028749318,50135.73247947709
56352.786789543716,28106.122861343192,57048.75235717608,19603.342837107703,67549.07509693083
47967.55519550029,45201.04424836299,46175.77165446459,16781.116992018295,81248.80637599093
39461.952721096946,51992.64157320806,31094.066158887857,8460.605806324951,86755.24448704664
31098.35004315486,69821.6879585058,32717.728754455828,13846.331616496918,95139.89604290972
26704.337887676378,71745.03266018146,20174.687426587778,16698.811026953877,89435.61404934617
12776.647928663942,73215.85357194977,17466.31364538586,21302.43602694652,76926.6250853636
9800.726088139781,78245.67827636683,11498.769463191982,12297.112726043433,55467.60215390974
3933.2672184129456,68322.23473954634,6379.758145526664,18714.356527124994,32212.7635937355
5190.834617828559,63982.84201813156,5465.825057115311,27531.01178125964,26423.042324431324
14163.089410851515,60361.41586267495,5265.519876700003,19534.22516189215,11324.509989700964
8311.050266320563,61612.93312386581,10252.413300282407,14617.901796069538,8577.369257298806
7057.740474252299,47977.79069277972,1304.103656598885,5911.070230252635,14729.650293847766
12080.629557871587,66523.68484756254,995.2509376489407,0.0,24727.21546285004
4383.459202107012,85046.20680857584,7100.4560490767535,9510.519241077363,42019.942521574114
18661.639999483148,86652.57369487536,10134.43862133201,14574.13092314793,51282.61140058649
11873.825737035297,81964.36758983784,12376.425986221071,11765.198542404092,79815.6763839322
13547.375910776635,72701.91480991406,9531.458590599797,16925.123770242848,93550.64569397626
9720.376080709018,70257.8056957204,9270.833475236152,14771.373163829405,90273.71201880969
18620.967838568944,49281.370227906984,7845.945109903356,24532.45736244171,98302.11424846952
6998.784038727157,59949.16526580786,7893.8774864137295,30820.168037917323,84911.00127214826
12728.244445060944,72196.4693990282,9168.23546335979,32269.48963032618,62042.745991370495
