Tourism and Hospitality,Tourism Spending,USD
Random fluctuation,Single Peak Distribution,Random fluctuation
Dining,Nightlife,Sightseeing
10000.0,920.3287980546141,10000.0
9950.906901931907,57.06041900643755,9945.920412921254
8858.351860713241,851.1851334567551,8365.334316881568
7570.682121908296,267.2770554281366,8907.955721547043
7205.627201988486,544.5997698138733,8543.961472075707
6906.355611041632,868.475178215677,6935.519562280085
7134.274319884829,0.0,7467.348800727569
7997.34918774707,626.6184629870785,6251.833140073414
7705.863217142631,232.4486208342266,5227.090002827786
7732.354426208639,1196.5382043345787,4707.085531614435
6774.333482796009,1325.0242530750559,4783.7199456705
7571.498793197644,765.1632257687577,4485.539519439957
8390.277882338802,793.6261002351415,4974.852215466675
6714.98306532741,1280.4131711096513,5816.327714784697
8092.495565419474,840.6337057611214,4666.2198508843585
7800.9320355600175,1431.9417717887911,4054.4345722146973
7831.857825958419,2213.493417248972,4610.454269462869
8287.959734574131,1760.3324864570661,4314.837514200776
8971.297802588382,3132.761785699155,4012.7957273259963
9314.592860325974,4976.999897937582,3384.6864676849805
8631.991957972543,5517.732855780694,2741.004445180965
9719.833624177141,7192.9727141450285,3426.9111006903804
8780.6288065406,7726.873583971973,4190.272058975517
7402.938281572548,9159.8963002515,3882.137879184962
6070.309249025233,10000.0,4072.84490202466
7000.339690071046,9076.042791902637,4427.006205365991
7098.558768939106,8446.347894159919,5208.41991914359
6190.128998075796,8089.894190005173,4578.58061498021
5424.0867209894795,7195.320417853527,3784.7479379537226
6035.33370883616,5342.076226562558,4966.779493967531
7094.684731026959,3879.4345253209794,4013.240799437523
6665.412443085331,2748.43402186054,4231.832432456372
6590.78046116741,2152.104249883394,4178.880648055095
4823.366460798109,1390.7787719396963,4800.6883193624535
5847.110373563825,1231.4796547571532,2659.906436657748
4999.310499098515,1239.7848523511127,2438.372196001938
5676.939850646261,803.366243088752,1778.6459185672118
4958.734537635665,638.4983313894144,1303.9760950909704
5698.331549252759,215.0078939094233,782.5780693862932
4712.903609616635,1090.6307475166514,824.6474443960697
4986.4769507132905,1261.8768467982793,1205.0431518585838
5126.109790413129,558.1057634465102,1435.1737466352786
5002.328980657641,1036.7313396424902,1244.9418401933106
4446.460489970149,833.3729118566902,0.0
4206.293425947406,577.6227257225916,1566.4207625929578
1718.9148352687287,206.13139345558665,2855.948009991499
0.0,1433.502555358715,3066.1990567044713
889.5466657963665,443.7810942680234,2621.9058415247214
1636.4259764707,1251.8108086896132,3450.0256042513956
1354.4990985895083,616.4870047162367,4688.856105973217
