Science and Engineering,Research Funding,USD
Random fluctuation,Random fluctuation,Random fluctuation
Quantum Computing,Artificial Intelligence,Space Exploration
44512802.25771427,100000000.0,69056965.22314641
44153007.40766502,89976746.1100359,60061547.47522223
41014865.187843114,76188756.61506091,63173083.99510575
56108016.863439456,74771931.58748452,68162256.98228584
50824249.57776548,76689541.7930096,71311931.12283088
58735880.08787447,69272627.41022775,72218997.90222967
49964542.33961777,74475147.79852426,49729617.178202204
65796143.47585494,84118852.30647402,42590703.66432992
62109630.822524905,83948543.74429655,52240837.67712254
49823314.048928,70185606.94803238,15718942.783995954
58010462.616183676,67724390.33015364,14353080.537927857
75722786.22850268,62915831.23341322,23137895.856597934
92305119.18227014,65721374.81591859,30938646.22366898
100000000.0,65972058.35946459,50037184.14951895
92663993.4613472,53858734.14370348,54715564.09864879
91183181.42317308,69156053.52518718,42640915.32087173
81984807.90698041,59723154.97342179,62188531.95666595
71760639.58589299,65522621.16271047,66950805.32338631
78560303.31447908,57170470.641596675,83717117.78144592
82910696.89260465,76305389.88605297,76683361.45304345
94199881.02339609,58715509.17286231,59617284.54342664
79026718.4755572,48503974.38928697,33921216.00020459
63802351.497984275,50146537.44291422,23774021.797357615
49055255.94656831,61199233.42905952,7547018.550518768
44348753.76510219,55731769.709602185,7343388.68831715
47625277.18668744,64651313.58963666,18803219.73639316
56141518.88391594,73391733.37948357,0.0
67019591.94874425,80619364.01128146,10407452.644013954
57590850.0863773,79032768.8334803,30242071.533710126
59948289.65983681,73992557.72067551,20055437.569651835
56908075.00414907,73135595.85530967,26109868.818794575
63167411.80569942,40699221.62671735,40485067.221481025
50952477.6966935,40106870.90543067,21717942.65942042
34508668.288218014,34466676.99635922,25947812.905121077
43521564.052448206,28884102.788584713,28845091.392049417
0.0,31058475.041134097,30368730.83782932
7831632.564055431,36974928.0553741,33888064.777944066
14770496.254372353,36388762.991501614,30147603.928735983
23798736.065703098,32663822.47459809,36917353.73369636
717627.3307519146,27195079.794001624,40254560.565436274
682264.1097302692,31701502.36022909,65890210.087392285
18296866.176715817,29406173.640360527,67488992.21248177
18421496.900702693,23605271.342290275,59777057.66200297
24994018.95959171,4205318.568959302,64136680.44468299
18220027.28262175,16513701.123637887,77590299.37052631
3410438.2074196553,0.0,100000000.0
16419881.514376337,11002038.489580678,83564559.18288663
19724686.62403755,9762727.385214696,83045873.24312836
8981352.858915811,9018537.93519251,92939248.37051679
33759210.16729805,15995101.18873007,89905027.44553532
