Human Resources and Employee Management,Employee Satisfaction,%
Single Peak Distribution,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Random fluctuation
Career Growth,Work-Life Balance,Remote Work Options,Compensation,Job Security
15.43811537331569,6.792365873662421,0.0,6.512109579666733,35.02014704058028
3.046000738778572,1.7232026647798497,2.8026053374925937,8.163457881339177,23.373984391610854
8.64725616760021,2.0930037157114416,4.5672625506281745,9.909090430801633,16.24649849197859
8.460970028022032,0.0,21.27491907138433,8.460998273611027,25.345814050616006
5.569901710826703,15.678199886980563,17.143409164737864,5.971868834870236,37.91660702534086
9.809837338644275,10.327086694694804,33.02231983941768,3.7888774918060935,32.0862379996986
13.1030078142065,8.505999575624092,44.58317596858098,12.911601450507643,45.84650017208652
3.0719609383749016,16.31543501740484,30.649926064781134,2.4027262976708608,40.862336021317084
7.005831330532948,16.84021204653173,38.43998756909543,5.347274095573875,44.54702976464002
4.389047501439687,0.07508973465446822,37.67037429455511,12.664980073743598,50.51095704657102
7.996779584086837,12.848985551151676,28.759574492934664,7.69051731057903,39.348913177613646
3.988578438995486,8.8084936044555,26.515571993511124,8.284469691692813,56.20074792753983
6.1697225923370755,14.120795851410712,24.219651895482727,0.0,46.5245406164314
3.4320907226638697,7.296867896204838,13.26830180266433,10.242113490178795,41.35960091173349
9.35040453467056,13.963641016574565,21.402305195558938,11.003677756564906,58.764442045767915
8.829377751315057,15.856002240056785,17.410638610780747,12.197214532278815,47.16142636037052
15.692678061817112,11.595008307351469,23.409187641367154,21.1421136661129,64.24832022811509
19.611882628282235,18.45335453723174,23.129532800889386,27.585383714473195,44.5627938668312
24.574193352004738,26.009451388041427,14.118499782237409,39.289012411533726,19.310239233162427
36.27157258851426,43.173296708203836,28.443018493892918,46.43480576088668,22.522116919878407
62.98007260254841,57.52350736457695,50.35308179117928,58.51397335600525,13.847943681671246
73.92502010060356,70.97921999761274,38.29282172659568,71.0249150728423,26.728019371354904
77.84463002395154,84.02457123143449,44.24951513955989,88.83248869357215,49.766391305943536
76.93378463502184,90.88349674616273,45.22486821246729,100.0,41.96728356270606
91.59760271927408,100.0,38.986653348836796,93.83296078653044,26.30177042248364
100.0,97.59217719106525,22.95219792110656,95.21932409198875,11.472605350275943
87.64853794719747,87.58258558383221,15.939814725984187,86.38289152152045,0.0
73.7579142862407,81.70590909146492,37.60976194274441,81.91602315161629,15.551224412142158
68.74617043577746,69.69628270689817,31.809754128787652,58.11383977120014,26.30904425082968
54.85187617005916,54.28705524778059,50.009416965794905,53.11279680152157,30.290697917138736
44.09762157649374,39.669474207756046,53.837142490948864,46.44913188725755,37.19887725345463
30.96851203679019,27.865246037172998,70.72825981899331,32.74612642395757,55.12345346534765
24.175367761012517,19.57779899640711,63.299882127135376,33.74677774220301,63.568915017721025
15.228034292735208,16.859844223699554,60.6549876796477,19.39358813119996,54.06281147490507
12.479059103727225,16.840243022448593,62.57061845860956,18.667598820487896,65.11555060900615
7.548610603754461,7.068171496398155,85.16364668404267,14.414570510252073,65.31597474543636
0.47569670871772674,11.88220961776956,89.93856210573524,7.502564865202686,79.37231182102788
6.987478238259655,9.299993563425515,100.0,3.31418844496906,77.9264122526202
12.011091045907953,3.7613456929568723,95.45784147890234,3.5492477918175385,58.01069934490282
5.454776881722775,9.405527133338044,94.55819516393483,6.238499437557282,40.78989148779821
19.120039005999377,8.73369545735466,93.27085145128801,10.444169618308182,58.82800794925911
7.5711943999929145,4.30311165216954,76.70031839179927,9.499034118027344,59.5816228482646
13.06009003187483,0.4027080117025783,81.54893945666308,0.5377991492712899,89.92909002500302
2.9178612441942615,3.029391646255866,74.55578588826529,5.243877123879888,80.18917571253994
1.4617598562342666,5.728560345146106,75.8402472122524,3.478774425685729,92.01422200723898
5.410467369209753,8.563536748126179,88.58755578624299,8.457720741351379,99.82077824366435
0.0,3.2202582803078035,78.26758691071356,3.690013960913543,100.0
4.568171322918608,6.073303311275058,74.56094492597003,8.133607134364057,85.95653735296482
9.973049661757983,9.793409849146052,69.17050277430073,11.455014684174708,80.65302059557912
9.950418932256795,2.438710904148961,50.23432502748144,9.638443724639515,80.98785087667576
