Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Random fluctuation,Random fluctuation,Periodic fluctuation
Kombucha,Coffee,Energy Drinks,Alcoholic Beverages
16098.609436503086,29618.434470466604,56965.90972786269,52498.75732426448
4025.5687748229943,40912.53286583513,62164.554200575905,78855.57561050267
16676.662182881766,37649.908320091214,69139.84275613457,94986.44174890651
14185.931813614521,41365.87477331214,59121.40172374962,88488.24209690993
16565.602488105807,48628.23779382175,62231.360611356635,70141.91736475274
5767.69625231284,61229.14561051096,58507.03338884031,30035.39199361104
10945.157097301459,59039.072813743,72296.92930789072,0.0
13506.188742323775,51273.56198889102,100000.0,12436.773072498328
8547.634336206323,54129.377029881376,90296.45420732019,22542.30211873857
9300.732562420979,44747.747097152096,91460.07201751943,46714.34097522978
5568.73713567637,47003.69567630177,94490.85834779133,71290.92191767594
4366.890862642599,45097.03006456045,81795.6513575082,94811.64841765589
15002.18335472579,35416.07035634937,80644.09671457564,83872.48988337004
10244.872706694014,22434.98176952245,71393.3790534219,68471.06228200797
14754.379982886509,23330.823988830365,57564.27019123247,39420.93063562181
13885.533693515736,25305.276707239722,44048.36259856642,12858.699029325784
23209.14278849681,34999.29230948594,51795.17794137619,740.9709236104364
27187.624452160493,27548.39662759158,60514.41458102354,17750.09619443188
28230.197637214926,14742.301405885482,70357.58149287988,42528.2930544865
46297.27164322621,18337.837238266897,54948.72960466103,72998.94758329906
61437.03495450642,8600.250360504864,64363.34848967503,94419.29512285249
62067.2427995343,9326.715464132532,56681.006223718534,83638.64438650798
78909.43691619887,0.0,46460.47917176143,74218.5538390719
90813.02261915023,7121.494941145968,44170.79264089144,35638.68460422579
100000.0,8200.881445995166,40953.85345436664,15531.59801707092
93270.97391847911,11577.564144724787,32629.65970485886,7942.706429142428
86859.03737931323,26659.19281778865,25088.99133037833,17296.73909143746
75930.42512630255,29940.875372586834,24210.95840139763,39614.42485108159
65808.29143697553,27210.310739862332,20798.447639157897,71444.11487342874
63292.208120335294,34155.408504193954,28739.135146534994,84145.24256974876
43601.35287801173,51367.958092363406,30897.74626419888,94172.4906377278
27343.134552812633,53275.771352223266,30061.90440956869,72845.72361402142
30549.36799615226,53888.5040416923,16556.25724588976,40647.095862977105
20789.070568328436,50628.00710862291,19762.36797519708,17798.855480600123
20901.314983843407,54212.737642230946,18912.89981467855,4838.822131251505
14048.057785472523,47894.16912293256,27469.951582202822,14826.154690022806
4515.093784528012,57398.829405120334,32932.2739928146,38316.46589589265
8623.841873074598,61577.16684749316,38642.22757562843,63562.17234084357
11738.343736466226,61326.16039625033,37757.651677729154,90352.5498962674
12925.59989748519,55520.252472308675,29497.753697172848,90323.68523569434
12962.273689453335,59526.19361540702,21455.20362635359,77995.8485499097
19136.41908776977,65618.060856205,14186.83450893635,43630.34835917374
15500.001653962412,67928.2060268242,11346.85640394509,21997.58405043605
0.0,68205.09264259534,6777.369211788982,1746.9094298670377
10775.921681983624,82747.33532863161,4043.9702927482876,19218.247972962166
1040.6677354392355,79651.06441201664,10602.369773440705,39083.46724304463
11434.745655833909,88980.4016595283,12807.402517914612,67584.23395800716
14864.682414282077,87873.43379948073,16391.44143550816,88044.28499764964
14837.923095741557,95736.87897534468,13533.780380640144,100000.0
6499.787836945529,100000.0,0.0,72651.00739757705
