Food and Beverage Industry,Consumer Preferences,%
Random fluctuation,Random fluctuation,Single Peak Distribution
Tech-savvy Consumers,Organic Shoppers,Ethical Consumers
41.10856952554342,97.99505406926862,17.41776656409824
49.9825325379575,92.03947441789757,15.786021724688418
68.86413985013587,87.61311799830301,7.477083126601965
80.02060507453807,85.04432430386171,16.757595180685037
80.6555878345613,90.56549287808554,0.0
99.80033048857504,100.0,14.298996125436677
86.68244525429257,91.70180187554665,10.395478474758626
86.22981587897466,97.4926699617805,12.645004002775966
100.0,99.87127896036819,6.447053292109425
32.66339505499549,95.25035542534962,6.823405104414211
44.12899516357616,95.60415413895434,10.77790539101155
54.09392249552298,91.04561682182752,12.848856446675777
66.63781793041554,85.61224723347026,7.316035557772628
88.16562080105746,78.07518270876454,11.010868146525247
62.30364508456504,88.28990629082682,12.032878931349455
74.61115317257654,79.60298664396943,10.243729330440683
72.01343558362984,78.29272280979652,18.458919051769744
71.74755194862757,75.5523193882144,25.085487202748624
65.72098705212383,75.7152770173694,45.11558383192166
65.63565145417408,71.745934582558,51.81543071685864
37.464350549821745,61.173332637467546,58.82547619912846
28.94012503719596,43.97956074184517,66.63243769203481
28.110535620465527,41.922720909228275,79.88790880279521
37.190239660847666,30.588652247660107,89.04632569809475
34.0009228689017,36.5293230488999,100.0
16.622906161288736,40.2788615604673,99.29009247963212
38.549410177075714,28.96431458216997,91.40106950048234
23.252684209041877,34.883870388828214,85.3585725914937
17.796695382024765,28.94696256120858,70.54830378776514
23.365560360116316,24.95121406773988,62.63605171524051
0.0,17.7991276709838,49.52856522391972
26.616438604337556,23.043119845244174,32.928499511950115
36.264063501933805,20.281716575207213,29.147639500687788
53.96756253508861,14.572049799800366,14.710598196174764
55.218343101463255,15.703587756508963,14.616091824676575
55.900289983860894,0.0,14.496659366772462
46.092148861371825,1.762921354586202,12.411005672218781
49.67089346004106,7.501648967198192,9.841101396909933
54.393622375820364,7.167674726795349,8.819996389528045
58.55989597430956,8.235776006587932,13.027807576609076
49.24268379060623,6.465626289450212,7.654720144136988
48.290799614783595,11.348477894712945,14.547530665622007
26.055518853729993,15.849907593443454,16.514426713785557
18.422542615473827,15.115827526047312,16.292554641216945
20.21898487094453,9.623912957119929,16.173621556573924
20.323559161611154,3.9426556986421994,17.941119802560124
35.88088019377438,9.858571029953092,8.649511824279413
50.82384582340257,6.354619125285044,13.320325245823122
64.95075694034405,13.633911695132253,12.385235863156046
99.62808412805288,24.059669821697284,13.597065153342083
