Energy and Utilities,Renewable Energy Share,%
Random fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Biomass,Hydroelectric,Geothermal,Solar,Wind
96.99704671963609,54.50021550189729,13.069963277265915,51.52244427647772,4.8169796405536145
76.34101352613017,65.88570903920296,9.21368772609425,47.32679702174586,11.33633980492435
54.881675002799405,77.93842918282712,9.043320614789103,44.94998009001155,11.312222962985704
45.64983044223428,89.03468501929575,8.275656075072774,42.1207554902257,10.169506092343642
46.86653981415071,98.45586825112763,11.77565211648339,48.88785122551694,2.663251541197656
52.73685264513701,94.10847435626576,11.636910219072776,46.40436633164134,2.5796099999565882
43.85476828425375,87.54297267641128,12.961032217972122,36.158592534006004,5.868644775080727
43.326296790594725,74.50907904329117,7.645054124188288,38.2038661105457,7.191249424780821
47.47857201620673,55.35122461798389,7.727119571966005,36.76476439359178,1.0867689857884182
36.94601776137761,40.69798028233995,10.056606891047497,46.57413763649011,4.9834726679643335
27.915373711506586,23.044044625331416,6.605321152733956,48.387461351408135,6.8756891321410984
0.0,8.008763325224098,14.638833904306777,48.203645273441815,1.8580627827312135
3.5967365122460695,2.9109666374666516,9.666796204730346,28.29163317712664,12.80667707456371
21.96177189222786,7.833430642458357,16.410675737241124,18.349971987817266,3.471396835191439
40.82430839904848,15.500344619152893,17.186884506551575,9.310920372167551,9.120474240203713
25.072989767248238,28.675630163624927,16.251995562662064,4.6730768176470505,9.642635337531809
1.4389552826019374,38.7306889766389,21.43911670475756,0.0,20.25149901937145
23.724494653451707,58.728146087384204,24.178307644957055,7.667830256602978,26.68621080985254
12.252479712250583,78.626690202031,37.585240159685235,15.526628716938133,30.21158672715108
10.223505989064174,89.34445028588712,36.615683619900096,11.322226885891425,41.434173843336616
24.97419859508297,94.63041408609728,60.54789711662016,14.546538512267196,53.52887390525586
48.3171282887574,97.22247394321597,69.35026212203461,32.53013896939103,71.50539504114128
49.394374627216266,93.63078045291107,77.5753717597932,31.188679951195052,77.5518167858863
82.90747499156704,75.24923678812425,86.05559623305548,36.50381871830288,92.76242913752972
100.0,59.22464579765793,100.0,40.21561933531912,97.785181842559
89.594408514277,44.62339613369114,88.944711852183,41.443820770460334,100.0
72.28831727187324,29.60922798391257,97.32714023701035,55.11234128381102,88.76834058359331
63.42444907559099,16.357971449551176,78.50996054138592,69.94582494746942,78.42947948190336
24.39809015668268,8.627676550289607,63.407249381007816,60.154265059599645,68.56197910448944
34.376621283094465,5.88162122013674,49.87967321140181,67.37086552716134,52.64078553981801
33.90223435373222,8.685905038968947,49.83801816906821,76.10345321122331,39.992216969260326
29.31205322476547,27.17979208909452,34.80901640716819,73.30619757583172,33.21605145226702
43.48009412747006,34.59608415073892,24.262804762422828,68.32796347507451,27.118579567457147
73.45845703195096,46.057481084842436,28.59096830171509,68.56202056568455,13.744988453440893
71.59372438206397,61.311545859595554,7.561166045825167,72.93146391449332,8.310274682993073
60.85470065670584,87.39916829034115,9.36919077285814,77.86088539068649,7.28806420608948
72.29751274419222,92.19979778812656,15.993974557224641,72.14411678220122,6.3616405330804
86.00592973511344,100.0,13.750969818234113,76.13425649078917,7.572036930198951
88.59841103740226,93.12106764793526,4.198698893492453,70.50564161887168,5.554498321565703
94.23128585751908,83.50075333589514,0.0,72.97438878329118,15.113531070081688
57.38989723931781,76.17300826988863,3.3587701637102745,75.86003844859961,15.748601411008572
44.666480575948654,57.28176141145701,9.186053858958214,69.2930424546963,3.490549932797613
29.140539567056205,39.75045915119141,10.933605088105491,72.5151467724737,0.7575007282541671
47.387650233441505,21.870718609141186,12.165792812620673,85.77419110923177,1.2123170685825084
91.95353182189506,11.427557183117955,13.337748841456436,87.77890377175146,5.763454147936779
69.32088013131376,0.0,14.877283987632396,82.11541740813121,0.0
62.706857987515974,0.1569995162883741,15.42232953446539,96.20499498682094,7.116476540965268
67.6379455418974,9.2913961316878,18.82594443195677,100.0,1.5867828604706802
70.9894531386632,22.61179358707828,8.385831985139134,89.81380175199652,7.131278075377824
63.68617356609049,41.833728311460234,13.022987110997478,96.1492899926672,7.2471512491816865
