Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Tech-savvy Consumers,Health-Conscious,Convenience-Oriented,Budget Shoppers,Organic Shoppers,Premium Brands,Ethical Consumers
48.28934197521416,92.95835721358715,100.0,13.985008718534758,49.60135329958704,10.782851649092057,8.177684247054799
67.982641504726,85.61883174316546,82.86030201861217,4.904441701158907,70.89984003782784,15.851273582941646,18.75955368770896
75.9258167654994,87.12217810227355,84.89983224677775,5.519954421776734,79.2472408236116,6.806393162103146,10.924596828142457
88.4032557091434,93.04242565012935,72.76567877040468,10.639780304785514,87.77496272674445,14.439067994819304,7.464917055563659
90.58395029185421,95.76787784833036,82.69021327648042,10.357359409807191,97.29008707886595,24.960106353652055,13.508786175558782
85.5524979650739,100.0,59.82824309328512,8.951289881465033,90.4287729595158,16.966763585886856,5.702838030148651
97.07574242470089,87.31360786865959,65.94716856020058,14.64825690641722,87.9845628630197,15.150167000900847,21.553108448296634
94.0437510988215,84.27655649686344,54.503425683263686,4.556696877760796,64.21753036603823,20.75378861577673,13.243822102538536
76.05595333522189,86.27137713742154,65.76457376938306,8.751448422228012,46.820460148600745,8.005970350011218,12.55349307500814
72.84446822407712,83.55561271010741,53.48877115554692,17.54771097437984,31.481807874277234,17.074010760997236,5.026402679095753
58.176003853518,70.83876401660714,52.71219561795528,0.0,23.045318758106863,12.436142458148794,18.818468179645297
44.31863496872705,74.8341269147538,32.30025871071393,15.849037161334664,6.596486388304998,7.542648379187581,4.797641879358333
34.16128929552754,76.88406997007371,31.666013931007196,19.629865505611487,7.847452529578298,5.357702108274591,0.13464758162858864
21.73383208235313,65.64630688095929,28.011160740208386,4.128144534414229,14.534806604573145,12.658736104230792,16.198338539654618
11.043311956647983,87.72896371718588,38.62082287175735,14.219222425948045,20.313312478329316,9.234237944273925,8.303784067036094
7.834338431450075,83.38674772720766,33.09194172466514,22.51822750402256,34.25720549783958,17.817903762795982,12.48428400317994
8.388861247525234,93.1935780709838,7.390531902247,20.510604172165607,62.37607573990138,19.62911022216387,20.880981792576677
13.026712155446265,96.0016234468077,7.817497309974021,27.219424822863232,70.52047944750547,33.248163566297855,28.66879686733303
11.003080410155391,89.19240792863471,0.0,31.276443878523935,91.51083366077111,45.396615735516264,35.51794261556632
22.254344019206947,80.88197794472475,17.254868756092158,49.06158080063538,96.92022776789558,45.65162811299664,42.77584106686101
