Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation,Random fluctuation
Ethical Consumers,Tech-savvy Consumers,Budget Shoppers,Organic Shoppers,Health-Conscious
47.694602365643284,57.662507370368054,57.46157393485687,91.93497523110558,99.20486361733431
70.56271651076497,75.7286244585936,71.00217696017714,99.92469148926244,95.50116844593795
88.35641453335099,99.15505150446158,77.80882165505696,97.0956678521826,100.0
99.21594123003199,99.28285891515112,71.04680548090455,91.81241194162604,87.74919780187386
97.95007120757731,94.49112290265433,50.6939912147647,100.0,84.54979618534949
92.31937534378875,82.24095050256035,44.20810562186506,91.88397080529221,89.78711111044557
84.80058283239677,55.083344645521834,46.82988360686803,89.68574768452777,82.83566588899835
67.95353879530275,36.3671823074518,41.87266180808941,88.2089419216141,79.93039486473941
48.80979007934719,14.416975490253146,68.20908626762645,81.49116087658071,78.4799781782978
41.315491290525955,0.0,54.74205865632691,88.30466027140659,73.36883941124121
24.340517035447125,12.394290127165444,47.899887758723004,88.6310469280418,57.900142267785924
0.0,28.96692139942818,34.29492783385686,97.9602109427964,58.91623105656664
2.6280504845248336,45.309411822932276,29.996870950671735,94.4357527214831,54.053676533110384
4.724472335266093,60.800180763471715,16.241757372212145,90.03449271013405,45.929890296295305
16.209469608069412,82.35818403215669,17.415944742923692,94.90364402447608,48.73909702287793
23.339621024954617,100.0,35.34988646118028,87.29198939453497,47.06667462173391
48.53343037706282,98.96421668883977,10.563113111353886,79.43179275099855,60.028158801516604
65.12070935814872,88.94074766680427,10.295041651719103,76.58027028017354,46.81733959209103
77.09812133103559,70.37221540237685,15.36430556011475,68.5862361910767,40.315506489006246
95.36140063740898,37.5105335534483,13.861044237353825,62.06941401349463,53.83928846402104
94.63403522694836,24.907752757547435,13.422446812757682,65.39449293737165,36.406160346215124
90.79009584461019,9.016318975167449,3.5861185762414594,65.56635230278812,8.958204539486383
79.67346698161592,6.806077866713069,0.0,52.25235109677565,2.5926656543392896
72.20027009838317,22.055217247403412,25.873295552511767,52.90485536935954,13.878598866546419
55.22983991393087,37.62831398386476,13.881919160902898,42.65771950457108,29.06223429570451
42.689039444199565,67.66389710479173,41.65176721370228,34.22960241241075,21.478849341839236
24.303650891907232,82.01270297806428,73.97677598325191,13.696269142931246,32.806253578722114
0.9902562185060242,95.85534076551586,64.92040365898094,16.50745355667012,24.053857113180705
4.688114484488214,99.11812834895473,65.67821705904032,39.822815694604564,9.970538025704334
9.691609524017592,90.67775282351114,70.94014348777881,38.51356193296662,16.693586493136678
9.15455316419156,73.23718269507782,100.0,39.452557186646025,0.3038193722369955
23.10253891192711,39.98903459216793,83.74405463193976,52.696060561739166,3.3556030627528677
44.97415586507759,27.1506828424666,85.2964081761851,56.87189635958012,7.7004502996175574
62.7961419539872,9.849161225311994,71.38834570812959,55.09141874506675,24.606690693115038
81.05305055225232,3.5941316962679437,99.84205327613869,53.27609808573131,16.163885690303324
86.66261205646595,7.941575379758277,71.10090044825887,48.78685300884224,8.849771866478305
100.0,24.800359550910382,93.72510739145862,36.04415635966979,0.0
94.0186546055158,53.97002739578792,59.61225832125986,52.89632403812248,16.96727018733325
94.13847683654049,77.38443821891724,61.98656003470695,57.564244408383644,33.616198723388685
82.80970218920312,89.05396564949424,68.96438595451197,49.064617981952594,48.0525084203027
64.21100321362391,97.16208067356071,80.88672341991784,48.133044762677706,55.800420980873945
44.916389820380275,91.60299018812779,76.11910132862809,49.491925954658505,54.468157263202734
33.71465068986032,80.3311711766114,56.56583881894412,35.09208145237876,51.85658878602091
13.076890338368447,55.77026385335358,42.17518301036278,35.60694259150856,46.512516777241714
4.210114142596244,31.40925808086003,38.88732036695338,25.784220051741762,41.85432251681919
3.5326049591670627,12.840158631371382,28.60541967555969,20.346594530427183,54.670962312950955
12.322897002333436,12.171337889546974,26.12204387432423,21.0236385983886,55.720687266357984
27.67049185118276,13.832187827341045,44.75391958313631,0.0,64.47427475006255
34.81678341676838,25.533767608606578,34.02207039952884,5.458325167994814,69.98188565403778
58.31236821783411,42.395242051656226,42.92514081925773,28.778182483853193,68.2721190364337
