Transportation and Logistics,Freight Volume,tons
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Container Ship,Air Cargo,Barge,Rail Freight
22476.151607795004,27063.799205631323,4348.948712392582,4780.3773374149305
37143.71305834376,35294.27484240621,6724.731135840791,1785.3582898088391
43347.93259632,42510.4761410388,4778.725121882719,7009.089599565406
48294.34163776033,46135.09324934507,5243.266592704436,6920.572797653492
38553.63955210527,43043.16797977162,5003.144411303602,6432.1984481222335
34256.21715317568,33821.84494881908,9642.011916288446,6030.3899418647625
24222.23567793882,22276.716535515956,4681.859470440543,7051.756346000824
10068.563584518539,16336.210740557266,2380.6199358472645,5872.188495745229
7892.196259579325,5951.253414090959,2683.3772219678826,7271.987498924058
3078.750432797411,7157.462575760058,8662.336284976203,4656.181014701061
4661.265747508041,8351.222752036048,3830.1527864633936,0.0
13204.499941276552,14789.165032780142,1465.6949970656317,6325.743197627943
20973.425669140677,26915.4726560295,2993.213958389764,8833.66667969102
34034.883332172954,36610.455360150394,5145.294841653684,7190.56013273586
43853.553453781955,44506.02515378195,11084.597670960879,7954.845533279491
48581.605946791424,48746.76661177268,5749.172773864649,8319.709378480718
50000.0,45416.86584179443,8842.73543348902,12747.018693715254
43310.76231277838,32890.59802552951,9240.205942598956,13738.92857721846
32049.423528647247,18561.818038553236,17501.020459636537,20813.229626659017
21113.086004738107,11871.796409027816,16798.91499563416,18659.8169567215
5359.407869829083,6601.814093123902,30065.520782231593,31997.962779815087
746.540306922687,3746.0079360580953,38152.604831002,34893.70649401609
6424.427985564967,10720.994319871896,40057.90793419974,41328.32966294129
11544.751654739603,22085.77851910347,46808.727562291904,47965.26338004452
15363.20204096557,33656.50028760021,50000.0,48034.178832196725
27381.65748513514,40905.144360914055,46430.74346886739,50000.0
35554.93714697102,50000.0,43926.42748763636,46438.80833866437
48426.258279983944,39643.87883218985,40967.849112784046,42145.88286922686
49716.98070799348,37500.809408897156,35437.29206107595,34414.35807161511
38982.4916259722,28006.98920690431,28790.316585453325,32850.78295828138
34227.05947803924,23114.260444556967,21980.988537665122,23434.20154956407
21584.52213882568,10208.672053578459,18096.19976133899,15076.96768828482
17520.02562743056,5425.148302705051,11250.740583920011,12906.216285673525
8619.75906131374,9424.188290093634,6122.673038131183,7635.803172131633
3001.0501893060045,15462.164185798316,9589.953918099241,2316.752750461076
6849.653537936138,20012.831469293567,7595.83458047188,7138.646476867729
12584.361008346676,34467.298205642146,7382.354246019102,7278.738866407511
29056.14092624822,45958.25813225317,6199.599158563115,985.9244691622785
34556.59747788695,41276.23389949962,4959.100511756344,9693.17113209204
46021.86908407475,43637.5769638986,6569.349987932789,8379.367093659845
45095.74582709761,31822.09016372417,5244.723312450906,3592.6789712885225
49305.70880939478,27054.445674611667,4374.090438117507,9002.658084026694
37520.72857769323,17453.63245646929,2685.404034814983,2784.689916481877
25690.715060193776,9774.219613250947,2046.672653852474,4622.023419796705
15182.81333337369,0.0,0.0,6404.062768745358
7061.21965964049,8584.129865053434,5703.937468950953,5150.440273335901
2555.3046819058595,15557.886125048168,3180.7453764155857,5819.4367009318275
0.0,26855.621213707185,2794.1551767453684,4872.196633841077
10385.54245247682,41570.23787268404,1600.611927367252,1643.6580833752414
16775.15757269949,42562.44053202002,3696.1430209615905,5657.921288521478
