Energy and Utilities,Renewable Energy Share,%
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation
Tidal,Hydroelectric,Solar,Wind,Geothermal,Hybrid Systems,Biomass
10.160612035324906,47.79108251045742,50.94098902527653,10.27412248759904,86.56464864909425,62.97442496045904,37.41975477119352
15.35949035012503,76.77008730209039,66.23365384769019,3.0671689204030286,92.69543804079885,51.12799616799811,32.97275932028522
16.725406401148156,92.48164115610288,94.34323381135667,2.0817169178163994,98.56078748319588,78.06012687515816,28.040084773788994
15.36834612065095,94.45304377570046,93.54013784936198,5.557655414336509,100.0,71.95704353471154,38.416087737895985
8.9755948781548,72.57405657714146,85.42484581721351,1.6563306571890553,83.87032019259641,84.38584923643168,16.18755666228436
14.33618571234468,62.314377661231624,66.16321289637,2.156696422364407,64.09718824693273,52.67165734500456,45.2922019569225
12.72228186203346,26.814087072316777,44.55322102514956,17.066771644598056,54.79251683825809,74.68693821076558,27.161649177557102
13.630482033966379,2.5424984510309683,17.88028576779957,7.001693030704644,38.979588839255825,62.00540137246615,25.00061374739661
15.308201599444091,0.0,4.020228307311926,0.0,33.28262632881622,52.2482635564552,0.0
8.3592582544319,16.49459520526348,6.653764871687189,12.161917841150485,22.584205039594675,51.57696895369982,16.19638379084814
15.145190047878627,46.62474258360883,9.101176216858317,9.566994552399946,39.22767643074757,51.67624046297089,16.639291415160155
8.45323079486674,79.87153132534036,29.451884718993103,5.8286947919556145,38.798067612672845,48.24962659178917,29.228362717040646
13.505744003530864,100.0,56.38614963941999,12.038569789595405,45.9162606623104,49.73802625285924,39.89278991350507
22.146109845325924,97.00053337645357,76.57415151498056,11.889100443840515,53.1678596448688,49.55358971132942,38.410433070083265
15.954764659641521,81.64831730626686,88.17899339018334,14.510158792647717,59.450258438747674,49.33505504114701,52.705169272974175
21.459544338400818,61.43142224510447,100.0,13.80061696103015,47.67452794179929,48.60137202544871,65.53357623412033
16.58316472961663,32.38324243339136,82.31733905615933,21.442918309627075,30.911190435473035,24.61711209143914,38.640261934700426
23.83002273978493,6.376938349589617,65.61232759986457,23.80973155655233,15.456847574035132,14.161213731529337,24.070738125658895
24.841613029084108,10.025540127957363,45.00962305301659,33.2013481729126,1.4011253637122796,19.258296353970056,46.1644333638383
38.175585796149036,21.874030339299992,14.494127447757776,34.45131841148546,0.0,18.569624350688922,38.39600614616991
57.66153082791631,46.75963846318169,2.1175695261543876,55.589906283825826,28.346171414489792,28.299070845116027,55.88593011300157
68.67214225603549,71.50783778968395,0.0,70.92286881139994,28.48675123374558,14.527372026389095,63.77014021592586
89.22210237063727,82.96883517354308,13.193669850903344,78.68842486337722,14.488581980361136,15.506420441718399,75.00448544404802
89.08960010376013,93.50150442820839,34.15576853116907,88.58134738471539,26.029105840493074,10.454565415928823,100.0
100.0,90.61679343246723,59.475275131831594,100.0,31.08061099655345,0.6522731476632806,81.8694845847283
93.62164655837161,62.36361611841485,80.31672113544423,92.12574756033597,30.817151796101978,0.0,91.29551615602286
94.89090650799086,31.43270406723709,85.75200370207774,91.25095909130572,42.996912690587486,13.961972193374725,92.96941178813726
82.6284005117922,7.541165082607167,88.13137899541896,75.9315860340081,49.257815520460525,17.433880253472072,69.34665620494218
76.62913573865247,8.151634937710604,71.67423837988322,69.16858729988644,36.438735593438544,19.86582907977604,40.283538212958256
54.02953206018082,17.087566230882747,64.86848186689512,61.3645212284892,23.587170210597368,6.139188431249765,26.882315066707203
51.82406760214153,36.18996539289008,30.181357113908486,33.26189688281339,32.243116718454054,8.443719485151533,54.32017389613092
34.683344904708655,63.709496693220366,9.054185259988733,31.94177968730213,29.920777086537264,4.2540213743905495,63.887877870146085
34.7113621394309,96.6902789250725,1.964980222800462,25.28072026888713,35.96374746374432,8.875907071178075,86.62959660175588
16.252923496823005,94.58938030014154,6.458498190730352,24.876463218776216,23.168306395708665,9.207567433572773,84.81814747456046
18.299639890117067,91.14523049032915,18.032801242875294,10.33445678527296,26.953384509988293,19.301843160404523,83.17142613549757
15.655445542086188,64.74306855905432,34.090260677576424,13.108302096269615,18.56239134301623,13.98933153003622,66.7420425216013
15.222677862196116,35.583880295037126,59.476609587454696,8.006841673306454,14.016023075816788,46.908368554452395,70.1512571821978
19.6061018749369,13.180163743703707,83.951057425579,6.521548116980937,18.653989418289353,66.78325384656003,43.818773774934485
11.840735242209359,8.326948443338697,86.6337766640094,11.05898416707057,31.52459655337438,44.646007196211755,44.10445404089421
11.158810195509803,8.192522112330558,86.53954771203557,11.453162985981056,30.099316844092616,66.87345647289663,47.92313525181194
5.978555971705133,41.147652862308114,69.21264603686159,7.513095059871394,40.17822218237515,60.60219330866982,34.13064896067315
10.304241334088626,58.92941032005735,56.51847666680687,10.388988512912237,20.095185476968965,53.20663324080787,39.183295424035805
16.35646780916945,88.77970002588046,29.052952337400566,5.070814075807858,23.925358046308247,57.65930236307714,33.86461555333363
12.820666606513297,99.42212513682018,16.602025581366934,7.60396110046716,22.473860323942016,81.22577298294546,15.504952420604415
11.780810658132548,97.62018950727283,5.481351779544113,14.32539064201261,31.01820447721569,87.66945060805503,16.713509304848124
0.0,68.17539371287738,2.5669260355902495,17.30419121323393,28.847423098728807,100.0,14.943574085452818
4.533161875590755,28.507830965883656,13.604682285610398,3.4937160737637076,54.694884152111875,98.96476986256944,24.041256857276323
7.887437946357472,9.207187099389307,48.49924265747724,7.52171749415599,43.144652771812794,68.40162123339381,37.8514240328182
4.986652994733846,3.121848455474349,67.18438937928912,6.452310403545971,35.54053487826757,66.13942706831587,37.17791935950703
15.288653167190237,8.989397177837802,83.34877025899576,6.822637079368745,33.220069574690676,59.40634474138997,29.760644429564586
