Agriculture and Food Production,Crop Yield,tons/hectare
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Random fluctuation
Corn,Oats,Rice,Wheat,Soybeans,Barley
2866.153818629835,2377.426898153679,506.97686084472406,749.2842490486255,2546.927978062359,3010.0929110322054
3430.5198818099543,3656.3032881163244,144.68863760368342,321.65852495997154,3763.702728257127,3007.316688795037
3361.8216423576714,4271.369345912863,542.0545383992375,655.8825889604284,4288.0337304543455,3014.482377498236
4431.472530543031,4858.416602320296,266.1045591184739,66.7691871936577,5000.0,2841.9612347121843
4620.606467041679,5000.0,554.1524222387466,0.0,4607.665356742826,2981.2827452619076
4638.634601708466,4615.404449696308,471.5443747476375,378.01338584514065,3704.8846100572064,1841.1634418894391
4878.449352813041,4331.691904711635,445.76287576396277,584.85785893548,3080.410378416578,2504.272051703062
3985.5962985147207,3581.4996366372657,24.3103172178048,546.1568330820988,2013.7027980138448,2517.1121201688984
4239.409069049604,2538.6424315276663,631.0663534902657,198.52101697755933,1152.174395796057,3433.497863232255
3179.9629479478635,1344.5362355866168,280.29939486315396,599.6432109430473,199.5368949977644,3608.4743840695505
2446.7621930461223,764.3070004741222,671.7917062702,147.95309361801756,0.0,3194.4696028308185
1977.7723628196925,92.22001165861741,0.0,747.2976559032569,736.3036810874761,3277.525881396271
1383.3819380530538,507.2531447932747,382.5362178514874,212.45265657342358,1730.298470386259,2980.8809997507497
669.8426648409373,385.4460314380655,515.4625345415149,667.7848302425527,2557.896436061683,3404.5730559157982
488.1952047118546,804.9587703804274,617.7572355632574,703.0935830934056,3561.401099248908,4287.57222345009
564.29881861687,2067.952641038094,954.7358779380581,836.9275663954701,4563.363013579976,4129.78274463282
50.57736514748922,3000.476882868334,1308.0662238151249,1021.2333784041026,4707.159209024073,4085.514545115922
0.0,3493.1005528375126,1372.9655023174694,973.1525370191962,4772.236024799922,3987.8505631815774
1274.0453364553873,4537.296886941509,1288.0811583433638,1871.550506683461,4120.072255474165,4590.686534917422
1431.4637228227366,4601.9931988062835,2507.6540246757954,1970.9193652178112,2581.6830745446846,4046.6677669319274
2076.2997779558323,4828.596545905959,2642.1478051286185,2820.9782391414974,1825.7829838370978,4225.978092236551
2871.6272766319717,4670.998036143994,3386.6561185583823,3215.5977795614017,1192.3758504798911,4223.584205299802
3562.015986995465,3742.3962063232298,4503.0024277887605,3961.6498621329665,506.1252724217486,3455.767772502056
4005.4053385783877,3074.1233294634612,4625.591927323421,4766.38857752805,326.0667725837234,4167.796136593671
5000.0,2412.6656892549204,5000.0,4974.757246660539,887.630191897441,4878.170704320294
4979.396185318236,1483.198874807606,4784.467301615117,5000.0,1889.792558967979,5000.0
4550.162004934895,469.44213492703847,4964.818994909897,4564.049349647548,2893.0362081601425,4241.938092309509
4589.241670703227,405.3224286808489,4036.4862641461445,4310.253172223332,4080.0336598238873,3547.0559782314294
4146.665418372551,481.4747098332065,3889.9271267150166,3457.55260140775,4726.402255190333,4066.4298806821976
3359.880297823937,601.9274661807918,2765.6247102052207,2319.4515778917,4973.473251589532,4350.059313007782
2524.5846664095952,594.1686444706733,2502.370746655359,2390.5088430885644,4356.724666771637,3920.7414329963026
1752.1758356261585,2082.707322083026,1586.04738421338,1276.7390685634387,3679.5406596389334,2619.8339374704383
996.4147508552429,3059.883143883598,970.2929201720749,1209.6022349099865,2812.235737164137,2695.9643913864516
514.2564481591966,3802.0664783313728,777.5240349329453,829.0156375391592,1261.4951748462709,3319.7108122561
182.5685066453079,4738.647516592555,741.8679884545614,748.540678585892,810.550340852364,4821.6052804191395
187.81758520437344,4649.4511510139755,442.83870811041106,415.1002889661557,221.06647359269374,3637.116000219391
238.04171616249675,4860.977592058708,249.42898379408922,403.51928522292644,164.25602688787643,4130.74551699145
97.88677225864386,4688.979950611553,429.0962655157965,265.8971521499794,911.0624404990263,3525.3595176608287
482.2500649856942,3770.7521656995596,545.6737462016913,471.6907252086111,1944.6314336227863,3783.8355119689313
1531.8094417335074,3108.948313504506,730.6109771173386,648.1692984287382,3371.469077013868,3589.6430550112955
2437.003951786497,2377.539268121777,47.20394942405593,202.8900130076236,4046.7050432582696,4526.634946766444
3007.077183218153,1139.8573520894636,474.58959333503367,412.5901480738314,4554.295216021274,4154.694361102764
3852.5247218352747,592.9549441745992,213.6896172508026,409.13281392885574,4964.327135727858,4182.886104349621
4266.17874122854,40.11571463631481,303.4318087314131,680.4864209995005,4059.7418497767535,3192.554103643872
3977.4827489025683,0.0,223.8906009415843,199.38791487697262,3155.2596073675672,3138.7543787882364
4601.894694639206,713.2040919680276,421.5711416097214,232.06922382811152,2194.584498141606,2579.275703915434
4897.7964397399755,1638.3744168512785,458.9596954962618,358.01408234132776,1204.989735943417,2367.5441548493686
4461.245683742594,1859.1004902002687,198.4476886956946,361.8200264746865,557.4231664256372,1124.674306569035
3814.0297650709904,3224.093708326748,116.61516248071446,243.78497577731005,342.3939086797396,0.0
3061.5838066871866,3938.3176004715447,422.92352267405556,38.94890376422357,366.0308713977269,13.420084416541373
