Retail and E-commerce,Customer Satisfaction,%
Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution
Return Policies,Customer Support,Loyalty Programs,Product Range
18.115772487513368,4.070357464178409,10.863222466493552,5.0275879390276685
16.716984404780305,0.0,9.290399779548085,13.17958354212675
7.519622356963647,8.301672852768666,5.568173633158678,6.48043252418031
12.898425334752812,19.869370975197455,4.406647951695589,8.939377676599724
9.856771273289416,19.558008818535036,6.074549285180521,10.223690078330879
11.600775134149227,13.386927599430928,7.460256450611818,13.353548681932798
10.297904783846521,20.981230593414487,3.7009166775705538,3.5138447734618565
13.587024579596974,15.862189362288174,6.0893305292971,10.606033219576602
14.563850212424814,19.096777403135462,10.079025540437799,6.582580143771574
11.799087290314505,22.258719747181154,10.208867258410507,6.22631525236823
16.447558983784944,23.557974877091585,7.142937882619361,13.332284358292371
9.337265205517527,25.20513562063258,2.4625165482911835,10.3643397285569
10.573272707500577,28.860799469283087,8.691297956085787,12.09847087577184
10.164772162261253,29.1937748697255,8.169905035851926,8.659213715238161
15.673093582457323,19.185027262092945,8.060812453998723,20.0736399073965
17.00122875528362,23.87832189091304,8.00774572807561,11.147982333907809
17.32370080839519,31.44576737178483,26.25726045208544,23.89243003498798
27.68330997539165,37.24754317601683,23.448749032554222,21.895402384747005
33.168833493331874,26.37204847700094,29.642672724306955,28.880147366616022
56.25281719658163,24.24976368587677,35.372872784831216,48.876255581697926
64.31467863788313,32.89779287998221,53.68262406476414,56.72648940543395
64.48327468768096,45.15151594120782,70.98421644625267,75.20622200015538
75.25902984405806,46.527722893243926,85.95524062749284,81.04594855165544
91.72710380826688,48.96522227691677,91.708977597102,93.61291561656758
92.10624899978657,62.78253427559151,100.0,100.0
100.0,67.49321442473305,89.87278467787374,91.80546259739928
84.74720342957389,64.41507444951058,93.49630512778444,92.48406372101934
75.78453255716168,65.51532599966745,86.90683632657519,75.70530087990154
61.31116849827263,62.558344787260324,69.80713970578364,77.39145575081437
58.519010887639396,73.80080766023869,54.307105427823984,51.460520688022925
48.46715625078333,83.00365607543321,41.756152856122306,40.65764320664303
31.025627821868984,91.9882696683454,29.404794946801278,27.70586466874464
22.85629426230323,95.67044324188568,20.7127817553681,27.860400838778933
18.00715395062395,99.85008765458133,20.525318761651935,13.54427547112153
12.469802995766162,91.68881585711071,18.180658750834397,21.653627384944475
15.176014618004643,93.5392996464915,12.015718281830742,16.82521655444968
14.227225926183667,96.45819853076551,0.0,23.594846643511612
14.647478860779389,91.76269386052093,9.66688245607037,15.26661355470841
11.22974157257821,100.0,2.9951691798669393,13.120580840893078
0.06412350094694472,93.47517522865051,9.569979496242038,15.059651535183807
9.632453507907039,81.39202085436325,8.07144875241813,11.736243431667221
19.949174732968967,83.72102115774642,14.04489471363963,8.229059226751994
5.282458455978729,76.31103459154947,7.805539152237549,18.718525824403315
5.788918653284666,73.61968426793153,7.799707702749046,11.428275865214257
0.0,68.11401060980883,1.1353481873005329,0.0
4.556618438254541,69.24312902867898,11.236886844521537,13.10324028371295
12.029568474439396,70.31923004595282,3.345957435333672,4.669891428463113
10.834220895655108,62.38808141396309,3.7018601551366506,16.9705279580808
9.708292551873493,57.13324996744403,4.180974016740976,17.298030923758386
12.954451970854668,50.49108007222497,12.316982860032468,15.864272057091105
