Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Periodic fluctuation,Periodic fluctuation,Periodic fluctuation
Luxury Residences,Suburbs,Metropolitan Areas
535488.2319850323,443196.90423801774,510961.5913444202
648864.2576244046,701853.6113201615,750641.6489710059
874878.80071727,774588.1289342472,855050.9203907667
989354.1179712558,937093.0949863454,925789.4863418791
875006.2592363899,972890.022664585,749312.0839478327
793278.1414587515,1000000.0,567302.7487651384
685207.1166252653,889817.3508043754,310293.88115392893
492652.60295582254,691767.0100630132,161527.7663480064
461576.51611536054,552164.7723794483,32391.250325375542
119623.89941686604,352675.8065101174,139218.04874378795
112398.55316323282,255372.18765280783,344693.20803321333
150581.59449334693,167336.52979071005,597683.9867485716
219374.00100125678,83153.66915623719,842798.7106653231
550284.3871180209,111193.33940663909,1000000.0
599624.0683476985,221156.44718335618,778179.8499376976
792219.3356935271,252395.3691065321,640873.7834228862
1000000.0,450231.8306441055,417227.23268599325
934298.3421193634,642608.0042255417,145549.59512764832
876705.0593126138,689768.3394212002,38530.63964631936
749820.0138119617,801902.0588005064,179905.28304027484
688190.300367204,899400.3713239296,283388.55255051673
398038.25482830656,989291.6287136746,550702.4251345106
286728.74693203054,853810.4059206168,755713.7341194359
193639.02268191145,679999.802968494,899932.8657500024
48191.1415625764,566458.9801091081,883563.0129602175
143846.37466259205,441658.48145810363,729406.5926586254
322298.89690815395,306401.7680967062,466818.8227353132
497134.7540134389,173179.52067119873,158555.94918239306
671826.8089753822,119351.31480290786,159173.88307140174
863874.0622535128,7304.337905571704,0.0
944300.3664313406,65378.59892075944,226789.90923226162
995054.5477733446,118828.43922164927,499786.7009823877
908711.3253272834,312548.6833620209,624290.7371021116
757240.9549084974,476783.7882111516,880635.2487730073
510675.35629437724,536059.711983596,984957.9753880724
346813.66475477855,791570.0395733425,745899.9133152367
174317.66240745928,914976.9794091545,514201.84348346444
0.0,974624.8055404434,244841.23863071474
41288.95302602226,937008.0102989926,57479.92655786413
192845.29285897088,820011.5969140715,42045.07370476041
366268.5565908429,709839.6179175474,139700.44886847536
554922.162049262,574793.874826043,334662.2113328139
744955.3793965301,449524.37393904425,586233.7546331572
921572.5413508399,198705.5944448918,887787.2389972267
912293.6184495761,127101.5429987008,891372.68775597
800532.480621041,0.0,757150.8572310497
748297.6750685513,92984.42666192188,697704.8828422765
682836.324937097,105951.27783339295,474430.2608979189
363362.70636983996,200534.16181188432,231439.84686667137
212712.62566841775,460576.9425814398,56141.65829796336
