Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Random fluctuation,Random fluctuation
Adventure Activities,Nightlife,Shopping
5637.187692830944,10000.0,4555.324137495831
7426.758383920007,8779.926308908414,4843.726555070033
9105.726128993389,7295.236449841516,4288.501307725555
8406.58286174574,7385.77984631904,3341.299223439051
7456.587700402597,6568.454350510774,0.0
4269.839640515135,4362.917394931369,1340.8759572649212
1121.9586061710609,4560.178646270889,3798.6106073879946
349.4145781287253,3782.769807406177,5853.514094378141
1963.3682442414515,3320.5315751092157,6408.1673687942875
3264.6445432751757,1404.1510403341947,6972.266858856699
6207.789181795403,1782.1644266541891,7594.029173796205
8547.222571324191,2035.7992934393567,5038.3536552254345
9177.036340702616,3539.6328879859952,5120.9884372267115
8791.17805130305,3875.858037181048,4502.8893163791
7103.2864232540405,3759.1795367311897,2036.2570236948436
3033.598796557415,3186.093165626628,1326.2603158076631
1882.3188829725786,1941.0092994210445,3131.3503350053447
877.0479166740349,1965.6354652479765,1979.7902424102115
1676.086279118463,1804.673354271987,2742.2595179723903
4085.075409898729,2317.5091554410783,2312.686300813118
6317.372835112429,3165.019252735127,2686.4382070673337
9094.314333955215,2214.057819518855,2693.6393949283884
8838.243783585656,3947.4014572716883,2777.26262994574
8487.629178131083,3652.1811701759902,3347.9863083115856
5173.597423940749,2344.8690462974473,5344.743457881182
2883.674707223462,2599.972543389978,5848.596152649125
577.9161316545006,1972.3437876862397,3979.946838965659
0.0,2425.561017176951,3147.8493464758444
2193.689689372584,4904.368490811962,3801.6722374425904
5618.166926047285,4906.118179956703,4003.216541801404
6905.107197324043,7025.320145506295,5328.330107333168
9415.23546805077,7050.366597114805,7029.242449640244
8721.978442368301,6674.901933696896,7987.691052517456
6761.389651195923,8062.259974316108,7049.703561416847
4381.9731064049365,7084.993901096336,7036.500812002221
1728.258720912824,4258.352961892827,6978.31180832096
746.6253806134586,2722.286909715992,8285.48189442502
1457.279182534891,450.14232209045906,6444.768486939384
3429.780537459271,876.1778488272267,6294.3928475988705
5280.066487511127,1887.1408986079416,8212.008601453152
8329.985281293744,3543.1483201688006,7676.439942461934
10000.0,3085.187341533146,8207.714794738213
8363.045315345946,1229.305736132668,9406.581245575488
6398.817649256835,685.8739389200034,10000.0
3266.2453782562175,1975.1809911489393,8956.741217996978
732.6938658045639,2651.1457657633136,6282.099129041534
314.2560907356457,1474.823229581605,6662.210199809243
935.615219498649,0.0,7932.717314894246
3818.3884110113318,1316.4699358716405,9735.369861258841
6445.106901117147,2219.597252458433,8596.148156629662
