Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Random fluctuation,Single Peak Distribution
Comedy Shows,Food and Wine Events,Gaming Conventions,Film Festivals,Professional Sports,Music Concerts,Theater Performances
69879.93005815914,95922.79896145007,171167.23617343346,664810.5641309978,479599.1035873005,1000000.0,131569.26627257728
136521.1214544289,85577.2006921564,114677.30728536735,713675.0804485067,669990.0699995252,961936.2482724179,69228.59533237334
11431.091298616677,182121.14102949953,179827.3381886245,595363.5927531304,784592.27095467,801451.7211315213,20474.47353390327
42637.03416904355,142804.40762489097,173254.3490044537,528967.8263926397,892120.8358458205,800558.1414322853,78650.20242472865
0.0,110658.52831235259,68013.94778123693,540931.9256435308,857255.6902263394,758218.9305406553,147457.3279269697
74747.0895189422,0.0,199047.46582556883,559707.3409339736,891955.4505204732,704652.1670442708,114045.14164753804
35691.60925413829,47688.14654791161,109545.90139745259,688377.0997360738,756081.6067723188,680212.7933464937,115038.24470578316
101944.75812118077,57385.783992293924,143938.6195778998,924462.6157436833,637461.0360446104,731423.8755186024,77252.23735564342
124983.09542490964,87736.61535559739,119734.03912876027,870216.390806417,499650.4906091681,738167.004625094,121566.55105280459
66530.00535506134,62122.19132136434,152702.11387327922,823104.8611282449,305418.8376941888,779242.738414573,158891.5555711375
92159.27493653996,46700.264730061725,52686.306199218096,939489.0126802339,153182.4250208847,793718.5122066443,111381.10082900028
77582.08376199097,57176.131411778086,151831.8279587514,1000000.0,97383.76846475613,812240.8763080975,94341.09996693078
108891.75667644551,99041.21783022392,109113.26451582267,860712.0448998534,80768.21845727375,791322.418093871,99810.35167160006
108325.66544925723,21210.778635965667,157170.8532916497,774318.0416155014,150078.6971393884,824234.66488024,108282.48243331826
39552.99048002127,165566.18525326063,200178.1295053516,813723.3568887722,346803.40150887065,796776.8402186469,65732.8127126121
223214.35795622092,95566.87203736517,174335.79983277599,817803.6019479696,442582.8816702759,723050.5636303531,225883.6982553066
126126.69054862857,166601.02179575985,274150.98018064845,761283.3643254763,601485.6314352887,789886.9382821256,166026.8369217059
220581.61868191202,223419.12366126123,282799.6967712069,835680.803560743,811379.6032226922,848278.0262493185,228611.7858782108
416961.37810614076,324106.6424887478,333674.65752526606,849855.9668903908,853229.2828760869,787153.3206374864,307666.87280299637
453939.63438016205,422697.05695006205,486569.08797382424,695329.131864165,1000000.0,725024.5920702317,447171.7293135379
525925.8179762538,563213.7212054795,653228.316566675,493240.02713975037,819938.9934081989,859151.8162019316,620919.1634122323
735452.3207755235,732177.5123752345,712761.1037085432,383195.38600287255,751711.24496548,875923.0962436228,762727.4654264168
804594.4682441113,823227.1322958264,835081.1882297891,320256.9865842454,684720.8444565019,893952.6952740636,839938.5661819516
886861.7388495402,836018.8334330437,938398.5279595018,323756.4891792231,456040.4130671055,917329.9795643443,924471.1283171221
989042.5152439008,930354.7761992451,967650.9283623038,273444.1041429536,324640.13874816877,900920.1184286084,976513.6392493151
1000000.0,1000000.0,1000000.0,443077.3848234543,81063.1472699734,731255.957998335,1000000.0
976077.7033122157,934643.653082139,934873.0331332111,445004.3896865358,83468.27461991867,755047.8692414133,989246.5899723944
842106.380000497,676460.9754726264,847736.8785583858,501309.90133864875,0.0,715461.3415652142,850001.6387185134
758471.0521360498,740104.4923021581,734057.7646326312,448479.7732186672,125836.04425755327,626233.2370074935,702665.9586889677
616926.6291711635,570636.9987274585,527123.7286210761,476189.9514965955,230384.32686325008,519552.74928038206,578702.3265021574
404977.85879725567,415638.3995137322,460572.74235219765,521786.47746232076,418732.462428361,403363.0177640333,493252.21350417595
361556.66855732386,295759.2998107589,337481.86147867347,464653.8803901237,588654.6064889864,424501.95902329846,329477.77602447284
324961.6122386023,200315.40186908524,308962.8492280597,545925.9985399571,764072.608098045,414430.15303727635,231150.86312646043
184340.48570879697,86059.58358543701,263300.45266801654,494523.1531044095,944325.2354061424,383770.4436398427,184811.55887162167
93259.89807216091,216259.78961458968,214638.60391389346,509390.60065004416,887256.7098113815,379671.21528750774,141672.84528100578
116691.37481178205,187473.74017988195,206599.17748812234,583165.313622804,885677.8708239216,350226.9692115595,126225.23640216935
137184.21868798247,20549.414472123943,171068.97966870054,551218.4550694061,797251.5143440783,253423.0735392748,136053.0337214926
108044.85843236226,107908.76150402437,151318.21925169425,634671.0397330866,724319.2237659467,239592.12248172806,136679.57533366056
114388.02576974434,70871.06952345214,44046.19601465956,526549.3464462843,491627.29388106416,323701.5966822996,160434.82512471217
85390.51114605795,93259.01830777264,174719.2225441597,581852.3709543238,371116.8379395329,227983.34926276348,41108.84975059308
141095.90034140038,110114.11929910678,121454.5776170207,508563.9918314431,190943.92348327313,231012.93404503795,42877.45018841934
107585.54033000112,41225.28972381388,114444.0548357422,280510.03791474167,51184.759020075995,214925.5012108224,119598.14290000939
