Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Periodic fluctuation,Random fluctuation
Rice,Oats,Soybeans
676.0261993071264,2430.097987854632,0.0
109.43247932865576,3040.7392426294423,758.6584774302282
254.19592844694776,3904.663772521763,791.1102943572218
271.5048648503758,4066.0354046471252,861.7354709499896
386.0617099515034,4739.313437118441,366.480202851774
188.12998153043557,4461.138921084419,677.1163917468176
123.94915925903503,4589.270180730788,818.2391332342609
437.7800193587331,4341.425782498418,1597.604514705507
341.02063258538277,4014.1152934910147,1207.785455305153
0.0,3689.059202776372,1421.7559055607346
663.8847608978399,3091.7166941648816,1581.3156790268806
222.89109310380536,2394.1113556795,1418.8415952218259
742.3616876009075,1710.085334122081,2131.271481079668
755.3539249683367,803.3297285152372,1740.2230261426694
920.8024370684723,501.47629968725073,1859.9029265690933
165.81480133724335,327.69373170726504,1772.6455781288619
899.2139851524139,345.63264410940485,1829.2589234141508
1331.1176249135153,277.7063044992176,1617.1861303353785
1744.7109445122883,652.4966836992278,1746.5220584602341
2488.876817997026,846.2708854378835,1967.9069301448797
3295.1734382170735,1750.1476073024257,3016.187493179828
4217.825672563808,2109.0489983573298,2946.0835399757775
4352.063076850121,2723.24962640676,2192.065876137148
4738.157912900644,3666.1424531576677,1914.963285174387
5000.0,4238.439796343759,1844.3218664186995
4921.619770711389,4787.21201461718,1883.8394817894123
4524.403142389549,4464.6277880043335,1447.0854088517342
4385.526535711306,4311.628332431225,2030.3930700667688
3622.218295949032,4762.471881693584,2185.1408305855543
3075.3945456382367,4470.809804131338,2140.423133301659
2201.5564096402977,3795.168770477615,2756.9168675116584
1788.0429728873332,3339.6571743218983,3035.730143209035
930.9528949108359,2706.982440631983,3234.2359175012098
1051.4920423894853,2247.0078261508775,3855.500758552307
646.8094124793951,1626.4812650349863,3782.409277555303
808.8517132393964,697.7820683168909,3890.693519677326
645.041556016189,581.1616624041023,3689.3024576785688
103.34240380388454,0.0,3354.160363489812
176.53242878928762,168.35268491373623,3379.4872340293455
637.0178814646313,129.95469325568357,3987.0437259346418
833.94706293144,483.84449251972177,3784.4905276967593
900.5201024811267,1008.4135458419984,3817.484382136146
568.1998895337698,1507.2716409613568,3750.686539309944
225.47767257596539,2038.4043224194943,3752.327888369856
442.16041769598894,2825.9465324921935,3693.403418435197
763.8613787170649,3512.6934372980845,3949.7089906461338
46.91577876774688,4158.774873699332,3993.0503250233096
466.88028140768773,3993.434563896935,4108.802144263724
302.13825235355745,4667.281350667064,4928.184466917736
634.168050430633,5000.0,5000.0
