Business and Finance,Return on Investment (ROI),%
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Peer-to-Peer Lending,Venture Capital,Stock Market
-5.330324068293908,-8.154946222163487,-5.905666879698401
-5.7714193543819405,-9.563678933556897,-5.084826016794016
-3.6863262176752443,-8.161800483322446,-7.897814176329516
-10.0,-5.6954295644853,-4.533256697878318
-5.675052479658644,-4.061990867552962,-8.037325502994369
-6.93978594633753,-6.5204021813526865,-9.52973050983364
-3.339235471935691,-5.209254737932899,-8.960603937281789
-7.519535270956387,-7.268984493295584,-7.346632518672646
-5.233082285684127,-2.924560671785521,-3.472056081735789
-8.559995434361177,-7.7171266127528515,-5.575188238026399
-5.104579215930741,-5.700998075471214,-10.0
-3.9612286396169516,-7.062309419640691,-5.640733906253217
-6.569151786365021,-2.2815182872309983,-8.684130232032969
-7.844401172261595,-5.313675502300588,-7.138681126487921
-5.4280850536855905,-5.502059264241908,-7.239298752830903
-2.4037008068610106,-2.400909777763803,-5.796869078753181
-5.0947762314344285,-1.0843895868561617,-0.7333458966351358
-2.690544784085099,-0.5176374460383517,0.49702558157009413
3.4372169874399745,2.7133018426598436,-0.7210798678903352
7.286220707769008,5.427793521474406,6.404123617859312
14.90420507911804,11.293465441610394,13.72301242812766
19.65201320959329,17.408360700222016,15.977440083984753
23.641495891571182,19.66238644405259,25.38071450158464
29.292551894390236,26.02475583957233,27.487208732431327
28.853398015714305,30.0,30.0
30.0,27.190797026097698,27.285234844314694
24.600893382718063,27.495265088160316,28.019181909298723
21.981378978052266,21.44358121778025,25.11591468320195
13.1227683875988,18.061878763601342,16.550853271565057
13.966808208721368,10.853204651247257,12.26021721744447
7.254186549100567,7.357957308631075,8.673179782211616
2.7517361128163813,1.9945927268360126,3.818014172794058
-1.1728730641125402,2.8671813601585328,-2.0876818070264136
-3.8490156697011377,-2.072523839588749,-4.730694837072522
-4.548183917922239,-1.94479077304881,-5.380407879368349
-5.412027240849385,-4.457372218384702,-4.556466458588365
-8.891438029858042,-7.6366453493937465,-7.335494676042126
-6.783533056223691,-10.0,-5.53045187011569
-7.876565634940447,-7.57060227420695,-7.426522307055911
-8.060401245856685,-7.298003337409429,-9.253971406370944
-6.710851677712604,-5.869618131774005,-6.77072313582209
-4.188317645016378,-5.078052202132793,-1.7573054991946684
-3.8443201264122697,-3.2716983316291177,-4.49603144663204
-6.59994331607504,-6.848452592098102,-6.16456619088928
-3.9765225165849607,-6.418316615038013,-6.041506797998355
-9.00232144014668,-5.057688369989457,-8.30081579874998
-9.598970872872982,-3.5383258475737733,-9.530514767088473
-7.589539964153745,-7.9805771400663374,-7.527543828303887
-7.3898412840646825,-5.506639023349054,-8.578377752764853
-7.782050323668186,-6.734178065065713,-7.734019025063429
