Sports and Entertainment,Event Attendance,people
Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation
Music Concerts,Food and Wine Events,Comedy Shows,Gaming Conventions,Theater Performances,Professional Sports
652939.8488502877,1000000.0,446977.30433595274,475721.1444535522,0.0,400090.850750212
651373.7472366634,855538.35981304,845471.1481568746,392872.2350271551,72170.06010035361,682933.4275270839
675847.7507484977,560000.2446932564,836512.4267995813,413729.0156352962,149246.85388013304,781316.0056788368
630811.364427462,476576.10853508534,889221.0504625981,530885.0230530548,179346.55951164043,961604.2011140675
770025.091302938,445554.92548450496,724203.3312699512,589357.364656444,150769.28237455763,984174.1530420084
1000000.0,466960.23263772903,379987.93896887614,569369.0710935332,130834.45235316627,922505.9214787186
832912.5995210031,506884.5818048557,143411.71531315142,532678.8042829841,181224.70440493306,804968.5662229714
805571.6736102992,493581.7942330034,169015.41130093526,613230.1191960236,140969.98802852246,679515.4559411373
794106.9847187764,461931.435404675,306473.47500129655,488394.5369831054,155153.01507563735,523895.32095851266
713761.5555427612,510020.6120007398,596716.156718729,472989.84289041726,255091.41336291237,258397.4708024403
775165.4855782307,660225.484337649,741017.6355779989,639838.3743446855,300598.9288447313,217898.4592859668
810036.8232881753,578325.2684086798,902741.2130094889,828027.2174834802,366587.9593274496,53245.192330859085
791712.4420783267,535996.5920839405,947866.8139822312,857922.2929162908,459030.05985798314,105937.46370667679
847669.8425502273,547284.058569419,613087.3628569972,908488.3517126379,520959.67046533455,120434.33759027488
688032.866265422,462042.07674996153,346065.22257812397,836364.8225512799,690831.6468015683,174573.5592298196
678849.7012066405,407740.52675695915,208686.296428197,872076.9842747712,784581.9307137616,353236.97527605353
637320.7593675922,618496.0903329975,168518.90247084954,876955.9468844001,750764.6445988645,559329.8408369302
681236.8136003156,604364.229330508,253689.2806203167,850072.028460104,661088.1281543592,767923.6376091958
703510.8068228578,630025.3516283081,586296.8070621225,1000000.0,782806.3566616492,845047.5332336206
730290.4696671406,639492.5190691847,904828.1859000532,957943.2436160869,724019.5800622166,907085.4636662463
797338.3462722016,498531.279093405,1000000.0,887572.6321648948,709263.0201075764,1000000.0
748443.3841664789,581382.5700299314,926120.524698009,852608.7254283977,758139.8098920428,997003.0431246454
698469.6864277235,567619.2063217701,702572.1438199667,773640.7467811061,853847.0440369996,900038.603656865
687555.5447165394,551831.8946681153,382037.60492690624,567757.1234885943,841112.8344692268,665741.2754468763
582135.847491828,671515.795424509,122812.37655653858,499132.14208731335,804384.2929233112,448869.0155856256
538849.7928231198,575580.969137865,0.0,491092.23785762576,628589.5760842839,244490.110055068
443111.94904206495,885595.036818726,277683.617474713,485811.1014433027,609459.4741279118,209022.39963879946
462846.5492976377,700623.7786768473,585978.0784911402,305811.6930600083,653456.7250110707,60921.9071832184
369269.2991037183,647569.9659007912,903600.1106408248,448418.4005074086,610443.5565396886,0.0
352824.44390697725,722463.4083848102,955158.2898000473,334436.09615225164,633453.927000676,122763.54067946135
388361.8483750703,650105.0159525265,815653.9612849916,357382.19899774104,679620.5344254676,234144.06377832132
272828.2424811992,772349.2644899029,650490.1963805526,435698.3277079105,693157.8701463735,338614.4204399975
209551.32040664201,729975.992980153,304518.2287811566,524428.4548568558,810495.5509509493,561676.0477951608
179903.41068036365,758085.9971583379,149356.44207205193,474939.177794553,846028.0555357632,621116.3168406505
97314.16172271933,766180.9067009799,146916.78110612388,355037.40128844505,807346.9809496171,835625.762786991
120655.38874176292,674957.7324644644,335057.8496661857,421123.7542120516,762483.3169390615,984777.1384667067
116837.25399279907,656940.226603037,607419.7393807217,475264.49476961565,843737.3522527316,939062.7921721514
12716.433531417546,596922.6515752167,827177.9349990969,433429.256117897,831172.4465235274,853537.7444242872
4349.851478430198,514764.7537587432,865527.5181475056,473311.87373701355,688363.3628901247,824226.7886211636
52086.55152244163,553192.3752357004,753432.9094987719,465979.0960031157,708414.9109558731,619741.5121514457
0.0,482695.70709974586,608564.3902938513,265180.09183472255,723802.2606667025,461940.67650542554
82368.31708703538,342102.25747370475,274098.1007487042,202102.6516491591,732399.2403835914,259897.86514928643
63189.106800207366,267459.02392801456,115039.54353015243,124999.4617655179,753805.8960870885,183211.4665063079
39932.28586699507,323485.82730179984,210877.47621688028,308590.7568141404,766811.7156771505,103912.54775101833
126373.22911319726,229234.13205953772,432589.8849613721,192267.66329547396,732129.6196137099,74664.84322273891
120856.63750076295,210652.80627411665,708541.3147914791,80604.33503065309,957605.5078124391,155706.55295269107
122976.95747078313,40952.025880429355,904725.723556061,0.0,1000000.0,252127.09190890353
207646.88489632448,33787.567822649,975493.9812433368,278887.9638421068,921678.0819599158,278335.4997629691
307318.465685173,0.0,772027.8544353622,464600.3241080825,946082.3896614838,527232.2313736392
338024.8467145238,72252.90629461329,472744.5322077267,546567.1580982426,974261.2416569263,643705.6206173996
