Business and Finance,Return on Investment (ROI),%
Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution
Stock Market,Peer-to-Peer Lending,Bonds,Angel Investments,Real Estate
24.020604548228164,16.100991164867764,-4.2173739262793095,10.928250337239106,-5.188287371221636
21.28448160710262,18.850808190944242,-7.91678081776494,15.942664855496005,-5.233997837950222
19.731578879784962,10.112914991466798,-5.674104931612762,13.823983027352096,-4.205071313300463
10.867263661394276,11.570311988101473,-3.1449451476606436,10.54659699438536,-8.016372215637018
11.300975905353074,14.539293162827498,-8.180351876662929,5.500335512276383,-7.918564644926825
6.488696854935824,25.68549332491807,-10.0,4.540660532799235,-7.5517362191383235
5.609492571872586,30.0,-7.622164091561787,3.069820009303232,-7.587038780609349
1.9235571073691773,27.691540602091905,-7.40421999791328,3.5738691896085317,-6.235512450212907
2.1943007723394476,18.207779354011493,-7.0135084153779665,1.4128683885297537,-10.0
-6.967824634069585,12.39542349511565,-6.23733133470418,1.9299148152462031,-7.328622368275008
3.494662222052206,17.908740686879113,-6.62214200563248,7.099710915400394,-6.588792275246165
11.539766629723434,16.5868832154001,-7.189721429430181,9.730433668468926,-5.319480053352298
17.44109085525635,12.973893339584066,-6.512918840091102,12.028617209986173,-6.534547622794465
8.361912275259222,11.63680420705822,-7.255765579184089,13.768052368650629,-8.079728543638666
14.725421530216792,4.783591126772661,-7.301806333776231,24.20679140113944,-2.768532683190804
13.13529571873499,-1.8156390816626118,-2.7876271631433704,16.391358013442527,-5.1808680170962464
16.156381881871912,10.208500872878844,-2.2209042741613327,8.528272350683704,-1.0169970531543875
23.111878516592,7.270515606130594,1.5752820243263255,8.948200333332853,1.1521313942128266
30.0,8.244773435363381,0.97249743075065,11.362292904170346,4.255077579596723
24.303677276968997,18.028307238786546,6.4154343426456535,2.874380091085829,9.644031528333873
15.229125345786734,22.821618120456947,9.992310236702803,8.046718278088264,11.846560669852316
12.504278065389567,12.748499694994543,16.89278394569367,13.779367887578022,16.60370382086022
7.067307580851189,9.137083211517051,24.500779695220324,12.720649338820841,22.139223068446327
4.077416789053419,8.485407978937229,26.622479911509117,11.907871433930811,25.651243995790118
-1.1667861953702339,21.23354280386942,26.524977431241943,18.808237073148284,27.335475859867742
-1.746422512729918,26.351427981731405,30.0,17.53244647895706,30.0
-2.860722168575408,20.312001357340954,25.185272959842393,21.701780689631022,27.515684021589934
1.7461297235866429,16.716941155487955,22.267690709879375,21.952341849342734,23.64221168425467
4.063427878269707,12.008699921264878,17.340622916922488,20.82403209068024,16.371617100212067
1.575163365944082,6.24387676913112,9.452057781365308,26.047174433219276,11.566990142841426
8.919764662752176,15.581487592856526,3.9076335503978967,25.00386832549568,5.841674650434424
3.5792319074089196,23.679686415807893,3.446671211355154,27.670600889998823,1.8935351493572465
1.0098501157443067,23.548957282526175,-0.23719338263840584,30.0,0.53901637161675
-5.071162467834341,15.516830684721683,-2.6853400255757442,15.978929022930654,-0.6826577575077355
-0.9775585461085186,12.063254959982078,-3.9049491784024912,20.903223482336696,-2.6179600024498395
-1.3983462728487073,17.450370986955797,-5.5845352237346795,17.178515846695703,-5.173990037807867
-3.6210454249587523,8.10830112662456,-3.5211453460573674,22.19364734631828,-5.000814794258847
-3.2371072103313896,2.550694240782711,-9.066998523574965,17.522222504217353,-6.713905158452807
-1.4490443348115,-10.0,-8.654000287434238,17.624618452965215,-7.380489702199327
-1.7287729163085856,-9.542793570165609,-8.727025181296712,26.174798686415592,-6.412245833720947
-7.982383925008003,0.6175000797302879,-8.256415553052223,20.205838176016133,-5.167217745470078
-7.586929737039972,1.9587994091905951,-6.08678543755173,6.963226844308302,-6.292284454116748
-9.101738407320543,9.155863982892015,-7.847739754572662,4.56007379443875,-7.014975829136828
-5.557485639530264,6.9773439775485215,-6.358251381469451,-1.6748555275046186,-7.026624347917407
-6.172518087606566,15.867272350202278,-5.096338900730311,-10.0,-7.163193223586076
-8.983994082417652,17.86073877808295,-8.36573901397236,-7.151607284898048,-5.492285844894626
-8.120873113799199,10.141761420175655,-0.39513672488589613,-4.145695226836437,-5.766811197750166
-8.649590005345413,8.46544184173155,-8.142922352442971,6.2767861571150405,-6.479352606504652
-4.280878554937755,11.065293474381779,-7.851927234884208,2.301622781491144,-5.082553558712827
-10.0,10.523406612223031,-7.794155549388991,2.250124715751893,-6.561536636539253
