Transportation and Logistics,Freight Volume,tons
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Barge,Pipeline,Rail Freight,Container Ship,Cargo Truck
0.0,24495.026974382374,26684.619325831216,28521.765591219806,46299.871112785535
2839.7269873923888,38329.612608201,38036.62620580217,33694.14534559601,50000.0
3437.979979533085,48883.779390315016,34621.80594276105,42603.68239531613,41980.64181658472
4698.2889510093755,49994.09363664454,46022.783496532655,45618.533234148854,34753.96019049225
1301.0968783974313,33668.2608859176,46375.9541078496,50000.0,28812.870762927036
2464.032987053161,20371.250374923522,49796.58692080646,45768.66001837422,48456.17386080694
5720.641465139685,6396.569760549469,49946.6898955674,40833.84276844373,45333.55673102476
3142.599439743962,0.0,46668.57913704189,33388.908083899325,43240.58104253203
1478.4889439532192,8918.907566029946,43063.349217878065,23536.522042493518,49853.90185805889
3616.0254450051334,18361.747414359113,38934.086396973216,11548.501281764838,44080.2806792226
5310.403378619488,32875.12130036047,28540.94456325089,5818.17306925637,47385.33120187138
3606.803852610587,45795.24512197976,27369.59411697954,3814.1526775321586,39058.34290034958
8569.50121564158,45152.923024695956,15458.348213570882,3367.6821704266986,38145.95166105739
3507.32437437176,42840.677438941435,9452.450053827477,2454.876729391931,36361.90119195895
7638.014336826135,26657.48925783908,4345.323924755399,13365.211851176236,33422.20384310874
7397.007263462959,17415.217223732874,0.0,14991.849712002206,30230.11258639847
6493.595928128373,4194.81946603326,1467.3917510343733,29219.091642832995,28472.298988766383
10084.854521495838,6797.596497560187,3731.0704154392824,38812.382140033704,16453.583819487394
19858.579129242527,14759.591493025357,7603.518567815376,46297.84993113144,5465.3472558661
24988.088661183112,23937.928455369067,12224.42236628392,44355.41292114179,12876.359970625292
24820.695623477128,43170.838573205525,20956.122596797246,46887.8299889084,15438.943601697547
37025.221318091564,50000.0,30315.016521317695,42675.896397507066,11719.062964753317
39372.013473611005,43048.2404605112,36909.70599160507,36318.21051233657,4794.479046604196
50000.0,34291.467237375786,37679.13107591161,28914.211589237915,0.0
46174.045604923056,21761.05123183562,43143.570506679294,20674.662254656352,6328.890761890495
46528.155971603606,8921.374809006866,47991.83494557052,8676.885080726875,4560.4828470262055
43027.338522554805,3710.8221580407567,48550.258513333625,4537.829294814927,2889.166545085564
39391.425848775565,10463.20368221999,49804.52271079665,0.0,20846.119819626434
32930.88465661789,21454.415034988153,44293.28128069655,4524.542585145313,24980.788135144663
27938.530407004837,36593.311636287915,48327.55862194215,10624.80774669166,31481.308261672286
20387.07607505469,44523.23659564213,30721.106775030676,20886.173511968856,19639.48272119757
12387.814757025424,48337.856738363815,26532.45511683589,23844.659997857754,23206.75021910954
12592.392201493529,38763.93365015893,23215.98703287768,32165.385500396438,12495.744767712911
8533.065152037008,28905.387657644034,8582.401120648132,45473.824560890986,3130.0431598854047
8588.968839780162,9439.601683226498,10365.517182260768,49138.02886140139,7324.915703076717
8379.386411532932,11581.955690318047,6527.5518292608285,48347.03796801595,17296.573676996155
5916.96754252539,2567.1767324888374,4533.27593541022,44412.63362362365,9694.555398131006
4177.275442083592,16692.23321483155,6455.498267430878,41512.35721389593,12386.20230492926
2027.2766285167845,28564.53534141588,3068.3422961615083,32349.52418135102,11694.241435781358
4396.085761778916,43383.000886121205,10150.25730060784,17493.710747826954,5431.583330223995
2419.123629228682,48184.198658548885,14975.889937050846,12733.533796695037,11329.67365986958
203.5650300770321,41989.27784424101,20519.975524399477,3235.631974650573,15229.65227112537
4032.8228284943125,29815.653103125744,29126.764143355354,7009.510673646931,20954.506803159336
2963.816878415763,17045.039059518578,34600.262985436384,3142.145623053343,21065.812962757627
2256.7366851567344,6023.184271159946,42775.67716096645,4644.22077452856,30421.996494621108
3061.216588404211,3757.6596287393127,42553.158519470104,15753.794834509912,20474.069379414283
2663.5342562026517,11496.315053524257,49284.174145876976,20190.075579146636,11904.913788767735
103.17313419673025,26274.551161283438,50000.0,31515.75527893979,23407.32737527525
1217.7908807392007,35539.8969349347,45239.038002851266,35810.95252653993,25819.861375029795
525.7361527886296,47857.53341343392,44120.28039469061,47504.63728986105,17453.942893339092
