Sports and Entertainment,Event Attendance,people
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Music Concerts,Theater Performances,Gaming Conventions,Food and Wine Events,Film Festivals
86082.81055447638,74221.87756528275,91875.63687971029,111375.48674534037,135748.98786628875
38872.48537973604,34232.55598544696,64768.88213259173,27706.233856805262,129352.1335962226
58701.72210238494,0.0,115355.08736745761,68270.47806017032,156641.8178395447
13538.85318034815,100222.3017201557,120004.99818476742,69341.98162311951,108057.12922563171
0.0,64639.27933081814,152350.84107809485,66140.38493773693,137895.37176180858
50222.39691900969,53956.73987337796,177153.75393627395,61743.6032847082,144957.02111441546
37786.37194051968,42594.857625656914,81520.64846180621,101899.19617842369,107259.96021003235
64612.352383174155,116101.0305517377,75398.99896435316,79751.38616484495,18502.5170372546
44267.34109176325,90902.88715252369,116270.78976385666,85043.17919524487,139995.2945341091
20364.979533962003,90148.16544963217,138812.2197844971,99289.07500977625,69137.78608326562
119517.60624154251,74797.75105421065,78104.35420749545,192024.8604839524,123897.95912460327
92597.95493188607,76482.11564781443,40949.26483859365,51233.51318297192,129371.12781622345
63373.849518977455,45719.62617627144,65851.92446684172,129245.84670347538,70338.11767965752
128321.13594948022,151741.02709538286,113118.8818735908,101992.3607512471,36824.04028787716
58726.88931168253,155638.87992983605,95646.04043358569,129221.70503039617,177197.0605764358
118646.99152587696,156985.07122213522,167058.01206680204,177679.60033592847,180627.5900754532
194756.17836396015,109233.70139637931,118515.4293074811,152452.49813628822,185303.17197590027
160410.74785509604,243687.11289161435,280788.967553925,297464.8917717882,317036.0085415022
293815.041361931,297909.92487456155,459028.451993175,367890.654650429,327355.0426674574
462604.4023690599,395050.03292959416,507736.4504230284,441909.02123436145,413121.96486789675
593492.232552622,635165.585401426,553043.9764877161,663909.053574198,642534.2521680833
679838.9914561735,678058.7683285412,714575.022350421,739051.1970685743,737594.6370309312
826309.2347680005,823089.2428274282,893423.5437138558,831294.4164269234,768330.0826536113
850163.8659599406,839334.5321064754,872584.7797333886,985131.5249603558,936959.9634667261
1000000.0,958101.2767398763,1000000.0,1000000.0,933874.9362851554
984969.0536451432,986687.6383081942,971420.3548268257,932580.6660338577,1000000.0
938606.8045491508,1000000.0,919350.6530531698,967977.5399135601,915288.9022161879
764993.9953115777,887278.8701864221,779557.3246787016,792809.1280372416,915558.404414433
709019.7726016,668291.6541369844,707720.7033699894,719641.9692040922,677918.44820704
502939.7246316981,573279.9434067241,606113.5164135745,587895.1919969843,499646.30012851337
533167.8421662257,407159.64972645644,475874.7585279229,443004.3336972599,460863.24715533195
330072.9092837537,373917.2150553643,334313.07180165977,269421.7841168616,356724.51462824666
279744.0183901843,128499.57075908844,245066.48646577896,301875.54011035524,342440.5758822894
176555.81022271645,183263.13137782717,166454.76956553754,197452.249190294,85768.68320598126
163817.97367375146,189165.90741560524,140900.35710871514,160423.96603756768,206268.2169431803
27863.002082448227,120660.24994506309,123745.40346899907,94451.32466145717,176884.96034801498
108460.16949474947,113248.65412469601,103371.29127045635,165388.21312318175,69571.92592417165
78524.2927745222,135624.09850281785,33577.81827915507,141083.95828970644,147264.857765349
53434.360701942256,61396.34582038823,25886.637919758112,94850.65324904479,148261.40216627097
50476.86916651399,108135.05689860517,162778.0817221319,54323.757269874855,115909.29066235463
98821.92931602588,62927.34865262417,72555.48808526996,64455.459961198765,58965.080061479464
33343.06330256325,123503.46084274123,0.0,102130.2354152328,0.0
93481.56360583814,67859.61543761626,78724.7386380689,0.0,142001.97671262393
89180.35451986671,76135.55521187534,109439.88356533746,61594.2606346759,73020.2794326516
134769.15531869562,111706.8010549343,93113.72952407532,7043.680698717283,118719.04605946726
92937.2090678513,97720.58064868947,112752.95550809805,38306.70131372182,109015.34199530166
135646.50152790127,38062.732948234865,107336.69309548156,112886.4364415646,57615.39109076317
52237.39918113945,132226.69960925906,45840.07869423716,112489.60159786517,91982.24558048425
23496.691240875887,54308.22791152798,157019.06123631043,90351.32331206337,102049.29165552075
48776.20228831117,130395.2665720525,89776.13275811666,114339.94858931504,121897.16464357426
