Energy and Utilities,Renewable Energy Share,%
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Biomass,Hydroelectric,Hybrid Systems
42.97992752401295,43.19275840182723,5.899157479308547
85.27216648133059,68.32050597311373,0.5830560548044305
89.53235731966637,86.53541600535355,1.121186951332649
96.26283674798947,92.22423967648096,1.654636882846951
71.66695944651389,89.45118375222386,0.7536133035268913
35.343808370279675,64.54461124631074,2.1583426853626753
12.961836582934824,37.64311587669271,3.495077891629324
6.256512629591961,11.8087134874531,9.750310057852367
11.677598143432212,2.0034447966340605,0.8662613596703377
48.277056911767176,3.94943598958838,8.506949613807704
74.16389462382183,19.55752058840046,0.0002633677677135069
93.03205809914022,42.20540961090117,6.540232315258054
95.9393336136032,69.20026211804449,3.324184032873348
70.43745557390393,81.58638381273242,5.207615883876227
46.414640698532246,96.1099622071888,5.014099255156201
10.269021856764674,91.58358702357907,4.015339702767214
1.2156912667013746,66.10245121078086,21.57499485935471
15.639582400201945,39.143235959149926,20.406133645782276
40.07122602949882,14.191887542184798,31.34356901331684
70.39881218125252,3.9939676894437373,34.73022337277099
96.53601700801484,0.0,52.70162229779752
90.5185555586175,14.066519903536893,66.83731997763245
77.70212867581117,39.512987427691684,84.51349648617246
49.495241406021904,66.63876479244274,92.02234995173319
19.800989725319447,85.96293687611889,100.0
0.0,95.2957542112493,86.48365839038263
13.013375000985391,83.46945928152432,85.28237392885873
33.98894751333215,59.95709202228498,78.29823188706975
69.59664970108949,37.84669533884487,67.21428029310965
85.09355202685867,20.381625625529807,54.32482902159317
96.82152729790724,1.1008574645610927,50.1632149569283
82.93266712316833,1.6719689043918642,24.368444946840107
54.89089829046119,14.450835386577909,16.23838108310022
22.164042255611154,43.02877742781664,8.695090862070007
4.945056334216957,64.25776696440911,22.147329314449177
7.962122594028581,76.6303744730309,9.484428812455855
26.235254734920442,100.0,11.683573337794845
54.97578440779542,85.15534902068084,5.764170037188685
92.97132812600137,66.94521029793184,4.452127551725865
99.42170916928411,42.54686108944467,8.104034491912344
80.53567997553318,13.30917836349998,9.962004008556127
47.56743177742685,3.1472936154328544,1.089534591265779
29.518919620193007,0.9974290178073905,2.27125055394604
12.920176900074798,13.842830250190799,8.579765860956217
2.200976943849511,36.66640237868037,8.08798345608946
29.66039897272531,66.12303026049725,4.265688417628231
44.52210540063011,79.10939703776128,0.0
82.8259944789356,91.46833693695203,2.7552555477789817
100.0,86.05259593008324,7.4437354398665585
90.85801022565119,67.38569609999232,8.419031496312078
