Food and Beverage Industry,Consumer Preferences,%
Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Ethical Consumers,Premium Brands,Tech-savvy Consumers,Convenience-Oriented,Budget Shoppers,Health-Conscious,Organic Shoppers
10.475777365325289,100.0,66.61657930761481,35.221775361785305,50.95950079383804,9.101182785579583,16.403430170843077
6.440377805484123,85.96850011435015,63.63242665725634,25.86721560180434,62.78137946280907,12.09730513468618,16.708826319352983
10.958988323095427,87.22664030358668,51.71637039467583,19.076659037580406,69.23563267834673,12.049999717737217,11.638213156707577
8.36365162716685,89.03053531097085,47.76373038669727,28.546658279087772,81.97046778103399,11.796200641777856,3.345973028525023
8.129936778169167,96.01944796105695,69.14241216630376,53.70215394119631,86.43836345586315,4.755559899643704,9.749515722298714
16.03644332596784,83.34522903163061,68.62539122282001,43.14344302257585,92.25878369159544,5.280902719441584,17.665532579850233
0.0,74.77454405903245,82.47749776176224,38.2388846706738,100.0,11.026426757640783,14.343098701698903
13.171621358641902,73.96547621562584,78.5229671509791,40.972809617362735,88.52090480032487,4.184831188463499,14.210210728191711
1.3864540929213138,77.11998544775743,74.20371120365694,58.86606378806491,72.22506417457969,7.731719321494546,22.308754949366726
7.338928810728726,93.91409130925184,58.866166142117116,58.05077066499078,64.86177042906152,16.336669782759227,12.733174037740797
14.670413951077474,86.18968213443776,50.71835331631382,64.78533475399847,55.168157929932136,7.737953827104345,20.050138060161974
0.8620532720115126,87.01756472810057,48.27367688766718,55.35048864052619,38.96900389686174,19.270847840230985,14.00578667006782
7.390415141202947,66.16448455779653,41.989204422083326,66.14728257483195,23.5740704034635,9.14115812851366,12.536339050924525
2.508971024972918,83.47148533506089,15.276726986262121,86.78127144722949,22.571253918108695,12.137885805194475,19.792854840881844
17.06578539504199,79.82004919135021,12.215798131487539,80.54905838562361,8.344064349616609,14.665754545514273,21.271226151255124
16.96765870182737,64.67356192462191,20.632290332679514,100.0,4.088721619945165,18.603947866654302,16.426072915385355
24.213169242398525,62.51651926915447,23.35234702507091,91.8171325041877,4.2633475766315625,12.16332040822124,24.137430866814093
27.5451428335413,80.5373148828349,39.83694134414179,66.79283676149113,4.745610270776423,27.137116074193713,31.521461878326267
37.163859237481844,51.28347560143963,24.093342537218813,80.585816781888,13.457060046843983,41.54761405170929,37.243498887974226
51.18665636666611,29.738060787165253,29.671816601027977,79.41805068185293,18.15569038457362,36.67950515317568,57.12578673755257
57.56582246436156,26.22525427726405,22.7329580826852,77.75639332456745,32.962112311237675,58.3919088276736,56.829784574286926
76.6359293633925,41.01107316289856,17.340748052128504,56.31593332505065,46.9954509925274,75.58513835346879,75.13002333462171
79.08981770110763,41.164835062397245,11.940829887523963,76.33917798460871,58.787308043003364,90.05458778641963,91.00321660923505
91.65700589031374,28.252474110082144,11.809573025468225,66.26793080828001,65.38494193141291,90.55486951318326,100.0
99.37227036318166,53.15681959955029,13.978729845610923,56.218340561448244,69.15136939205674,97.08829462261856,98.04196038578195
100.0,58.22583985347366,28.131587990368956,61.31305503639177,87.2067077677887,100.0,99.90337894973102
88.08908264878882,35.53806406002283,25.288437353914823,48.450940835846495,96.84588519410559,99.44180497103362,97.07325071567881
92.21139993284386,44.889049822882995,0.0,41.58771450425013,91.97814319066813,83.29907196582707,76.99802265198163
73.24147940774792,42.083539813694834,13.48103914789294,33.650595516316336,84.74176364757199,69.70288884793187,84.50303648128336
60.43928954946642,8.03651520147136,22.63266239207646,31.28669301513233,70.44832245513219,66.08673884394491,67.8131716922761
49.94197520003149,7.627380914177641,19.228482044209034,23.98801768742515,77.9860807722994,37.808893770112405,46.20556505449508
40.88897603380124,27.296963646177634,29.91247583823153,0.0,59.77854037032726,40.5526955924676,34.41267776186611
24.197475184130866,34.42610667499816,25.006637605536103,0.8096611062604694,50.0448275715634,29.848665272542274,25.126188764022743
27.301242035548633,25.78052143346256,35.33542184222495,4.753005518013476,36.58969226781043,27.82089468120363,19.77512446828533
11.650288467736946,62.08878862552765,38.76843162056736,22.50806263434936,21.435520711951643,14.87802731496708,16.436703871861074
12.832196058808263,55.379657007508065,40.19576144473866,21.600614803589473,10.90476883778753,4.704046603695796,14.767630611188965
16.15313163056808,54.97296528976112,44.07491316700451,22.318242794332875,1.320944282839652,17.91772204776674,9.856304911536846
16.297867723588684,40.80913537371809,70.04220181212051,24.38776939933145,10.265617129457144,13.658848465461116,6.373228173505982
5.460593426346231,33.900253666621275,62.860043811968815,41.967775875113496,0.0,0.0,16.240155178356915
6.233524194692632,9.919432071204918,67.3697991533127,57.084781753622636,16.853691779789948,4.674435665937291,12.495130585818874
18.41531227011596,7.477345351538917,55.547844383651466,56.62478745307815,16.88016947078726,14.600737773155952,8.801942001388026
18.436656225500293,12.427494784504429,65.56619774409404,70.78447874932301,35.16401044571337,13.568642166794056,15.486427964503225
13.422087691584975,32.51488672305269,65.89564075259379,70.03580205095531,49.8725176616543,16.07637567630864,1.6899141692783122
8.898045966146178,28.04202073421811,83.42367628408125,59.00785156511459,60.89154103874701,1.173753562964267,10.42459666750412
10.732101536951367,30.134468694122408,83.94910404993028,42.150990423988794,62.92126995667764,5.376974306419908,14.50760121036444
7.077664924762772,10.861696429217774,100.0,42.83310595631923,74.98875207854768,13.457003224287616,18.005447463214498
