Retail and E-commerce,Customer Satisfaction,%
Random fluctuation,Periodic fluctuation,Random fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Loyalty Programs,Product Quality,Personalization,Delivery Speed,Product Range,Customer Support,Return Policies
54.95433121848101,51.395969899458024,100.0,50.90578003438965,11.015264673565236,16.716084708965038,9.188062624531195
67.3039868939324,66.29638308119256,86.52502142824761,67.91245484535796,10.134977180648757,12.673354970950454,14.001953736936738
79.4159076095773,78.221749257064,79.72436385230817,87.30116975532339,3.4675737828403506,7.994955244925819,4.522350915418435
57.658999168297576,87.35845653274905,73.36325822314477,87.9400877339212,6.988295806150997,9.619859465167755,9.423208966123118
57.4002069398792,89.06003587176563,77.01627567201545,94.52016355181625,6.074294521844097,12.057528929933415,11.286246669862523
54.411726322355214,91.26587278953221,78.51197490452543,94.63368595261606,5.795339553048243,4.4029787552418345,9.396295615475731
50.910481395561646,100.0,90.21881156980642,89.71657971425242,10.93976251932038,10.6911821550926,8.504797166376225
42.699632603449835,98.40232782556669,87.86520342295375,89.37481270780086,14.95477164816763,7.1878772127365504,2.446588695704178
48.608900117485966,84.88753912225728,77.80668098144616,80.84623643831678,10.638491265444694,0.0,8.118902052496622
42.09069616921903,80.1476100615471,69.17960617487306,72.96669704363887,5.524808191110647,13.743824688872525,8.626959127712393
46.636461648080854,65.84048023742294,67.5493262045789,62.51743235246029,13.103426760718856,10.04860068310942,11.428012687506826
47.00589732595191,57.0199275796148,60.870598282401644,44.518487372573034,11.545444806838914,8.976283784029134,12.020731637072227
54.76500015687815,40.585168946381245,61.72201875593936,30.93947244623032,4.7639424318814845,5.412806279986455,14.464579454360296
77.01848054572008,31.63191543906801,63.660298000007444,22.481047348635848,17.568001714918,13.066002915767378,7.763168689191188
100.0,21.85632353282398,53.101914914107496,13.247285726666219,8.21672094412503,19.895736385056633,11.488327871974684
82.17291295984197,11.544196826112838,58.7735178020817,1.069943818645811,7.84818370406652,17.363065560547195,11.493554928458796
95.17715969758878,0.14745084076748372,67.27513280816899,0.0,17.522415399944943,11.68081696245586,22.23502879949171
95.93417978263797,1.0342394315661438,68.48278197997814,11.682355447603337,14.879072676850063,32.81300262511305,28.998862513550005
66.63878738239289,3.1286676963977613,50.64784272253935,21.400900713215123,30.07698041903971,37.3905767620068,32.13108470571597
72.45509679404203,13.339586396201428,30.509762246638356,41.50814720935793,39.44737023589682,45.98431597418802,53.23348097531322
73.53014784557851,14.293386611094833,35.93519275197384,46.95242138565543,56.96929979753327,60.9055226770991,54.999607672394646
64.25500509799507,26.28388900569631,26.780743856737672,58.91368382489652,69.69576180080362,74.95407725092733,60.26641387041133
72.85809181960435,37.21792371951047,9.957651591262431,66.73918993342427,75.67015476778661,80.69842841816528,75.13153954911019
64.94473861480844,51.67895260842883,9.66484955535595,86.92615215134802,85.69315252433604,90.7165981491084,92.38710852514936
62.6468351696684,57.79596487731201,6.111246100511076,88.65632028160942,97.77935901753716,100.0,89.95118380179873
50.73483468379951,67.96428365737877,1.195239212599219,92.80544178476114,100.0,95.95305209411138,96.8083337186385
27.806925330924425,80.25406057852612,8.134949663815268,86.88342713015292,86.91033031752644,90.56503031460906,100.0
33.6025216687386,89.19380636713501,8.774472959927554,92.39047706754016,79.5412920447116,76.34108588184363,88.25627508205154
41.93703381199012,92.35719979238148,4.22715880434899,89.05269746197914,66.00801131019793,64.16940106506944,70.95533035523731
40.72700965704749,95.63380700917615,8.127495573087977,71.1115869174225,61.55198105905271,53.0934625320273,53.354517508906994
36.13701450638393,96.4412791692573,0.0,58.39031303486377,42.92415566515005,51.57786261828461,44.609427559267466
46.812823093795984,88.06554551703871,8.627425010819907,52.65236472766184,35.518349878030236,37.07038651132063,33.145815853148555
52.65766932555086,84.00969203319977,9.95641080225968,41.52668222507925,24.01921361959303,24.7167345169084,19.44440014152259
72.28063986891968,72.60760835360782,1.3374165330655767,19.505864695140556,18.300665720997603,23.61792834981387,13.310920099027058
70.62790756452051,59.256910089970674,8.137605005096905,13.456212752240369,20.590961471254314,14.683313036315853,25.72451388342828
63.72775822905092,46.95408783993089,12.887393767014682,13.489940250099883,8.096365989562948,14.588346557764611,5.761397135465626
60.835805260191954,40.152813487405695,4.474800837506839,1.096126765910907,6.871362213094915,15.629327659024142,13.069583774473445
36.224440662475445,21.560363145021434,10.349564749726795,17.500634276537095,2.956647657262582,10.178875177420464,5.866899488273072
16.773172913096936,14.734460785724357,25.130678132650413,19.915624598007554,0.12050814061674625,11.194604200861273,8.643107192272621
29.745820813656103,9.540837234116658,22.516676752809527,23.922183007365227,2.747478276752519,13.393569299259397,4.994571814865345
21.44013503171497,0.0,14.971762641898318,43.21557561818108,7.837969455693592,16.08865513477066,0.0
5.454604735471599,1.079172533708681,14.444163930883667,53.4406335383811,12.182405612311872,16.93384180395946,12.081819674975778
0.9090576837269672,8.26914695512595,10.433550603744997,69.79129106981796,11.317461623844038,7.623268349198452,11.189731739737608
16.65537230366537,8.949008543224156,8.684895634096844,83.22381795740665,6.462765874857726,10.231523346015216,6.634429339237345
14.918791342650303,29.29374821930977,17.4266693231033,84.50252256855637,17.46940441113236,14.438181283062763,12.856048150594937
0.0,32.10330993371604,22.790495545368668,92.13316964319557,6.3927277611340925,18.333794888581064,4.14800324399041
7.5004977518697125,43.02270555480344,23.051064283060605,100.0,3.5985603999455877,17.285896729913965,8.376741551690177
6.468543947399273,52.07198758063195,24.354574574121976,95.89506234040265,8.324511543746121,12.106310549965329,7.32024565113079
21.097592214828325,71.40995062777401,29.709324647416075,95.07331054544105,7.377868362387001,15.308297243102617,6.412524770608545
18.35558686946102,83.19307216328082,37.02072930920033,82.8474209371987,0.0,16.531821946864522,11.754523041508413
