Education and Academics,Academic Performance,score
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
Physical Education,STEM Subjects,Arts,Vocational Training,Language Courses,Social Sciences,Humanities
13.245327138290254,8.602468860370124,21.41581874106747,45.33486681685113,50.810096368464656,6.350150260533587,50.227354444004405
11.880552830912096,12.1577122856348,11.972015024799973,72.22000698943744,80.30254851048684,11.990743140309783,73.97646258140313
14.269500009930711,2.541421369577856,6.9717083265739275,74.24140222103472,98.06504900414681,18.391871296327782,89.86713978957438
7.962428167786091,10.252340431624322,14.083323161929556,79.30620178218632,100.0,18.506962182105838,100.0
16.45496731964469,0.25147545656366577,9.112170329270933,91.25183222680577,80.70406076930085,15.146162162057026,90.71006991582719
6.042620185970432,16.49049387937859,11.706908274800579,95.59194410889306,52.6477448528782,15.120808919357334,80.05767271408399
5.5180065160243,5.047439667421347,11.160573588757815,86.3441781156663,22.62681736406531,12.340320998344652,62.004910305371176
4.718065957368312,7.438063631001479,4.856196062738345,85.76191629965466,4.7661409430026875,11.197454806373582,34.3097363679338
9.016439500525976,2.116905127177005,5.219295016304859,68.76918889232121,8.948429697279865,14.089034171558643,19.812162979923347
6.0151864551451535,7.349018505798545,2.4814642888315217,56.90185872314824,10.892932792365597,0.0,12.434164573230087
9.135681373687103,7.916596667913659,0.45878658826858704,36.655600840855165,46.95460327841724,8.28688298931757,6.166992216866832
4.598905712101307,8.95250691486636,8.595299492017606,23.617634469015954,74.39607220197374,9.089610809544968,16.12718136775759
8.218445448387271,6.5362360702905615,0.0,13.458087233877272,88.9382368255843,11.434961361083063,32.459321976965654
3.548618875529795,12.49648461994839,15.351301230974396,0.0,98.03177469004021,13.717578086020762,60.95532746190121
15.393606167903046,11.359427215564333,15.32282704376675,2.8490544763082264,84.86265115581165,14.311593240382212,79.3136624979534
15.924966514096814,11.177570807327672,10.55691886224415,5.900660863918613,55.71397116654553,21.059027993527334,89.90974524812846
17.799063588799648,23.286530057005557,19.29894301440124,7.812537140569539,18.518606491897955,18.396188124948075,98.11681779014498
17.404363165796678,25.432275594919123,23.89009318896689,25.14756893669185,9.83242617024799,24.31786158575428,84.43357834879124
29.787269921425242,31.216430668827527,33.846712558803155,43.6516120453533,2.9746921338215073,40.755707269590026,80.96082047429178
42.98977785533918,47.790758866811174,41.59043279706271,53.296894023454776,11.0517083020013,46.51664793274232,53.0099455194862
52.74480976994316,64.26743699852362,55.899307402241696,69.09471393006291,44.205838107839725,53.9275222008936,38.63055600433322
71.10996097657396,72.243769627525,66.97974775578565,85.48406287067935,69.28594183250263,68.76284896515837,10.567081121742604
78.78895302226834,84.18835996808667,84.3083742866769,91.66303325320072,93.28240591944554,88.76409155501972,3.5595279587991433
84.76742511819494,100.0,88.59326898816227,88.68712914140434,96.48815468598025,100.0,1.3788089669179149
