Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Soft Drinks,Bottled Water,Kombucha,Energy Drinks
4971.614396338455,2074.1718094210673,0.0,53849.8746142319
4794.060435454843,6231.217047819629,6044.579285654895,73195.93554631612
9543.346008000992,5346.212554041209,4253.290909377433,83763.51083310397
8581.640517369988,7955.235891951227,10077.888053761526,87860.35911284668
8246.506221523892,9219.521528400324,6212.747222091125,93762.53996216398
9277.611717790081,6435.972902039318,1342.3378923645516,87965.80716925567
7782.738375669255,9776.576291344012,8583.459319663121,68937.12412798461
1836.7755147241166,11282.878686127822,14582.60298510565,54168.32780344279
5834.1509321174935,3953.8451808931554,11738.455890268853,43671.687886815416
1238.1712743204241,0.0,6677.767479916659,20004.925291501182
9465.89298303451,7463.041567886859,1442.5344259390897,16555.762037219145
6430.975445431186,11999.140808658145,6383.4735834238145,2652.789182718566
7674.063436086122,15784.328269530892,2038.4711325991714,8236.086266469585
10889.291776615286,16653.02759646769,10434.803186363268,24662.968158092353
12602.043752975062,11293.17670508794,8737.60237695104,37329.953237133865
10342.0031166952,17104.317318072284,9400.96506271491,56207.88587445081
5743.41481666622,14746.50683602852,18562.439457777953,75250.07233845918
19807.459598560377,30629.518122440506,21658.41225991374,89805.16978737027
38368.67146617612,30612.772890637723,33957.73810489983,91285.78655931845
40098.700924808734,46778.27513332789,36221.69138288098,90066.97403297486
55247.25779234611,50359.83159274915,56022.53530229399,86286.53107923338
63869.22941385899,80024.82536692728,72292.97580967935,67398.29446410261
75038.3395110711,81892.04525757152,80463.84457154816,46900.50086790215
90757.86827281424,92509.6839549863,84973.85832250345,35172.51755665064
100000.0,99181.47328940418,100000.0,19149.27939355073
81950.88942176288,100000.0,97222.4353674657,6203.820244376447
93187.28254160729,85308.2791348897,91028.42678355744,1382.6194207590465
77574.93036022726,80679.74473892922,85142.56266010218,19522.269001937766
65196.58716025336,72850.46555962588,67980.24044915455,25265.136559977702
45439.084053912746,61069.99730173106,62568.27991102881,48345.229778991736
41551.19601503215,42600.76154411363,43348.82200236881,63991.862057311264
30609.551649593526,37056.20992740897,29375.524191520075,82320.02120562333
26063.157491648715,20760.713789487443,32043.945008175808,91357.7585465949
21645.008433396655,16212.808397018536,20523.307303353904,89659.63034067958
10732.981144426796,5781.08362871703,11624.390689365728,91591.44567566874
15395.730605866198,9117.361756132623,6408.992978138307,75402.4902065164
8216.741607380105,4777.126543788035,4321.525976962207,60649.10673958932
1470.246443916984,12606.34401203167,12244.318644782465,41562.49626180455
5328.2340432234,11965.5071688379,8681.77158311439,27554.876787364152
8642.775953070985,11356.800256116729,12338.016051780894,8561.31944820886
10834.708816872013,7788.3344862249405,12761.330119770719,0.0
3077.436479541012,8863.14838786115,2530.3224594849685,8678.027654681122
4658.875768572894,1559.2665342105145,12914.464667728013,23938.119886106364
7977.399098525495,12234.224426488005,2594.5739219670872,38306.37096490494
8262.511005766384,5073.41801128476,9302.701486459508,58394.524300515084
0.0,10445.523172038149,6855.772270720839,70532.41214764868
10154.310873245264,7733.244962096346,6054.497745867716,93230.24942022788
9775.863134782512,10907.010500921828,9400.667913737332,100000.0
5056.461376497821,10901.102758234223,9619.79659864814,91929.60564928148
7447.52031106028,6391.003738515572,9523.611350147456,80862.92484862987
