Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
Rice,Potatoes,Soybeans,Wheat,Oats,Barley
455.5756733950676,189.98980136842553,945.0766705336598,2378.8640995423725,485.564557934252,2375.0373051614556
395.41035451768147,395.569431750797,608.8299427172376,3829.5241072949866,85.47385392962262,2781.4791926803887
16.496896083891766,45.784322182662194,561.8986874976861,4395.251584615802,472.1135276575511,3939.318158878135
0.0,344.1532430369671,739.2012182903267,4587.948511269929,710.3644639598182,4124.385186697187
887.5257416535244,161.49432166982197,690.117615447224,3448.7124663811846,694.2469182882,4555.43322210191
303.75884222246674,185.99261609270852,1199.9684442078699,2115.9165130407873,452.74130813667904,4495.897340249801
355.0438492880645,0.0,630.8961349102863,812.429287458398,284.55386240867136,4788.422028535231
456.85179966043677,141.40885858382802,486.956521612955,502.9787332511046,462.4551003500285,3850.157272173656
552.5155872389554,368.61239952807733,1109.503603421909,991.5856556615016,451.737467335064,3613.8986771806713
282.18352031692143,275.33972607230334,454.7880026574196,1930.3807715750004,398.964286773672,2875.8697492412066
129.74942229442053,721.3457550650618,0.0,3647.5650879055797,519.5517154099535,2331.412764578804
92.59101174290613,667.128300354419,447.4711052326774,4573.514269048473,368.98915305629527,1749.163324703901
613.0828446238196,236.4401128209769,324.0111441419654,4930.620127400173,613.4937678268113,919.8877273830429
743.1778044534948,681.3342358125141,1029.9441501363222,3746.717162348294,380.63691401885774,780.8195024208869
807.8118270061277,205.26062987113573,726.7473232879053,2111.5575892268344,859.0148691968575,0.0
951.786457946953,563.9218525846715,815.7066784672994,911.3348297468848,1033.429396074962,615.1899912358789
327.10303816611844,969.6222340112903,1061.1177506658005,0.0,747.6303904275971,497.26413465083886
1226.1938640279193,1085.10774965931,1160.0865460119167,405.00286917740124,1551.7820310257382,1108.8166584922565
1552.5577503427821,1714.0224747667737,1550.7472856973875,1595.3964416017973,1637.5802039954124,1615.8453926813352
1821.7279926686579,2033.1506571805112,1742.429327797746,3107.2255911699885,2079.793391914854,2015.211275968171
2704.265468797668,2415.7966756445167,3005.010822623904,4489.485756164896,3144.150270622775,2865.5786313178255
3533.016441853294,3268.300127924224,3182.2167778868825,4522.159936774299,3786.5613534821678,3848.798738989871
4228.267263179846,4395.99676461796,3877.375743808391,3943.7405823362715,4172.4194100729765,4355.5834333323455
4998.825749616789,4279.833880453349,4583.401066031436,2383.5513530336398,4958.901775459645,4620.64297390655
4803.814798881562,5000.0,4579.613129753115,1194.634764524215,5000.0,5000.0
5000.0,4703.9194246428615,5000.0,586.8931034925306,4812.449482548469,4599.986028844517
4414.908071865532,4026.9370515087776,4468.337750729629,496.13181651383775,4198.548851546194,4458.877510154708
4127.790310713096,3839.069965839744,3729.938976723435,1733.4135474441628,4035.0481917622856,3625.8039605111303
3385.4372699576584,3363.9278403345925,3707.1291428113327,2996.285033896049,3535.9735080388414,3466.5669687570166
2774.729936003011,2923.405453286346,2952.4823415976866,4117.8060824035665,2640.964142008892,2548.837257440433
2277.894920883721,1829.6795533538543,2072.068008545126,5000.0,2270.5005633101823,1868.2190140597208
1258.1873753471068,1675.850514071995,1918.544124640727,4255.583740962964,1588.279509032663,1493.4512493313837
1592.382343502167,1128.5724443243466,1155.8927111529842,2797.750035647796,1078.2487939133514,903.5315772678438
493.9766936756012,1020.2034523010243,1050.0523773964092,1696.1861202807447,773.3976276707536,785.6596160488252
393.2366628974374,988.0580547121859,934.8300324711879,633.5482308754692,807.1804038455787,331.6982486176311
453.921724586103,118.16482196509078,696.7345385147271,562.0432712298301,754.3448526637432,352.14621149537004
89.96257982068585,141.24214768596744,792.1463717469424,1143.5028880361422,605.4746226321129,603.2285582379898
93.16487289888707,86.04438667776081,950.6736672013644,2580.1034134620145,601.6770702941027,1543.1741805177978
158.2530702781544,37.74912692874432,533.7193790358974,3886.032660567671,797.2145839826874,2036.8636809139873
142.93544693984313,466.17437068965853,564.5866056413835,4703.232535277719,0.0,2508.8612551613655
387.14346235338724,376.7925060532398,492.9024018359323,4426.975207336921,683.6773035115377,3387.819457293104
502.67206806497865,207.65986553131435,376.1013345663267,3054.34629951927,372.1824309472277,3897.5803598481352
368.45449016541477,260.2386930169776,603.4365223586791,1664.035908982949,251.44889208487714,4025.7340726705793
109.95602855276402,211.6440832489729,618.7355836090697,573.492598329743,832.1339062318951,4795.452666336697
545.7368022355334,158.87507041915018,606.6314767893595,371.6516524751804,655.4763104901941,4693.919189743005
793.678128832956,612.2310790886891,271.08612563597075,966.8606047280565,354.00511591961316,4577.434983411012
367.2136107798443,207.72541751527916,743.5903481995985,2077.360148778884,398.71336232633956,4327.4805527692515
419.3602698027149,228.34600305552354,357.44705401659076,3839.8727466292603,124.87682973875549,3373.8682171701857
145.86066566650697,621.511868032666,853.257785803881,4597.257783741126,244.3399711056679,2710.088573856581
453.9989037952603,220.08757746849415,651.8789547449484,4505.114972085149,689.1020784117823,2425.789002589588
