Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Random fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution
ProfConnect,ViewTube,SnapFrame,FaceLink,ClipVibe
4.453350003133325,5.151303275411932,3.7708366014640737,4.905162954029133,0.950280583092163
6.574964220895656,7.367438240753081,5.93174688357994,3.4996107154896365,1.1307787334204673
6.990671593923055,9.877727544573796,4.364910725779955,3.5626632934631814,1.2355313218212751
7.431595783477707,9.101927044406153,1.9572119440449134,4.584045661090975,1.8455395620756174
8.353680859306653,7.806801048516588,3.647051100107058,4.159953399296759,0.18161903000319748
10.0,5.574951020888093,4.341179862346676,1.8291285009044262,1.1909289277448831
9.721619500018209,3.1309017716724066,4.651596926431544,2.223472126445697,0.3066375883342987
9.697284509060285,1.5769116320977272,4.894433569909705,1.7968813987200978,1.4066289403891372
9.20738278945773,0.3232180498985888,3.4125083559168283,0.16527363530897243,1.5574583274051137
7.069153114064209,2.0406553432961547,1.898210000227081,2.4846502273732156,0.5919872709015562
8.396723529147396,4.615710051654361,2.0036998446289718,2.7883423649157897,0.1431920654016624
6.570653841608033,6.955000221971761,4.092461971714034,3.3439927199965185,0.8885736169263099
6.109001940245074,8.17399164998363,4.042194760444697,3.8381569372914184,0.3806693563886224
4.67607655160379,10.0,3.1451875247145367,3.591975544970956,0.5420059260546634
4.648066542000865,8.13619252775631,4.461887240094317,3.113327793049809,1.2685523180883833
3.5324031063728656,5.498030971088546,4.267661780085979,2.4138936164827793,1.2486664046360478
4.320678451070953,3.7725531600053204,2.4347137286168046,1.725623508398531,1.949432378198913
4.059356200651727,1.3677529439920086,3.5618671450084154,1.5900398890289105,2.44173957218518
3.6669058351480057,0.06250571808910517,4.149275803710037,2.205353597641543,3.126899224925867
1.2712516732486334,1.3514489389389472,6.857165105768116,0.45849547586093714,3.9291063436301306
1.5305636397701363,3.139585221691049,7.307458774708676,0.4188881601538125,5.39366887572424
2.8508815609030487,6.583691588749763,9.006783157422053,0.6095941119348197,6.822761735419248
2.4155299642560775,9.254896873621876,8.992075400911979,0.4094557407576862,8.302920704624121
0.95735832393392,9.953767639022148,8.09632239263284,0.321899073267152,9.679584074746948
4.228150940528662,8.496180458972063,5.478429411513992,0.0,9.24620579700501
3.1673859829794186,7.246056387225921,5.781122300940115,1.1462873138607061,10.0
4.397010882484366,4.932331663204354,6.970893978552308,1.085351669825082,8.334329518884884
2.0369569190797447,1.649379085849074,9.90292259849909,0.43165886225567196,8.576459327366132
2.7657244763982076,0.8266231842988657,9.174245195945648,1.1873558714394374,6.476870275326242
1.3251813902436682,1.0385115545576438,8.906395051355469,2.328108435324335,5.010681308987378
0.0,3.0480670347248697,10.0,3.3469228742202506,4.06592080230218
1.305821897728565,5.494263190605321,8.382453883670236,4.51468116301886,4.098161041383253
2.9350236756657733,8.166552187553334,6.396543182193296,5.315449487730265,2.0399547264678937
2.8168207579724864,9.526767225299619,6.991655287610767,4.589067204168332,1.7519738064352106
1.570950062739063,8.711038194972145,7.969079960932982,3.112466898759869,1.7163468623749796
1.7806243289032098,7.6171750948198405,8.424059460735084,1.6571511190353334,0.776701888615493
2.173424322325634,5.125566204093016,5.641810723395442,0.8617821005543126,0.4132352811220986
2.7835312545344153,2.230040378203218,6.42578288216212,1.9140296886692947,1.095973992407477
3.1817047151206856,0.0,4.9590976755566105,0.8674513108862616,1.0777331606887068
3.0059414794538615,0.44738041552304963,5.698633858609653,0.148175389615571,0.6452777174917705
2.558565502229457,1.7171072996818615,4.339303914065753,0.5579351626677188,0.779746983982209
2.1415892387692055,5.156484248790047,3.5251110216390726,1.1382783425052878,1.2296878763281462
1.2272721077391335,7.028344591203415,3.8052378360028847,2.0355949267451687,0.17066023333652894
2.4999523745688332,9.275294118698948,4.381039429696333,4.066358220010543,1.0018417250714908
0.8112307875157141,9.22950655119214,5.833821719223989,5.677289556357451,1.0964669111938756
1.1040820882592353,7.965057710484235,5.074854377248337,6.4111213806126575,0.2827155114446913
0.5138682123021006,6.36227751209894,3.0397046580880134,6.672629073644325,0.22631312284499827
1.3643945133307573,2.9545474201888764,1.712856671727364,7.518632406660468,1.300841346446855
2.0369378339371673,1.6210450056081487,0.9698022497992407,9.136515881572466,0.0
2.6510954047358,1.0562229423733687,0.0,10.0,0.6333628613804545
