Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution
Surgical Treatments,Pediatric Care,Mental Health,Chronic Disease Management,Emergency Services,Preventive Care,Elective Procedures
4128.548942029624,499.31350718426296,380.9933532115259,9268.8963431873,3384.4986217298383,9585.472270233688,793.6984450413287
3193.2980849642527,968.9357097907258,958.1213665995807,10000.0,4777.279419973946,9983.301594772682,715.5498169757129
2867.410027906873,0.0,406.85265607902033,9615.789227184569,3640.309171380933,10000.0,387.12139247729397
3326.4865857434634,224.54224349460227,1114.1146851684443,9491.638443362912,1703.5971019802653,9807.151217840277,1569.1412661140066
3637.920859855613,879.138542029932,1272.817855674166,9026.014404787195,166.63955887804127,9525.75481749811,1794.523388247216
3737.627997869693,207.79796599853051,685.5654998857746,9031.142162831115,497.7913100347278,9359.119581548623,1270.215029949418
2966.1860657582283,258.1045127944679,307.0787563641864,8390.101220935723,471.55859906816124,8193.68087379899,1063.3862228974776
1962.671615727531,849.8819093775012,1443.7912696782719,9025.120960416043,932.5164323837083,7561.8957565211695,1301.7630071341084
3973.369461893712,1351.9985790263484,312.78889197912207,7821.3744230799675,963.0119640566242,7626.790389839235,1344.3354682241395
3606.172631915057,815.32371161613,545.3813609102419,8078.705038581618,1969.6136895440754,7900.244146032994,1006.9954358390385
3402.4046745484134,549.1788471174093,736.3371137690484,6949.600738802477,1284.9191667876305,7715.08580496764,1642.1829418337886
2443.123690391131,585.2614815213227,1677.1079032079206,7013.392043396657,725.7769015805626,8009.094717927812,1471.4069273793066
3843.874875694296,365.50756746153706,908.2654683954379,6056.632159084516,0.0,7094.621105914352,1127.9996143697804
3946.208990515904,802.4328730676808,1149.1994537140545,6364.012549771742,632.7717212216523,7402.705257521484,982.9306786950942
4679.886699470822,773.6052273427583,1085.3904819343406,4910.400934399522,526.8354765884027,5587.109607564412,1604.3499715422597
4857.671056469155,1811.9125750605644,2096.1583746103347,4784.678877099889,2679.810795361493,6339.718861840727,1307.6348895733333
3080.5889795422418,2236.16812956077,2417.3665225873665,4772.697985486213,2183.8634410939785,6137.903240015159,1979.2806910892216
2926.830614143018,2659.050156703536,3338.4559795684527,4936.145578434554,2656.6145892731743,5575.99772097488,2852.998679058369
3153.1760783711206,3062.6116325728876,4038.239110131739,4771.904984251194,3583.9989165426045,5080.991322714644,3672.933733312534
2539.3192544896397,4385.786510795155,3971.8292684893477,3492.913754788816,3626.945959445855,5099.021461822935,4718.3098028420045
2845.9983531340267,5743.3953684457665,5055.514605954678,3895.5690876706485,3847.9917964407878,5609.201169460055,5854.291724625923
