Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation
Mental Health,Elective Procedures,Preventive Care,Emergency Services
393.67586118454244,1027.286492844922,3562.683397461433,5395.1633121539635
914.448451074195,137.16284322448396,4092.628877743313,7594.297703533794
160.82473622248364,240.44001359674996,4026.9784326128215,9244.344423622562
879.8356486650184,239.84316797520887,4075.4943227771873,9381.932488894143
1498.884359281562,115.85637118922826,3123.49988475371,9962.2059589193
90.40908644076166,911.9049993033996,1820.5116225911245,9344.058819035112
370.4716520086598,686.0294355864943,1937.052716982243,8469.128188168725
641.0662566636747,1407.848856271608,2155.998696403451,6055.1149808587425
1607.5882924536158,174.51542952596947,782.5928660897142,3990.0868762811538
687.0646719115646,189.03844739694634,856.4824118915758,2521.964412176897
621.7770846455962,1433.7211506939598,0.0,1614.614265028152
0.0,1235.1958191431984,1087.2491092661498,0.0
1057.0823724171407,1082.0640255878357,2232.77803805732,1417.6880505031909
498.67031019042713,352.39228982456086,3735.8043992877915,1923.9307347214415
1435.6085390138726,1186.8687643731878,3070.5308112617013,3542.82538029926
1490.3831209561627,1632.2443437855875,3174.8239190382214,5588.225505936426
2016.884939348025,2044.6510294681184,1551.616133322864,7290.776662687947
3072.7197550910296,2371.2740954280366,2603.262799891034,9042.730074235167
2908.4211318541074,2703.1890428246634,3688.273471051827,10000.0
4430.809647846641,4318.764418113617,4899.570421924782,9882.687079168092
5450.8493931058365,5710.123469321701,5678.426451386046,8208.578707583958
6982.001299916168,6758.696796579994,4634.990618460538,6864.15599693712
7676.406129886843,8470.58608854763,4673.773473072932,4854.86210932714
9225.800057117372,9480.515010383102,3374.5544125641077,3531.2242962691257
10000.0,10000.0,3320.3156147812624,1499.1618191843825
9478.853170673669,9467.024070369554,2255.401622557381,886.5315180585238
8505.763978436691,9472.971485634773,2359.166784225897,1348.35493371885
8473.577529641516,8208.650355319822,3035.8856405670826,1350.1348136781528
6421.132766176854,6405.23911730111,2928.3338406225544,2022.6618591787962
6200.811293335122,6301.411361044688,4444.631542745016,5131.709777418088
4290.129798355974,4203.003699003048,4884.467724984412,6205.208606954216
3371.096743898815,3026.1287466725994,6210.153112699155,8417.437972390753
2427.574995821609,2903.755801740386,6775.444861476819,8412.543958038439
1761.3387446645945,1610.296876942623,5885.945488647809,9922.441230456467
1665.206243033007,497.72357800164923,6479.405357039779,9192.068310941993
1261.9700063120997,0.0,6797.760696790824,7672.525048951726
402.61561701862075,794.1139628962623,8951.535351201692,6590.258535972701
1256.7044306153898,0.372283378567997,8955.143251230029,4771.989942243798
654.860836750272,1125.878331346121,8318.666499160727,3530.981142403803
1318.4166785806312,216.20650607831502,10000.0,1882.6518642263277
501.1934980346534,892.4846401359104,9886.565440297072,1032.7427668041894
909.2845565079965,807.6832552199248,9604.056638780175,1098.4616014998346
681.8270579728355,1075.061297470262,8036.37387807782,1240.434125721372
1242.8041025324312,1200.142181174287,7039.687455131794,2766.423252603364
599.1349350367914,378.84390171855085,7744.782332252851,4346.201845511469
1357.5505512287932,874.6478704002227,7916.755316698361,7063.776288199022
2271.0053986099997,381.6207256245005,6498.706749613373,7735.754506631543
1229.9390134291564,625.4165326586123,7394.676866868567,9966.043249333034
1240.2125622005415,704.696373411441,7453.348191530569,9851.294485223836
28.981307696328106,717.1333666879998,7246.501542875098,9271.922663560426
