Science and Engineering,Research Funding,USD
Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation
Medical Research,Space Exploration,Nanotechnology,Quantum Computing
2535551.050411784,12335580.365306009,4357430.870817347,42688217.41559104
7707716.953604698,11908280.19700665,16110112.279149564,54256293.65413137
13724776.757736612,12444948.088101499,9321909.99475351,47271940.136427216
28139682.07596949,0.0,11108206.229663985,41032539.674172245
46239375.22842135,6460437.113302274,17588636.60441982,44974543.42113523
36448780.67985584,11805608.33418166,15000047.916820211,50031159.21145038
20380621.414045114,5864006.908762281,11330088.444596324,54145380.30207813
9909580.837933036,12014256.982337443,8352696.713522659,80655585.68828002
4955442.936963912,5522754.18702377,18057031.49644356,83193194.18871637
4018935.9099832214,1336157.8092531217,15188578.638998711,100000000.0
17648696.576394178,6311301.172690305,18239132.365067113,75859840.79780719
8979871.760568677,15224740.866192121,2787459.44556039,60368333.51092863
9121014.172169026,12057080.3791968,10956842.963033393,48952168.216493495
16425867.05313344,8469113.342143213,15732955.339802504,58010563.091223046
20449217.078599878,21369625.50046683,14369236.226221887,59825689.92356854
22493117.502960864,22361468.443699744,19935131.455013078,48260349.93386652
15526395.775047813,19747997.15807024,21096750.75524998,66136635.94539159
36477910.69030822,27881953.77257874,27966304.16874704,80865243.39247017
40886758.88575073,35398032.53839906,33670082.266841196,77240353.27614383
42554079.15987817,46485259.79906769,50354758.01732219,93444514.84591575
61129569.83777081,56310773.194511235,60621848.47141341,86456755.21387714
80677765.66998991,71288208.16914208,77333650.14746836,96390357.25233778
65154207.47027698,82862034.5221408,83506771.31128949,78254813.1985912
62227456.54369219,90036129.98503962,89999391.79899433,89987807.43927115
62328478.70418786,100000000.0,90967946.83400868,73269399.64428607
59987888.32817964,90137663.65044641,100000000.0,62253652.530869864
49372411.11172827,89128567.2321362,91867864.8483042,48325585.75868156
44404389.206880726,89857073.09032783,83818130.95358747,69684453.096326
55800775.91087941,68955025.20626353,68263960.74338458,62892407.499557026
49156166.11749838,51175055.22974304,62646113.64687086,53906813.70557431
38337769.59822625,44840350.42211863,45567609.59864137,52488237.327101305
19016791.967276484,35134134.861734696,33359195.30847287,59528925.05119889
2368613.5843061716,28868267.43786497,29931414.33381381,60572604.005155064
0.0,11495243.918409757,19711343.153442662,45129516.998523176
15650022.918481184,13384539.457888708,28275080.813738506,57491119.94963373
32620308.392105877,16455111.955814395,21032684.459945176,59058684.18071405
33252921.21917871,11159564.550879875,7663858.42551147,53266246.267044984
43296753.83324763,17789681.041885667,12988965.894401586,47207769.14813963
35854505.421188205,7344260.104763036,10083599.626604585,39716561.45335749
26034406.493261337,11228059.50848703,15458364.50883756,35622314.997057565
28560285.35575007,14733069.387938071,7564420.283683329,24934301.08087292
45729758.082625285,17372562.528549846,8240571.410003773,9692923.13815107
54701846.909983635,10442404.427134737,13158998.45962062,0.0
40699588.7619306,10320234.559139503,14393940.524186404,8834594.37978455
53173042.22657141,4981077.167523651,12998928.940522755,18091616.973466348
46022766.31355205,13565366.501969231,9759598.485380393,24531006.55525031
55235620.41734444,11112411.73685366,4868891.113787969,26196775.3603326
62953740.88849983,18946252.967268743,4450224.639852144,29433817.54809005
86503182.15458634,12732923.087206488,6555586.019161638,19958616.78978464
100000000.0,8662873.148609556,0.0,12263990.879038787
