Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Random fluctuation,Random fluctuation
Dining,Sightseeing,Cultural Experiences,Nightlife,Transportation,Shopping
4808.621973428771,0.0,5669.659291357666,5608.526517051616,4193.420810091564,7638.982396726235
7448.290073933042,1841.259596861105,7607.668043588499,8395.824133040245,3111.7437793214513,7703.36450870658
9567.687926065646,1822.3943163136266,8075.265849407145,9495.089270009574,2705.1163164644404,6605.732630151015
9174.124069371257,866.6268874585191,7949.410992083285,8851.703112147337,1440.3513584789957,7877.792113106009
6048.592253592914,1838.8283712647974,5136.121183485101,6473.260666250467,836.7605467149796,8215.54310630325
3692.270466942467,415.15017732687573,2716.5561984363994,2548.500366793618,389.079943039565,9161.254926010948
1518.0755373654372,1092.7723165425678,169.90847523854,0.0,1807.9061885135452,8552.141059737898
342.70508538714535,1320.6836130532806,246.3522204902329,459.84964840548986,5446.365353162037,8691.06335523583
1146.5739788927315,833.5748448701505,3315.0341581875264,2123.952856182107,5859.51477257642,8468.281708977487
4830.741947604333,707.3213954335548,6932.335139590185,4871.273234458598,4104.722309094038,8712.300968783606
7200.370363690379,1598.979299765151,8658.61378817933,8020.228241400036,3980.2142632809578,8932.770078618943
9074.193554620111,377.8657002897261,9830.60217615258,9732.945384561397,4078.3072070094654,9046.085505398982
9459.319914308515,1281.7708745424502,6906.9830882904425,8052.040637864684,5349.841061874458,7869.1225248960845
6922.294002373299,1407.8596840827804,3298.118515403364,5954.066047219187,5164.878625041064,8417.288967298764
3887.342640763265,1311.273203239376,484.6501384794582,2746.545012943551,3472.718037464197,7775.838735324866
1001.6550048899329,1547.2259151217095,630.7826316855316,688.4077464070033,3922.47177413879,7858.778273745383
265.7660950589964,1645.3436376244242,977.4916697897801,300.0310876017728,2931.4447764285883,7755.882641120135
1467.2048538297336,2121.664888154547,5873.770542577463,2072.399170287925,5117.012169732421,8283.542998460198
4033.3599906809973,2821.5471122672448,7967.231520025562,6431.987850633186,4321.806314127928,9286.035236650756
7183.140283241684,4344.994604049612,8506.74626499251,9125.468085466053,4052.70497856608,8722.545920064784
9855.032286470858,5088.608345781523,8077.058157311425,9869.784299644432,4877.771818529649,9306.946820379582
9322.984232496658,6853.041128980691,5590.509474631708,8860.298355731968,4117.640914167839,9095.902759161661
6960.074187716206,8026.997575460257,2127.9756907966453,4705.880324428905,5090.848525871176,9329.870424364395
3974.515215831923,8124.955751418199,0.0,1663.7012083661848,6122.562076179261,10000.0
1600.1480535996243,10000.0,1004.7693328479163,690.7870626371565,5200.935161523027,9657.94677335888
0.0,8945.819483211755,3545.0428957554354,108.03658706788362,4719.131400894617,9557.30124762081
987.4838778865776,8326.5332443677,7482.592593644396,2937.0107040811727,3787.344176193492,9372.978422884838
4231.0831426809345,8038.300214962072,8791.025004607234,6428.880226722936,4323.174263442317,8080.177726774354
7072.527616197763,6713.189508361119,8066.85941838704,9073.932320397826,3974.9222325612614,7288.881135314605
9628.251812583772,5952.052667747834,6195.926816157263,9914.44246259424,3913.402980161928,6805.039573528522
9785.452813396185,4561.564923077366,2251.1621854323407,7858.466056423048,7450.716934133131,7398.211831938157
7611.574219172574,3920.437139870971,446.6879096437798,5461.159609336196,6861.244275583526,6406.919843487164
4541.236745118171,2639.1359360343304,662.8546554048959,1985.4494349752274,8532.75991613061,5571.25011234079
702.873157016495,1900.4102212177022,3878.7305351502573,735.0565243392589,8414.717557954018,4198.748842750003
313.14354299409234,1710.7253625332098,6191.430308156572,1146.151462799026,5809.74320074886,3947.2041125194387
1230.9580938205036,1667.2650388207358,8768.448342672362,4152.7978927526,5567.385263370499,4221.358898649508
3786.5016840743265,1351.436536144231,9115.238985925302,7083.371663269567,6794.703135124316,4782.687811424497
7155.684586042758,498.78527695851903,7521.305278147067,8938.030467979672,7023.490905358619,4805.5617488037005
8536.548691968752,1153.107743377596,4505.681431695228,9985.137347810009,6974.34168032344,4545.294848239314
10000.0,1152.124654303857,1859.5528261978623,7090.826030994864,7398.76318128259,5314.065240327114
8194.714625782648,1384.536197338308,706.7463226757578,3953.5534102878637,8393.856876584114,4742.832161705139
4535.191052800538,631.8852812420014,935.6017644427658,1695.8507299408143,10000.0,4688.860082538477
2153.447134078334,1724.127773474023,3842.39823635,97.52023818664954,7781.191907010557,4384.19108358543
682.9573608383542,993.0779575155592,8039.42999116788,135.15849128662973,6442.656840740727,3739.5231496050064
804.8178408992907,1958.4890062732607,10000.0,3900.483373209537,5862.952821937402,2744.7864727944116
3517.881565773639,1129.1888818140221,9281.16032129289,7944.936519348625,4737.084281887921,2703.091091058879
6521.289563948657,1261.0727385712867,5297.241858045828,10000.0,3868.771710929958,2155.01830457528
8829.106366922837,1066.0735987593105,3043.908441841308,9224.06946053132,4370.447877503863,1359.2934869849485
9359.065138678747,447.8650514629061,299.17668513795684,6910.929776651865,2397.006175386739,395.4241151251268
8591.143154326635,1894.5372300779022,355.45100358708817,4284.456243886188,0.0,0.0
