Business and Finance,Return on Investment (ROI),%
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Venture Capital,Commodities,Angel Investments,Peer-to-Peer Lending
8.484638838445761,-6.017488437215616,-5.732391102778883,7.233676964829165
19.93746521515281,-5.17711616445112,-5.7741795477166065,15.222570482141897
26.724263671222197,-9.092233981006833,-7.790827908906088,22.229013375114846
29.951442345140514,-8.099267232399649,-6.110785854107264,24.605379537158505
24.94955645304873,-10.0,-7.3111047400790445,29.886110282437237
14.988749465730777,-8.52224348856885,-6.144469508197075,27.71827882600725
7.500639891800006,-7.9129704825273475,-6.734295996791767,25.457416748738005
-3.1140032344043442,-8.71111627481493,-6.272849879835345,19.134619954977858
-9.82917190480654,-5.800556620210378,-4.698395256494812,12.913483682160791
-7.941911035655163,-3.8153414165051185,-3.707884698862559,7.750268322243418
0.6432637926786136,-7.456371302290743,-9.249035164887417,-0.7274262826736102
11.521367601600154,-3.9484591019574005,-4.997807014530208,-3.3935888893114967
18.635091103577686,-4.1028331099459905,-6.814745612436627,-8.736269224478207
24.312460066325002,-6.702118270500457,-10.0,-10.0
30.0,-5.7273193497751524,-9.052580631313425,-9.337199778378318
26.08860172613442,-6.6578296139092625,-5.917742216685181,-4.261045877025579
15.158724772081236,-0.9115609561493603,-6.419797017943096,-0.6146005221485957
6.258862236918251,-0.44323020081913356,-0.8181805540465596,8.468022646629311
-3.546222242610747,5.5125898985841495,-0.09206606854694854,16.814039236236646
-6.6642136672123655,6.4300601129816854,7.3241961061425584,22.52345489872239
-6.660224132114298,16.44241582424668,12.46157267571947,25.693962447236032
0.6590826139602832,13.630330586771464,17.18967167139953,28.081672317465376
11.074720199190978,24.61269655881,21.937687812680814,29.292388306606227
19.85672480276734,25.243386039882807,26.75727784489758,24.298509417589152
24.730408912334937,26.10144134798076,30.0,18.558019229398838
28.67550907657052,30.0,27.08164453873316,12.197309589205425
20.755762657131406,26.3243705888867,24.900020494981817,5.690499925183342
22.25834438540238,23.171468647300593,18.523689554460148,2.0337941657899066
9.024825292703287,17.04767106119727,18.538894545170045,-3.673968404223685
-1.7008181613973132,10.786506699857497,10.653381854943056,-7.714056960697655
-5.935383066450289,10.482676826799747,7.609156798156793,-8.070168925577374
-6.553895717807956,2.7316352757304507,2.3532380768427767,-7.793265520820286
1.2178268538943566,2.2026962634939515,0.8509103216231306,-2.37186326748816
7.007308981399689,-3.815049769773583,-3.0189482962210423,3.908292945123975
19.33221804534957,-9.183994916022657,-6.142274269645423,7.920571003676798
26.64516085228447,-3.4017648353112815,-7.52927793707266,14.914956288050224
27.709529597645897,-6.821608222048411,-4.802976140189878,23.088793720787976
27.068647997791743,-5.003301593676249,-5.8628952932765985,30.0
16.782315107139105,-4.365587546207459,-8.86402950157147,29.658021912793323
6.915138574140165,-5.4941436851202905,-6.712473880733413,29.52763715343987
-3.1469488886826147,-5.315302596679138,-6.573945178262411,26.96031882430377
-5.315951567215017,-9.741087347315245,-6.012736935942801,22.034546434461816
-10.0,-8.157814385155605,-7.260750432746016,15.488562553816067
-0.4549205574447708,-8.017515980982596,-9.0959678634776,7.52655493825193
4.724090141655088,-6.232552818142726,-8.013836151693985,-2.127384084061463
17.973318402804274,-3.393438486878571,-7.824878002448148,-3.1627859343174602
22.174758701475234,-8.866573309362849,-7.727992859929183,-7.5130698011726125
26.39667152859454,-3.921363072088889,-5.257967447079538,-9.451209207676442
25.915998636289743,-7.030211763669934,-7.204195468721585,-7.069964503342128
19.864392191370964,-7.5402397829486425,-8.088574874771194,-2.8446533690105325
