Food and Beverage Industry,Beverage Sales,bottles
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Bottled Water,Alcoholic Beverages,Coffee
49709.356412958055,11113.212524210923,10477.59537701695
65628.04296583093,5918.645413970553,10108.845387815038
76389.01143215546,6067.803347170921,2826.972397678222
91656.98233501698,12837.9273839078,12950.093607650078
94392.34609821143,13893.577567058235,10342.581414423577
84882.02685532303,17712.887162842664,5912.853972266337
65636.78160741115,4142.407623788095,0.0
44534.00143532105,12653.732049231583,10012.314605762947
27091.09179496203,18597.205477534542,8192.613408981648
18463.805046881604,6286.1108483752305,12390.888763199207
8327.26154736104,4795.932387941128,18592.632150244444
15959.36930641292,10727.30429480976,8665.08319664196
26933.012168347454,8463.215708520824,11551.826830032729
43481.63802320724,14734.991455581114,7077.236217375543
67674.89525899821,15711.7528964103,18906.1120968093
89212.93156616967,13072.091763470393,14326.86669267045
89756.39021996291,19517.977980626838,13504.589732981587
98671.58625745584,23177.47596994782,11114.744984042276
86256.9808376808,29623.26404640739,42212.27219894078
77260.27358444044,42935.298428704424,49108.25875519205
56198.64522656964,57490.916117734916,59396.69473533331
41666.36838354696,70462.58320691016,65662.572204737
11952.213613809163,75980.31096748737,83478.02894339607
3062.9651938845036,92672.82661933536,90948.05241626568
21652.075586940486,97473.43122030947,94831.62872966602
21777.995973532303,100000.0,100000.0
38912.3700172425,91627.00839223771,96198.9417414644
58963.81087134565,83942.46675706244,92533.749811901
78466.7859127988,70147.08403038896,68154.68449230296
97173.55562832924,55893.61027222719,62401.02446985715
99923.77986721664,49048.656155740464,47043.32854317371
92785.2818717328,31848.889057674827,25414.602818900934
87077.62418940099,24624.084733708067,21782.26992637359
62512.93949886662,26428.806543143906,10739.452297675394
40085.511918669916,13339.269817251783,12439.226197188227
22204.549263680557,8754.990116051884,21752.182776290236
3766.447438040526,10504.727131505184,4376.94073520336
0.0,12484.842142734957,4825.8438575456985
13749.756232267584,9500.719927131588,5079.4397209332365
25446.27718062539,15621.795073929601,4062.2616505580586
47503.95665283992,16671.725898075816,17163.407334937183
66136.09835322709,12904.57168024487,9289.139705516392
83613.54391290185,2988.9327265064835,8686.908682265344
93354.06024802309,6736.984925300685,8021.53115679884
94292.38792435577,12251.529645378207,3860.614695161004
100000.0,15226.831560536339,11214.68741219348
63643.64854086926,6591.521292431961,9730.957930944756
45355.34896349313,6298.784162694968,12412.876843851504
24498.710460890914,0.0,4794.34772629071
14746.144762197353,13444.812616149415,3382.5503079395794
