Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Bottled Water,Energy Drinks,Kombucha,Coffee,Juices
18320.685547227313,44606.63574244679,53210.87889006289,49611.51455999835,7946.971898992201
9101.582687687633,74949.9229047745,68709.31881991228,64561.15497915388,9040.254197044605
14804.917190173686,93594.34537239296,86365.76361666026,79517.5451932641,11742.926897039426
10131.75471590614,93227.25692864288,87549.2107135067,100000.0,6310.444607946161
10995.285969736395,100000.0,88054.69300425843,93981.77957708688,9388.759192513284
15694.212795421889,83752.21542223523,73928.708194257,80654.65363739354,6790.852120786557
13348.295681931666,47007.95291530001,38867.787056583154,81490.00753374111,0.0
9118.753225777906,37301.93198572535,19536.797085258237,55736.680766380196,9615.363788655271
7665.782780597489,7215.353090075931,3570.4296550587983,36192.45173813205,15490.800005552608
8502.363918315432,0.0,5346.421974127798,15550.33092564553,2052.579753849881
11055.279508734855,7414.1366967895865,22186.0400628387,5564.22243892963,7340.461290295408
16935.679486841396,20517.120550412244,39002.436339932596,5914.031109416345,13618.524042835095
0.0,47151.21973413047,57553.653590440656,13944.631142655157,10946.394370799444
11314.122401040213,66385.51516513327,85357.98955791224,16197.516199506592,4838.249059225163
18814.73742120734,89321.20066064772,91093.69736185718,36530.76812413371,13805.771765815167
16999.40253599747,96808.46620256551,90553.02375849098,54884.0522568044,20853.178317003836
11453.912934152142,91722.70242858438,84495.93486246504,84760.0970568574,24159.147800878443
28298.620926728287,81083.94470207773,61836.510946357404,98217.22427962815,21622.533147618677
39422.38794386891,58225.20432318812,30554.490344438007,94175.03692837046,31104.171917156615
48622.71750716495,25864.967863637743,16959.509537571885,91282.96971477858,47836.549661917416
68662.06800564814,19046.61664006682,37.4479735066528,82627.73162678188,59067.90972946311
76274.10256910697,4878.84617615123,9374.388135410121,59686.38587926375,74232.51831294804
84917.2975575129,13229.727042130382,17859.87923610217,46498.62870902284,82877.19471022568
100000.0,18388.759416980894,45288.52565038693,32653.09862693737,88390.85916228281
98653.12347391895,45178.972162605554,61652.31387013374,16935.75008935754,100000.0
96788.78666167572,68309.24903262599,82209.71379781922,7393.224009511837,94343.8387167831
92014.61596355149,86872.05844238994,91355.15692981637,6417.602399365362,92305.60341727313
87385.33795443525,99137.43887843215,89142.58486007158,10227.309719779669,88028.20103349634
75441.84145061672,91979.29585860338,75622.92967097642,23539.690022532995,69361.1337851548
54177.661695352894,75157.13082788774,47059.98698248319,45796.96350521392,58465.04471516919
51066.78248572076,65643.31268533967,22464.01125278158,68226.63465349031,55377.465198834885
34521.3424345882,38285.30062555237,14986.26323248049,87895.54738707261,22580.444373763843
29556.575514644916,18937.65317731961,2594.7609962197894,92557.32134616486,32423.698661472685
22511.442910698173,5651.32925808306,16485.659958000197,95294.78040365236,19821.845736936782
13116.580826385629,6392.428017935383,30811.520868851312,82172.09482078573,17698.514491342434
12177.676122861798,26764.88500458381,48022.80546627619,75403.21027958883,13180.86150242404
3561.639221704197,37439.933790937,84392.3418084515,54061.46292985192,3851.632485490621
3768.923789123905,61938.51349222967,97102.1306042484,34190.88906946421,18997.47941024381
9741.160623899299,84448.48865114615,87900.97832213633,23458.051388522206,9596.180345977704
11567.82561016152,93268.70237710472,88285.24683619512,5061.603188045008,377.492596076136
18585.301712798246,85950.19557056925,62841.67998817796,0.0,8773.285133991332
12205.522505886118,82953.9228475042,35237.261822795124,8898.620953371194,7424.438606153484
11587.84841305755,55194.214277098145,14093.20885066534,14650.42190101127,7020.29585936482
8787.48575619899,35535.18046913044,0.0,41586.102030440896,3144.9587004291757
3825.273404327466,19052.51174229946,7897.31317937943,53690.99432963379,10460.298877272746
12917.650382460635,2499.419768675396,12034.125104433775,71996.21207607759,6632.964863491525
14816.7796693396,7287.476671661494,50651.17289813621,83903.76182085164,7552.208420684841
9592.62360980525,15384.870827723438,57260.08546370044,91648.86423310424,15740.265296085021
8039.041424666392,34192.00616153897,91017.51288748425,92090.43376784748,3872.150907945905
12714.175351881333,53962.77349807,100000.0,86037.51722030096,12624.795441170241
