Food and Beverage Industry,Beverage Sales,bottles
Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution
Soft Drinks,Kombucha,Juices,Coffee,Alcoholic Beverages,Energy Drinks
11619.560174448841,58524.16710411301,19204.93056169914,67421.31544521854,39831.32590874594,14579.596471084347
0.0,78772.6761148826,15498.287210762543,57829.9412828009,20275.083874458986,20201.064227953735
12888.47089417026,96770.75461027422,12047.02251877808,54171.93590502427,16715.499216106567,12146.099122953367
3640.690197159032,94171.95851042724,0.0,50384.15018991554,24074.03603302249,12938.195941584643
7843.381978286977,100000.0,3266.941414325368,49704.7466388486,24150.151089029125,7708.044380340403
7406.7379327778835,85458.2790863763,22300.287226836386,58460.25465888867,19545.521324223,15236.849642442301
4370.624616994929,73416.8487254558,24941.38250008737,51389.91643529885,12109.839625232604,9259.545425456728
3863.5717147542,36416.99270175925,26249.913931454834,63252.871759868125,3908.572511418557,8363.035620739662
7691.879370570375,24577.01406344761,41069.378298233445,53896.36943102809,5915.440090490845,0.0
6530.803444951483,3496.0806413587447,33264.29441523745,53848.055168984974,0.0,8574.894275952227
9123.570941270666,0.0,31325.030582956344,45863.71201804934,4483.748626547438,14822.044630871598
2781.6500478697653,14000.37143723474,35446.62457913451,37432.863758429994,5970.180000194345,16078.54488955715
5147.579315714922,29404.05118381357,39676.858304409165,26707.668757279167,8457.833126325038,6433.266433392333
6053.021020635279,49359.91286959907,32753.471823737294,44093.6924017401,747.6030558250892,15939.653158687575
6445.887473710069,59199.18556807625,40318.98767516185,41672.74510175404,11579.953793914769,14806.85321453816
8610.672639013601,83571.14552486023,45772.13842675643,42065.508662244145,24071.70193087349,22631.626461653224
17355.807217050777,97456.00355187927,52232.796810588225,36102.62479203261,25887.094596884086,17667.69758520312
25093.06881294153,93277.45797019817,56370.88968150398,30590.66087372466,38758.167074343524,29050.830001490107
32314.790750709173,87503.72027706634,48340.29210778157,35308.757690368555,45367.58717151896,43071.834153523785
43135.47935437203,62572.887715805235,36071.58567945133,21141.364192503683,39883.39214254974,45148.037947593104
49370.58436972464,39661.88989622352,36324.724544206685,28141.792241980074,41845.290235499066,57711.77596022631
66459.84447829727,27150.452606577906,28523.374387204487,22866.644615024194,39691.54090254922,66340.13865784818
74857.82716775137,14703.643289301155,32608.820996987037,26409.27264318369,36716.46637466662,84111.21142163177
93236.44161937537,12549.985668268499,28266.551078936864,30326.356354001484,33555.25164704414,94123.83986850866
100000.0,14606.861711924352,45639.870440767874,16511.124949888475,38875.28714542065,94311.34538303713
88058.59436956354,24672.75395599583,62303.463622044175,13622.288186079733,51923.7690590697,93398.83825343855
86147.85872198705,35079.00206487082,64224.60714028805,16753.422493577793,53943.54039445335,100000.0
72027.2242803992,68593.50596634629,73654.73568240344,0.0,62858.307626826936,81003.05510499523
69221.74875641726,82058.15584793297,74790.14324348884,11345.520293456584,51664.935132617364,66248.77893324874
51719.17357654929,88325.20329969881,59973.55572110607,1618.5639409720325,54497.56412763833,62625.38918057919
41435.34890436727,96165.1226652675,62895.43434011955,9020.531162088126,60455.8140468734,44342.567753776755
35114.28964952667,83320.65525903467,65071.18822092254,4916.279247427383,65042.97432651625,27665.69263656858
27466.835403601082,65847.22583996913,54881.38179234816,5189.407678891821,72761.21695630856,25367.302235004576
15941.383032044074,50716.956520435066,51245.898384118795,7513.775120038576,79966.07411716209,23375.142686971034
16610.808212648182,21824.831304277217,66471.82554760457,26370.921870920716,78023.25928110674,24334.441939075692
11392.755608801446,8901.285772906565,70120.61567762267,28053.554387261254,83436.54378817895,16813.8255064406
17931.561195208,1947.2168918286175,81630.78965128165,25054.7494670248,100000.0,16641.991081369866
15835.94779996627,14469.49109200369,93235.54658080685,32424.397385655473,96081.82479542539,8311.208942441099
5947.9492905454845,15436.102701715006,100000.0,22341.774387723162,92601.25510893905,16365.448151670204
9136.438654311942,45510.61573277254,95655.50371279864,31295.591883831014,88803.00218759938,17901.253799974133
4526.304515324631,54606.79105472209,85390.82922389136,35016.36624339304,87333.90883004521,10526.689632489111
4446.0349672655675,74686.07023378319,90196.80536661559,38400.57739189712,74772.76224374544,11892.93118194845
207.54633897262713,91602.62183211162,87405.42313028283,49362.531010012695,79964.94917535988,19306.738922057222
4836.322528574285,90747.506269718,94385.7489643538,51277.05723268411,76486.9727459287,8625.307450539347
13097.097805215904,89165.39527938867,94377.39690495927,51535.019192796695,72089.58385973792,21181.160126080795
5311.910025566365,75767.40471582522,98335.06288779169,66383.0494710991,71600.08323952329,9644.980038241501
532.1201400546398,49841.014748187976,93421.45921780476,80480.57710586194,60816.60735584376,16936.566160441944
10330.803930030055,32536.827972983927,98628.02881691948,98730.13716308103,65254.88723265368,18760.28532707199
9492.270982217096,10277.08992420682,84318.3519370527,100000.0,65213.07500790039,13995.766095191453
6362.948909730401,14115.434453904627,95233.17734625508,93910.16201602307,64910.77804831362,13024.567557377151
