Energy and Utilities,Renewable Energy Share,%
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Periodic fluctuation
Wind,Hydroelectric,Solar,Tidal,Biomass,Hybrid Systems
48.522557913822624,17.748302549141936,0.13170022463062486,1.450261108024024,2.8922357020881377,46.28931155831157
68.96669400842123,3.9891718641462433,10.307014097883133,9.876022544463234,11.044815603641794,78.69662290107631
81.51087073136112,7.88114035586876,4.52031995213245,9.192325169046706,7.875412118872875,92.30455705108518
83.96297609025949,8.564782681980104,11.920691586366875,10.798923046255101,7.986188133378251,85.82858341020639
93.7068092163529,12.70022685203723,0.7047648313832512,7.322440275150158,1.1009924107325524,66.02208105133346
93.92233562076417,8.51465336824004,10.662491481430331,2.865266102150191,6.051366932570066,35.413789071371504
84.69814972599086,3.796106965526603,3.37210005871537,14.575070832107095,5.639922363292532,4.9325939530551475
86.44106136830484,9.569418768874673,12.398881759725299,27.350146241135214,8.889205289088546,3.06375212147598
69.52287178230033,7.222986449606602,3.5631824318851493,38.36466590530762,1.2368111330040847,21.815304151643485
47.89417476393651,13.496265813511835,5.051039076604549,53.43652217557799,5.494573186425992,48.9247896766664
34.01268751862892,21.115478509598873,7.638963146275287,56.12522659304613,2.986943137246744,85.72180712618672
13.984455494485074,15.134222830738834,2.6964950509646606,58.194367030530415,15.463445607489662,93.76288136028418
7.356867204368466,11.062986767787008,4.087305561443675,76.50826777950246,8.143286881647645,86.3106502453604
3.2662237739631137,8.9069780114559,8.686664925231605,69.69968207832676,14.642466822030523,61.29996957793272
9.451226243806902,14.488396792082225,10.104993771491735,44.69338941819591,15.320444869247893,20.708734580860412
4.801864469438561,14.836522625435395,15.589239247964407,55.34159368801619,12.731331037829682,4.960732424735281
19.72974892864809,16.849320285477813,18.134487963187254,58.35349266323201,16.04139966136202,5.658941843392091
30.768836044057142,19.989872614047037,23.370141785499023,39.16954703533058,20.914713212758677,15.060456382641837
52.0658224094374,33.29629507172028,26.375556680011965,34.37324613761306,29.59171586664273,48.784261019354915
58.46758609767346,35.43218699693994,38.679236676970255,49.0148809912474,45.423506888732,78.72158840312844
80.73421159755513,62.89158736382582,45.59480062332978,35.16909807931,63.32143224657233,100.0
88.4266340406704,65.57230417674029,61.348787480130994,20.695219312643538,62.3572460506006,80.33417746759972
93.6331351424832,76.32233542813768,74.99711158591741,9.93119992491655,92.0309180527076,66.32958298279486
95.5540761142605,87.55253784805642,86.08041766466287,37.629259700675036,93.75209065939055,25.49930386766515
89.38475009965376,100.0,100.0,36.11308777940275,94.37739607568926,6.4317436728916055
77.6888249474029,92.87775236951586,87.64571167753236,22.707100706967083,100.0,6.768037143649399
69.51157109960728,94.71626297534503,82.12825783304115,37.52683058188971,91.22144484293689,26.679850111684107
55.50705118694582,80.42344020298306,72.61651322367534,14.384342586523141,78.90533199194138,54.88292025077448
28.169220569284143,74.26763046859543,70.03127704983834,0.0,74.33543616733492,77.78318976106517
19.480607125201992,55.60447730077364,49.50343290781532,0.16820551077520512,53.97145678934625,89.86544653892761
5.722835656455508,46.885319768720876,40.83325740304161,6.8586402124715065,43.68685618641186,80.29081671426427
4.4700320358362475,31.922177912701134,29.25164543564306,1.3483241486604018,28.238163595909445,57.200823927362585
0.0,32.0520050090596,21.975785376944653,18.48722930777182,27.544722106557828,20.527010433407057
3.092618919328371,22.923224613803672,13.79535870994983,34.75542610197405,14.15913251124402,5.259765777831748
14.693822648272286,22.145055347934846,0.10339788060880137,50.42599742505301,14.017437955417487,8.376580856435217
17.191171824737488,22.673497548784358,14.22173993382954,66.40503423005669,0.6874043463447214,25.779097244581134
50.56919272628587,8.386728891513906,2.14935779685568,68.45787240392043,0.8694615390942406,58.54497910527492
62.75632530221683,14.602777617404783,8.602834993749903,81.75759443477043,5.870002618789131,85.4753597872466
76.81684038925542,8.375848359450464,9.771818550602667,93.9874218152341,6.972491704980073,95.19036021012565
92.33184862771576,8.519145995363761,13.783374714221944,97.28493647590567,3.8741901990366068,82.7667465643115
100.0,0.0,2.6450426685218935,100.0,11.978827909926244,41.86986597633902
95.24038356493541,16.792070074416124,0.980311794853349,84.34493544159793,5.9439434008324685,21.8299658158914
87.89179885732256,6.392474782896035,3.392892829617558,66.81812200131857,0.0,0.0
73.82393190872664,13.906678342341527,7.066228873584269,47.150880753917605,10.906960301004148,6.933104352310945
64.49840829237979,6.318095651078474,12.59814111871834,39.536161808439836,10.39078398512298,26.990631727665694
48.93920640806385,7.95839676390285,3.9872934269762834,53.728297419849966,14.040305106920886,54.97627476198665
34.37857027352557,16.71297675971496,5.12403415788876,37.23124801938471,8.738173667899183,86.51719130822674
20.73283022870785,8.860415513992775,0.0,41.99210162714791,2.1221873156090454,92.28095566175533
7.266939744797687,12.908399765784804,8.714349587024747,56.51607857369344,4.758834073225564,75.46183748114181
1.9309551351878285,15.884378470612456,8.653373858723052,33.67204856860144,3.1109100345455993,48.00103056436208
