Social Media and Digital Media and Streaming,Social Media Usage Time,hours/day
Random fluctuation,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Chirper,ClipVibe,ViewTube,GhostPic
8.968682017542164,5.154857763080697,5.046008476682255,5.778420292583054
9.547225276493226,7.6025464935540485,7.219556918476617,3.895637729216967
10.0,8.972343356221213,9.219724677730149,3.7755536828396945
9.620589030332356,9.991583956682545,9.710779292695639,3.806804648477228
8.28323288464562,8.857365645697806,7.511843963087038,4.22551680022704
7.573706158502086,7.9626506348689405,5.1683477573343195,5.314680338889605
8.449035756280054,6.327604200236355,2.6890226972934044,6.111548463855855
7.2938657097132085,3.908030663970897,0.7181448696046695,6.583399721563742
6.651136271822721,2.360131687819917,0.8195631902151519,5.825643208251938
5.2600034147654675,1.0615182585504734,2.3276376094092206,5.925507947792194
3.7893607283157014,1.1467048370484627,4.7902019246977625,7.276776657878635
4.301815003610751,1.5952680640241774,7.451201507854249,8.139425143368305
4.932710928671902,3.5990087578919834,9.018148771144414,7.46631268619258
4.210721209028305,6.018982109197718,9.053150286489165,7.770500888893947
4.38681775348881,8.261342799482204,8.31053801334489,8.504794881588886
3.3053626756659025,8.82566843548399,5.4039262579119125,8.937260582855828
3.72664560986317,9.821455840227422,2.5699656024140314,8.35702360987197
2.8339253898741372,9.010679668223217,0.0,8.342393584054118
0.30147559771622134,7.285021317575921,0.6086979069649362,8.594428263411153
0.6139207036624901,5.306931018250452,1.7517247114216512,9.468231893748701
0.0,3.2182461298400895,4.130318510952677,9.239320125292167
1.228014013284898,1.8493862258598257,6.721577399821381,7.677199356954059
0.29067230267940325,0.5255843562358162,9.278449455027593,8.215300119823896
1.2538616410648515,0.7377492592825439,8.779652005959306,9.203042991209538
1.2677362806092163,1.8966650565126673,8.57229089230961,9.432333175643205
0.008509808498876335,4.265273652076344,5.680247800781623,10.0
0.36353235669341455,6.676462462044441,2.1813595557169463,9.25699622029686
3.0124591467165613,8.351766692710704,0.9485041353972757,9.068417904271033
4.838815073412969,9.330067994501416,0.4553823062649909,8.383447480645973
4.645131867570713,10.0,1.347286980459672,8.379540070683769
5.195303185640038,8.438089170919982,3.7115422026678373,7.001146362497433
4.8852594743612086,6.873683502658782,6.220905131655208,5.986388616782215
5.674462932505896,4.810517868483491,8.871398853152586,7.39531034953688
6.527322648897281,2.350496714917802,10.0,7.026932198320584
3.9696355680398723,1.1128475171309833,8.61260995266105,6.506168349096843
4.843120080981117,0.3923984392947968,6.405721217978602,5.458664034301821
4.848493839794579,1.2083147233396894,3.0923347969918495,4.900095579459811
5.027638233070501,2.528076845408317,0.8704166905662181,4.39745354397824
5.000967371034609,5.68985400996279,0.42814775019747126,4.6541761225050635
2.915017870183201,7.140488069848905,1.563438254819933,3.812305809543834
4.60395455775988,8.871813191199344,3.4766851579175717,4.503370626398232
5.920786929559398,9.77922473413664,6.419179557805465,3.7425786482808587
6.241005809229263,9.329658655203378,9.44746146889753,3.58576725375388
4.758285392944109,7.832447594323297,9.20926084395424,2.915337207387729
4.524947442936034,6.541149054860372,8.559635779922157,1.458533364041862
4.429540574059639,4.166589130098456,6.807671207571532,0.0
5.680836810945983,1.7676036720213752,3.3824926048185215,0.5303054882040505
6.182441231567493,0.0,0.8670721944449061,1.3131084931438195
7.571223873802431,0.7906206671786565,0.3390888298801623,2.145865065058211
7.047611623511757,1.701620951042224,1.5091992825001905,2.7180510612071656
