Food and Beverage Industry,Consumer Preferences,%
Random fluctuation,Periodic fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
Ethical Consumers,Premium Brands,Convenience-Oriented,Budget Shoppers,Organic Shoppers
60.21452114837512,41.26772900159013,69.72063475897892,45.94174945023124,9.39297965115673
49.588400222653725,67.5657778472574,60.4729235342638,62.15221620439022,11.569169192153314
56.825864671357905,80.4704781777117,74.94901279815382,76.4907696438227,7.226160396160496
70.76545934744486,97.03640056972833,71.03993222271178,82.36808247457508,20.375309443830854
61.52420364019441,100.0,67.75892559472558,95.67874364893231,15.639019009644207
68.41268278932931,91.31550404770671,74.02207686047582,91.61298829568555,22.573045185298657
69.29944522656758,84.93399083052242,88.16383082051993,88.88883787903252,20.851990984580528
67.33557390494357,67.28515373834836,73.79316132964753,86.9844739873606,8.476114746379027
55.01489580960058,53.873135792652384,65.89779026086228,72.88256681762472,12.881326508005941
65.88275991785643,28.014712741026493,75.38443943671153,61.85795462455227,14.787599007781118
85.3555001679591,20.837966996163765,94.35585423760489,42.8673759020209,7.795924252282484
71.90324755959107,7.0498615723277105,100.0,32.89489215201723,0.0
86.49354879385568,0.0,82.47448958313248,21.19938540586488,10.051749869038154
66.68283901647088,5.685968764522185,81.97744329971245,6.938717113194182,8.385607501752295
69.95426242271807,15.296536260111829,78.93136728307138,0.0,12.005617496481477
72.08465980065438,27.48794701209182,92.59400988770788,5.274127877748446,13.76571048981666
55.9158318598281,47.07315149070938,74.47525357395524,14.814506048605372,18.96986597907623
22.901250797073565,63.988837524380784,71.62401903829829,20.850780553190877,19.476712198114633
24.17878137052498,80.97755293312791,73.99749773529456,31.34952113738371,23.20321057522427
11.677825228936186,88.34859450563197,62.065984068421784,41.757956489035166,24.276603138671383
0.0,93.37635499851295,76.51630136209445,56.6005436924762,24.610323838659134
1.9254638684851948,95.52743373515649,73.15944436317757,78.08773813097127,12.201579012002727
4.181232091106074,85.1957010286004,78.18359286717123,81.49865735710398,17.71955348191697
4.700298399840183,77.75142419451083,69.1086519439106,90.60084514431036,26.41683121004385
32.264621652329595,53.781806776282124,58.56955104351048,95.3756794822215,36.70244185466375
20.44174163985924,41.023888803435916,36.81299622863784,100.0,42.28186122754507
40.446105592311035,24.346525654567007,30.813354059494323,88.87675377169528,41.61693786765485
39.99442485774056,12.528544309170957,32.61102488934486,75.70561926824496,48.45082240692627
37.56620423778787,8.79405711220593,29.02338564924297,63.46418061885974,57.21819920890528
45.80649703135311,6.061018067308686,32.532542088209304,45.65257912967723,72.73724336748889
38.52421884205719,9.229556513758299,27.253426825964798,37.186251192316625,83.37500899849178
38.61882210111758,25.471648989755025,20.722195387930473,17.39838106419922,79.7333053229689
56.628971798420736,40.336892143040316,24.404643782092723,9.01426367746032,74.99641573526597
67.80549490318487,58.75793663692161,19.803018497977096,4.32171304801127,92.93341771985138
71.01233742811543,76.5586844302711,11.942839014892467,1.4702307148571823,92.26034275210411
65.8201517278171,84.0609070544531,0.0,2.4265090980339012,96.19486602923789
60.064552867669875,91.6400103542631,8.988858162478198,10.057942291324986,86.58516874484606
59.39846170474512,91.39087113986916,3.037592206575973,28.840974351017028,85.66334893197326
59.923312279402595,90.94394672626403,3.1693057866841947,40.51300230904448,87.63525995187287
67.1303622432776,76.92490255303224,13.70646127855591,59.42022234539731,98.39631625068976
77.28537764461261,63.98238054775134,11.227622607817867,64.70623580308816,98.26721272170813
69.73234678760525,36.242547931785786,13.038050586606738,81.43596995010476,98.03901741307793
63.585239932446456,25.46537980765249,28.68727617052017,93.39264101507038,93.93566053459054
83.67393272245016,12.338317157888847,26.87774514596152,90.9476678061004,99.2005185800582
80.70188772039951,4.288897699142816,21.904887091360276,94.44946801299484,91.26723275418495
100.0,3.0505531677094306,26.565534660550423,93.2216230786193,100.0
88.71729326265003,2.926361841638507,25.937986804396516,85.2817753433134,92.0725795391912
88.56888336973591,19.13372448609766,36.603941865695155,69.31683512139105,91.29744121081545
89.7569414145933,31.603559403635305,45.241336581571886,51.940468003250885,76.68084208080789
84.87630622229365,45.30043589141279,63.20739613383927,37.8927360575085,67.60411607452494
