Healthcare and Health,Healthcare Spending,USD/person
Random fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation
Surgical Treatments,Mental Health,Pediatric Care,Preventive Care,Chronic Disease Management
0.0,4941.519736862436,1253.2276054282277,589.7262453893923,61.6761589694843
1070.6414112845985,7516.731544305423,884.6893280503622,89.27667562245193,641.7977225867106
1785.9190058773017,8687.544946726624,952.3649864965662,0.0,1329.8082295928928
2071.3197710194254,9296.89724379644,1181.9789700116924,809.2010820436881,1516.5104983768701
3306.4120316934727,8173.8334916275535,781.9239542351794,370.7174999391783,2969.386786271365
3743.9495112677664,4214.30780196744,798.2059651553576,556.5099319348682,1881.544334635981
4352.462488419116,2200.6685827098695,1113.7236092838461,671.3371329793878,2377.014541189965
4470.620667800296,1359.6652689091882,414.5360084765022,1007.2607698457996,2095.441563740321
3921.1602036375,1036.6812948663821,362.2933539547867,209.42615530066118,105.51387737160799
4927.28039557722,2669.4099510653864,521.1646887348836,196.20397648553205,590.6838822578823
6029.15380475983,5846.053152985932,1061.945460056573,1022.6944457767916,336.1648854623991
5878.845412764527,8847.892581984785,0.0,721.5590997653895,0.0
5423.600554182125,9748.013407419015,868.5472165787364,927.5708892044078,812.2979867815429
4356.754525062804,9420.274997694587,613.8386342457139,500.85201121696286,737.5730311053884
4392.781787823118,7086.409723599641,776.683027782602,617.8264708027261,988.7597891341127
5072.942395237339,5153.362131222464,1991.450017256576,1527.6287777816706,1192.4034499709473
4023.1366298012144,1892.934933634005,1831.372573763182,1519.052611239022,1305.761955466395
3437.5983772636455,0.0,1758.4880292194891,2711.0648750572714,1985.1166224780648
2541.1545516855745,963.2231081007379,4068.4247116183687,2654.7407420692066,2214.1902289114028
2842.8422423102447,3471.970285481211,4317.13551004105,4681.927352418325,1120.8253781648002
2288.271080089974,6456.996749352699,6249.0477297873385,6061.21353251829,632.9007003378114
2948.639326260406,9080.23958863199,7770.218172756515,7467.314483567928,1031.2783384653749
1861.546554148859,10000.0,8123.5992203279475,7651.789811821797,1969.2063968044627
221.22237083320746,9262.973552419951,8329.312012615792,9962.284813004388,1992.404753836276
555.8520204722928,7221.362567804473,9725.788613509612,10000.0,2338.902966898869
712.3585935443788,3792.583018081024,9957.529342804663,9633.892209985066,2399.7240859182116
927.0263022935984,1798.707087488777,10000.0,9264.02500296304,2770.0631833165517
1884.3655660340319,569.1065615986207,8255.834430479441,8373.366969259505,2761.8562172348347
2147.7571029746045,1321.3152536733119,7692.3190721773935,7758.157976400991,2811.768864356739
1900.1818104845615,3691.7527876156387,5981.918757647575,5623.3151286400225,2386.41651721684
3636.4306963574477,6338.295281558512,4456.077801676772,4657.001045421707,2916.693434643731
4617.836150690549,8115.0015184104,3272.7937295232123,3848.7405473207964,2476.610052432501
4092.42246187792,9982.153444956104,1884.7835775871904,1717.6925352963576,2608.3550362458514
5250.171849221607,8982.123370807176,2140.169569773543,2404.633718410108,3581.5834887524215
6283.049233068277,6070.799908591813,1997.0091991566726,1360.770711624096,3966.0192841304442
6593.212098222864,3967.5480879124375,1570.3482855812945,1025.220698431161,4759.811659349159
7356.200945016555,2449.1397357108604,1753.747039157993,1122.3280792431844,4195.599338464817
8049.526890726926,922.3713889785989,755.7051795802632,417.17161064901273,5612.1265734126155
8148.581800978291,2224.818261959529,965.3414844060588,507.36004646516284,6739.61173004355
10000.0,4047.187559667039,315.5235999460699,480.420839445589,7226.132835690212
9474.999786201715,6426.507693166565,373.90541658240346,493.0099866862587,7355.275296821927
8000.321176828268,8911.24022658205,1858.4479553519066,332.4912724947083,7672.054134190915
7306.626050928354,9828.056851506439,418.776095052962,180.64730506312705,6691.094594454385
7044.799592984276,7567.842528237572,1360.2094426342026,827.7792733811182,7087.67999038516
4656.1490893892,6295.011999902989,768.2613846707286,1154.5270845622867,8094.214510656913
5542.420767464471,1670.466135864442,1403.3160735777785,551.0116117175655,8105.23297304319
5113.546363777327,1615.5051970840816,311.12479786545055,942.26850101222,8591.079973393713
6568.170290584242,458.9792726108447,1142.4064904724842,1005.2348415132615,8668.041749251119
7697.699514873119,2181.3340023239984,914.6911463916204,612.2354393346186,8371.707463939367
6944.624147690402,4211.181618641656,1191.167240473224,450.4646911449895,10000.0
