Food and Beverage Industry,Consumer Preferences,%
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Organic Shoppers,Ethical Consumers,Health-Conscious,Premium Brands,Convenience-Oriented,Budget Shoppers,Tech-savvy Consumers
47.20673661463633,55.635436076950796,4.2783717557640495,5.23609850718422,39.00373245633707,7.332773656179806,13.766346824566526
63.58016912620239,70.08754239355319,0.6282226975961236,8.822405927595515,78.38728701662393,9.872606186538444,12.36565553572931
84.18124072252232,81.8884540458637,10.424036136509764,11.52437534445606,96.83833828508659,16.00554277166421,16.013574242188415
89.7965938393111,92.96915929213233,1.3788481003274797,10.765731897857734,88.45428491127254,6.4149528436996635,13.207551960491756
97.50863493237158,100.0,10.607726871854759,7.363913082443732,53.99539909742671,7.908434576880291,17.233189513825785
91.17503470352959,80.44349288003588,10.33202699008197,17.803695085276868,28.065991569540326,5.16782076731822,11.126492123630799
83.8550509885938,80.56967027310927,6.291563200570708,4.106029101567894,4.980703446329342,10.240492955594352,8.00216389384265
76.12505531357657,63.84448372580691,1.5108133035948208,6.983423375414957,4.338080603347141,9.27675322759232,16.215272096788183
68.82360620883556,46.71944897932197,0.0,5.852738415246798,34.175003782285636,10.582073240891829,14.17853680264841
45.21375700535171,32.0061423453103,5.046106574199097,11.503216651026499,63.598131944361825,0.0,0.0
37.2880407747754,20.72641814886928,7.700520505512906,10.10894945152243,95.65203042546887,6.923391653388195,15.385275890223513
23.53594674407085,9.03468416220243,9.161031364130862,12.51224083657656,86.21784638985336,4.427224027499695,13.1127938596525
13.370399116721682,4.4141259633391545,3.7419663994306283,18.390869095056566,76.55126188950261,10.280834657328068,16.61834146404227
4.911364135826804,6.531505912950155,3.4979350557197724,19.92127233007924,42.05361048084322,11.17133822715423,19.28731634523109
6.025183536368856,15.69625382881349,12.552714734416043,15.181141731201508,8.480900024788179,16.601999121936572,14.715205340510224
12.233464903396044,35.6561298835692,9.728479708592738,7.913102646425961,0.0,22.494842669278867,22.37663004995165
20.562942896408487,52.96695082912897,8.930173046667583,22.037105811378513,14.996944135811999,21.167220572435134,24.585770579385333
36.29498089612782,64.51691287265174,22.014593612280635,27.963439025755253,58.994737767862695,27.62827597560427,29.81346583416115
52.1007706318799,79.88482861862263,29.887946237050272,28.32755128805409,80.91151153315882,32.84682441430057,39.87009391036541
68.4464262833762,94.37220455198268,42.07848296948636,41.831887655931276,92.9644756597293,50.406730147957376,50.14440138201982
78.08901617208018,84.29122542356119,63.075211237907055,64.90557218543853,83.02664119761302,57.14001905464789,60.52243492680856
90.53628725313372,81.63312817168371,66.92455282440737,84.29226118950197,47.73143119735636,73.37999077274705,72.57436842969604
91.71196888899168,78.54756959883997,84.4068014632404,85.15722335075624,20.95760351074689,79.64025984959493,88.37714395215812
96.42356137921372,69.583840014866,84.95654226833832,100.0,2.1345550469217653,90.11269618793501,91.01810191123838
76.0988841484157,42.13277382928574,93.26337133333004,97.7579022684172,12.172627970309305,100.0,95.86198364166798
70.08062183190381,18.36299969827961,100.0,95.1569280660257,41.84972204294869,97.68380698803757,100.0
57.713669640066655,9.356509580269472,91.03620665400172,91.23973899724695,78.59159378697326,93.03329966005862,94.27376057184085
